Test unit,RS4,
Reference,Rezaie et al. (2020),
top_displacement,horizontal_force,drift
[mm],[kN],[%]
NaN,0.02344,#VALUE!
NaN,0.2073,#VALUE!
NaN,0.1521,#VALUE!
NaN,0.2057,#VALUE!
NaN,-0.03854,#VALUE!
NaN,0.1302,#VALUE!
NaN,-0.05521,#VALUE!
NaN,-0.1539,#VALUE!
NaN,-0.1768,#VALUE!
NaN,-0.06224,#VALUE!
NaN,0.1096,#VALUE!
NaN,0.2471,#VALUE!
NaN,0.07656,#VALUE!
NaN,-0.03177,#VALUE!
NaN,0.1401,#VALUE!
NaN,0.00026,#VALUE!
NaN,0.02109,#VALUE!
NaN,0.162,#VALUE!
NaN,0.01979,#VALUE!
NaN,0.03724,#VALUE!
NaN,-0.0651,#VALUE!
NaN,-0.0125,#VALUE!
NaN,0.00911,#VALUE!
NaN,0.1505,#VALUE!
NaN,0.1443,#VALUE!
NaN,-0.0138,#VALUE!
NaN,0.2872,#VALUE!
NaN,0.2039,#VALUE!
NaN,0.08255,#VALUE!
NaN,0.07552,#VALUE!
NaN,-0.06849,#VALUE!
NaN,0.1497,#VALUE!
NaN,-0.02083,#VALUE!
NaN,0.1841,#VALUE!
NaN,0.1169,#VALUE!
NaN,0.05938,#VALUE!
NaN,0.2206,#VALUE!
NaN,-0.05052,#VALUE!
NaN,-0.01458,#VALUE!
NaN,0.1201,#VALUE!
NaN,-0.1169,#VALUE!
NaN,-0.04661,#VALUE!
NaN,0.4016,#VALUE!
NaN,0.1797,#VALUE!
NaN,0.04401,#VALUE!
NaN,0.06745,#VALUE!
NaN,0.1242,#VALUE!
NaN,0.03073,#VALUE!
NaN,0.00964,#VALUE!
NaN,0.07057,#VALUE!
NaN,0.1654,#VALUE!
NaN,0.05651,#VALUE!
NaN,0.09323,#VALUE!
NaN,0.1292,#VALUE!
NaN,0.025,#VALUE!
NaN,0.0737,#VALUE!
NaN,0.06693,#VALUE!
NaN,0.08411,#VALUE!
NaN,0.09349,#VALUE!
NaN,0.2128,#VALUE!
NaN,-0.02943,#VALUE!
NaN,0.00547,#VALUE!
NaN,0.1646,#VALUE!
NaN,-0.00651,#VALUE!
NaN,0.131,#VALUE!
NaN,0.02083,#VALUE!
NaN,0.1089,#VALUE!
NaN,-0.01198,#VALUE!
NaN,0.07578,#VALUE!
NaN,0.03802,#VALUE!
NaN,0.1034,#VALUE!
NaN,0.05104,#VALUE!
NaN,-0.05182,#VALUE!
NaN,0.1451,#VALUE!
NaN,0.05573,#VALUE!
NaN,-0.05,#VALUE!
NaN,0.137,#VALUE!
NaN,0.00234,#VALUE!
NaN,0.1185,#VALUE!
NaN,0.07943,#VALUE!
NaN,0.04505,#VALUE!
NaN,0.2063,#VALUE!
NaN,0.09219,#VALUE!
NaN,-0.0513,#VALUE!
NaN,0.08099,#VALUE!
NaN,0.01563,#VALUE!
NaN,0.07057,#VALUE!
NaN,0.07161,#VALUE!
NaN,0.107,#VALUE!
NaN,0.05417,#VALUE!
NaN,0.0776,#VALUE!
NaN,0.04167,#VALUE!
NaN,0.04583,#VALUE!
NaN,0.06641,#VALUE!
NaN,0.1146,#VALUE!
NaN,0.07005,#VALUE!
NaN,0.04401,#VALUE!
NaN,0.03255,#VALUE!
NaN,0.05234,#VALUE!
NaN,0.1563,#VALUE!
NaN,0.02109,#VALUE!
NaN,0.00052,#VALUE!
NaN,0.1544,#VALUE!
NaN,0.0151,#VALUE!
NaN,0.05859,#VALUE!
NaN,0.1396,#VALUE!
NaN,0.01146,#VALUE!
NaN,-0.1065,#VALUE!
NaN,0.06563,#VALUE!
NaN,0.1141,#VALUE!
NaN,0.04453,#VALUE!
NaN,0.1596,#VALUE!
NaN,0.01953,#VALUE!
NaN,0.107,#VALUE!
NaN,0.01302,#VALUE!
NaN,0.02422,#VALUE!
NaN,0.06042,#VALUE!
NaN,0.0875,#VALUE!
NaN,0.06042,#VALUE!
NaN,0.09167,#VALUE!
NaN,0.03958,#VALUE!
NaN,0.01094,#VALUE!
NaN,0.06484,#VALUE!
NaN,0.00573,#VALUE!
NaN,0.09557,#VALUE!
NaN,0.01589,#VALUE!
NaN,0.1003,#VALUE!
NaN,0.00703,#VALUE!
NaN,0.1128,#VALUE!
NaN,0.149,#VALUE!
NaN,0.1005,#VALUE!
NaN,0.09557,#VALUE!
NaN,0.09479,#VALUE!
NaN,0.06693,#VALUE!
NaN,0.06484,#VALUE!
NaN,0.05443,#VALUE!
NaN,0.0513,#VALUE!
NaN,0.1047,#VALUE!
NaN,0.05547,#VALUE!
NaN,0.04844,#VALUE!
NaN,0.04844,#VALUE!
NaN,0.05573,#VALUE!
NaN,0.05104,#VALUE!
0,0,0
0.027192751,1.563,0.001699547
0.051177343,2.868,0.003198584
0.069144011,3.968,0.004321501
0.099493808,4.966,0.006218363
0.138144886,5.867,0.008634055
0.168400829,6.678,0.010525052
0.186887678,7.468,0.01168048
0.223000833,8.207,0.013937552
0.223124146,7.918,0.013945259
0.225020768,7.756,0.014063798
0.225829322,7.656,0.014114333
0.226973131,7.584,0.014185821
0.230319609,7.528,0.014394976
0.259316418,8.831,0.016207276
0.289794075,9.676,0.01811213
0.322719289,10.45,0.020169956
0.354578327,11.19,0.022161145
0.38710735,11.92,0.024194209
0.424744744,12.62,0.026546547
0.436502182,11.13,0.027281386
0.431017428,9.937,0.026938589
0.401089616,8.313,0.025068101
0.368264462,6.794,0.023016529
0.342385264,5.38,0.021399079
0.31153164,4.024,0.019470727
0.285374917,2.743,0.017835932
0.252995876,1.637,0.015812242
0.226695568,0.6125,0.014168473
0.199977153,-0.3898,0.012498572
0.179148768,-1.403,0.011196798
0.150773322,-2.294,0.009423333
0.129691901,-3.122,0.008105744
0.102708068,-4.035,0.006419254
0.080672904,-4.986,0.005042056
0.051105236,-5.96,0.003194077
0.016987976,-6.889,0.001061748
-0.006171862,-7.814,-0.000385741
-0.040277104,-8.681,-0.002517319
-0.073579828,-9.532,-0.004598739
-0.104204318,-10.36,-0.00651277
-0.130919094,-11.19,-0.008182443
-0.170621792,-12.04,-0.010663862
-0.202268073,-12.88,-0.012641755
-0.230933232,-13.76,-0.014433327
-0.269570918,-14.62,-0.016848182
-0.304641118,-15.49,-0.01904007
-0.318139702,-15.28,-0.019883731
-0.33729706,-13.65,-0.021081066
-0.327904759,-13.58,-0.020494047
-0.308361349,-12.63,-0.019272584
-0.282406655,-10.63,-0.017650416
-0.248444782,-8.948,-0.015527799
-0.223341872,-7.43,-0.013958867
-0.187036347,-6.057,-0.011689772
-0.161423884,-4.816,-0.010088993
-0.136273169,-3.62,-0.008517073
-0.108190454,-2.495,-0.006761903
-0.075243696,-1.417,-0.004702731
-0.050809895,-0.3628,-0.003175618
-0.026642752,0.6505,-0.001665172
0.002458155,1.6,0.000153635
0.023099872,2.333,0.001443742
0.040345743,3.208,0.002521609
0.070874097,4.123,0.004429631
0.097487331,5.046,0.006092958
0.125632112,5.979,0.007852007
0.15751634,6.905,0.009844771
0.180882595,7.817,0.011305162
0.211932565,8.738,0.013245785
0.238565796,9.655,0.014910362
0.272151971,10.57,0.017009498
0.313765758,11.51,0.01961036
0.342472829,12.42,0.021404552
0.371918613,13.29,0.023244913
0.405419684,14.1,0.02533873
0.432177665,14.78,0.027011104
0.444766496,13.27,0.027797906
0.444034616,13.32,0.027752164
0.435939119,13.43,0.027246195
0.436021465,13.83,0.027251342
0.438825141,13.77,0.027426571
0.424768745,11.8,0.026548047
0.388146343,10.28,0.024259146
0.359253919,8.905,0.02245337
0.328630303,7.67,0.020539394
0.297826066,6.401,0.018614129
0.262771445,5.189,0.016423215
0.236417578,3.98,0.014776099
0.203839931,2.879,0.012739996
0.176216232,1.866,0.011013514
0.146806943,0.9273,0.009175434
0.123037551,-0.00938,0.007689847
0.09513075,-0.9396,0.005945672
0.078477673,-1.818,0.004904855
0.05353395,-2.634,0.003345872
0.030253084,-3.504,0.001890818
0.001288192,-4.515,8.0512E-05
-0.02345731,-5.572,-0.001466082
-0.047478719,-6.65,-0.00296742
-0.081475089,-7.723,-0.005092193
-0.112002493,-8.765,-0.007000156
-0.14511238,-9.821,-0.009069524
-0.167457511,-10.9,-0.010466094
-0.201264757,-12.02,-0.012579047
-0.233279558,-13.15,-0.014579972
-0.259433099,-14.3,-0.016214569
-0.294714212,-15.43,-0.018419638
-0.304683029,-15.41,-0.019042689
-0.320066712,-14.52,-0.02000417
-0.31868391,-14.54,-0.019917744
-0.308197714,-13.85,-0.019262357
-0.27676937,-11.93,-0.017298086
-0.252387205,-10.15,-0.0157742
-0.215336674,-8.503,-0.013458542
-0.191997772,-7.03,-0.011999861
-0.14862129,-5.707,-0.009288831
-0.118488466,-4.441,-0.007405529
