load_step_names,image_names,Fh,u,Fv_total,Fv_s,Fv_n,lv1,lv2,lv3,lv4,lv5,lv6,lv7,lv8,lv9,lv10,lv11,lv12,lv13,lv14
RS4_LS00_to_LS01,LS00_to_LS01_RS4_0000,0.02344,NaN,-14.686,-7.162,-7.524,0.0009,-0.00279,0.003,-0.00264,-0.00025,-0.0002,-0.00028,-0.00027,-0.00022,0.00053,-0.00021,0.00176,0.00038,-0.0001
RS4_LS00_to_LS01,LS00_to_LS01_RS4_0001,0.2073,NaN,-14.97,-7.495,-7.475,0.00079,-0.00282,0.00285,-0.00365,-0.00025,-0.00024,-0.00032,-0.00032,-0.00024,0.0005,-0.00024,0.00174,0.00031,-0.00016
RS4_LS00_to_LS01,LS00_to_LS01_RS4_0002,0.1521,NaN,-15.493,-7.68,-7.813,0.00074,-0.00274,0.00319,-0.0039,-0.0002,-0.00019,-0.00027,-0.0003,-0.00018,0.00051,-0.00018,0.00178,0.00037,-0.00013
RS4_LS00_to_LS01,LS00_to_LS01_RS4_0003,0.2057,NaN,-14.838,-7.44,-7.398,0.00087,-0.00269,0.00355,-0.00285,-0.00025,-0.00021,-0.00028,-0.00022,-0.00015,0.00055,-0.00016,0.00182,0.0004,-0.00012
RS4_LS00_to_LS01,LS00_to_LS01_RS4_0004,-0.03854,NaN,-15.067,-7.272,-7.795,0.00085,-0.0029,0.00125,-0.00257,-0.00023,-0.00021,-0.00032,-0.00027,-0.00022,0.00056,-0.00018,0.00169,0.00031,-0.00012
RS4_LS00_to_LS01,LS00_to_LS01_RS4_0005,0.1302,NaN,-14.292,-7.11,-7.182,0.00084,-0.00283,0.00388,-0.0037,-0.00026,-0.00021,-0.00032,-0.00027,-0.00018,0.00064,-0.00019,0.00171,0.00034,-0.00014
RS4_LS00_to_LS01,LS00_to_LS01_RS4_0006,-0.05521,NaN,-12.287,-5.95,-6.337,0.00089,-0.0027,0.00683,0.00392,-0.00022,-0.00019,-0.00027,-0.00017,-0,0.00107,-0.00014,0.00168,0.00034,-0
RS4_LS00_to_LS01,LS00_to_LS01_RS4_0007,-0.1539,NaN,-7.143,-3.411,-3.732,0.00051,-0.00575,0.02142,0.02158,-0.00015,-0.00017,-0.00028,-0,0.00012,0.00491,-0.00019,0.00124,-0,-0.00021
RS4_LS00_to_LS01,LS00_to_LS01_RS4_0008,-0.1768,NaN,-2.733,-1.287,-1.446,0.0039,-0.01373,0.03776,0.04506,-0.0002,-0.00024,-0.00034,0.00055,0.00045,0.01163,-0.00025,0.00087,-0.00017,-0.00031
RS4_LS00_to_LS01,LS00_to_LS01_RS4_0009,-0.06224,NaN,-3.232,-1.63,-1.602,0.0049,-0.0153,0.03962,0.04512,-0.0002,-0.00016,-0.00027,0.0007,0.00046,0.01018,-0.00026,0.00094,-0,-0.00027
RS4_LS00_to_LS01,LS00_to_LS01_RS4_0010,0.1096,NaN,-3.148,-1.78,-1.368,0.00586,-0.01559,0.04451,0.04156,-0.00012,-0.00019,-0.00025,0.00102,0.00056,0.00915,-0.00025,0.00097,-0,-0.00029
RS4_LS00_to_LS01,LS00_to_LS01_RS4_0011,0.2471,NaN,-7.931,-4.147,-3.784,0.00494,-0.01269,0.03412,0.02006,-0.00018,-0.00016,-0.00025,0.00097,0.0003,0.006,-0.00025,0.00105,-0,-0.00027
RS4_LS00_to_LS01,LS00_to_LS01_RS4_0012,0.07656,NaN,-7.965,-3.983,-3.982,0.0046,-0.01196,0.02814,0.01904,-0.00022,-0.00024,-0.00033,0.0007,0.0002,0.00484,-0.00033,0.00094,-0,-0.00029
RS4_LS00_to_LS01,LS00_to_LS01_RS4_0013,-0.03177,NaN,-8.28,-4.006,-4.274,0.0046,-0.01067,0.02567,0.02086,-0.00018,-0.00019,-0.00028,0.00064,0.00022,0.00437,-0.0003,0.00102,-0,-0.00028
RS4_LS00_to_LS01,LS00_to_LS01_RS4_0014,0.1401,NaN,-8.162,-4.007,-4.155,0.00442,-0.00922,0.02391,0.02346,-0.00018,-0.0002,-0.00027,0.00054,0.00022,0.0042,-0.00029,0.00109,-0,-0.00029
RS4_LS00_to_LS01,LS00_to_LS01_RS4_0015,0.00026,NaN,-10.603,-6.528,-4.075,-0.07808,-0.05571,0.1072,-0.07206,-0.00019,-0.00018,-0.00024,0.0023,0.00043,0.00608,-0.00027,0.00208,0.00045,-0.00021
RS4_LS00_to_LS01,LS00_to_LS01_RS4_0016,0.02109,NaN,-13.007,-9.067,-3.94,-0.2692,-0.174,0.2426,-0.2161,-0.00024,-0.00029,-0.00026,0.00774,0.00047,0.01127,-0.00042,0.00406,0.00113,-0.00018
RS4_LS00_to_LS01,LS00_to_LS01_RS4_0017,0.162,NaN,-15.657,-9.885,-5.772,-0.3772,-0.2435,0.2541,-0.255,-0.00024,-0.00028,-0.00019,0.00828,-0,0.0084,-0.00044,0.00513,0.00147,-0
RS4_LS00_to_LS01,LS00_to_LS01_RS4_0018,0.01979,NaN,-18.303,-10.09,-8.213,-0.2937,-0.2018,0.1767,-0.2067,-0.00033,-0.00033,-0.00026,0.00307,-0.00017,0.00446,-0.00048,0.00447,0.00115,-0.00014
RS4_LS00_to_LS01,LS00_to_LS01_RS4_0019,0.03724,NaN,-20.3,-10.02,-10.28,-0.1565,-0.1421,0.09123,-0.1422,-0.00036,-0.00031,-0.00034,-0,-0.00018,0.00013,-0.00044,0.00362,0.00079,-0.00016
