ID,Reference,Reference nb,Test unit name,Cyclic / Monotonic,Cycles,Lab / In-situ,Stone masonry typology,Joints,Leaves,Stone,H [mm],L [mm],t [mm],H0 [mm],H0/H,fc [MPa],Type of compression test,Epc [MPa],Ecompr [MPa],Edyn [MPa],hb [mm],lb [mm],"fc,b [MPa]",Eb [MPa],"fc,m  [MPa]",Em [MPa],"?0,pc [MPa]","?0,tot /fc",dcr [%],Vcr [kN],"dmax,+ [%]","Vmax,+ [kN]","dmax,- [%]","Vmax,- [kN]","dc,+ [%]","dc,- [%]","dy,+ [%]","dy,- [%]","du,+ [%]","Vu,+ [kN]","du,- [%]","Vu,- [kN]","Kel,+ [kN/mm]","Kel,- [kN/mm]","Keff,+ [kN/mm]","Keff,- [kN/mm]",?+,?-,From test report: Failure type,Failure type,HC,IT,SU,SJ,DU,QM,REL,IQMvert,IQMip,IQMoop,LMTvert [mm],HLVDT,"?0,tot [MPa]",Ntot [kN],Availability of F-? curve,Unretrofitted / Retrofitted,Comment,Drift at which the photo was taken [%],Drift at which the crack map was taken [%],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Vasconcelos and Lourenço (2009),1,WS1.100,Cyclic,1,Laboratory,E1,Dry,1,Granite,1200,1000,200,1325,1.10,73.00,2,3287,14700,NaN,150,200,69.2,20200,NaN,NaN,0.5,0.007,0.12,18.81,2.10,39.0,3.04,43.3,2.73,3.04,0.31,0.21,2.73,38.2,3.04,41.3,12.6,17.1,9.3,14.7,8.80,14.33,R,1,R,R,R,R,R,R,R,10,10,10,1600,NaN,0.524,104.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Vasconcelos and Lourenço (2009),1,WS2.100,Cyclic,1,Laboratory,E1,Dry,1,Granite,1200,1000,200,1325,1.10,73.00,2,3287,14700,NaN,150,200,69.2,20200,NaN,NaN,0.5,0.007,0.17,18.21,0.68,37.8,0.83,40.9,1.25,1.22,0.42,0.46,1.25,35.9,1.22,38.6,9.2,8.4,6.5,6.3,2.99,2.66,"R, TC",1,R,R,R,R,R,R,R,10,10,10,1600,NaN,0.524,104.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Vasconcelos and Lourenço (2009),1,WS3.100,Cyclic,1,Laboratory,E1,Dry,1,Granite,1200,1000,200,1325,1.10,73.00,2,3287,14700,NaN,150,200,69.2,20200,NaN,NaN,0.5,0.007,0.11,18.51,2.76,38.0,3.13,42.1,2.76,3.13,0.24,0.24,2.76,36.5,3.13,40.2,11.5,18.9,11.5,12.4,11.56,12.86,R,1,R,R,R,R,R,R,R,10,10,10,1600,NaN,0.524,104.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Vasconcelos and Lourenço (2009),1,WS4.100,Cyclic,1,Laboratory,E1,Dry,1,Granite,1200,1000,200,1325,1.10,73.00,2,3287,14700,NaN,150,200,69.2,20200,NaN,NaN,0.5,0.007,0.10,16.41,3.12,36.0,3.40,40.1,3.12,3.40,0.13,0.20,3.12,35.1,3.40,38.7,35.6,19.4,20.5,14.8,24.21,17.28,R,1,R,R,R,R,R,R,R,10,10,10,1600,NaN,0.524,104.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Vasconcelos and Lourenço (2009),1,WS1.175,Cyclic,1,Laboratory,E1,Dry,1,Granite,1200,1000,200,1325,1.10,73.00,2,4068,14700,NaN,150,200,69.2,20200,NaN,NaN,0.875,0.012,0.13,27.16,1.97,61.8,3.09,69.0,2.29,3.09,0.28,0.28,2.29,60.6,3.09,66.1,28.2,28.8,16.3,17.7,8.14,10.99,R,1,R,R,R,R,R,R,R,10,10,10,1600,NaN,0.899,179.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Vasconcelos and Lourenço (2009),1,WS2.175,Cyclic,1,Laboratory,E1,Dry,1,Granite,1200,1000,200,1325,1.10,73.00,2,4068,14700,NaN,150,200,69.2,20200,NaN,NaN,0.875,0.012,0.12,25.40,2.65,64.5,3.40,71.3,2.97,3.40,0.33,0.35,2.97,62.4,3.40,68.0,17.7,20.5,14.1,14.9,8.91,9.86,"R, TC",1,R,R,R,R,R,R,R,10,10,10,1600,NaN,0.899,179.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Vasconcelos and Lourenço (2009),1,WS3.175,Cyclic,1,Laboratory,E1,Dry,1,Granite,1200,1000,200,1325,1.10,73.00,2,4068,14700,NaN,150,200,69.2,20200,NaN,NaN,0.875,0.012,0.12,25.37,2.65,64.3,3.41,71.2,2.97,3.41,0.27,0.31,2.97,63.0,3.41,68.9,18.2,20.1,17.4,16.7,10.85,10.93,R,1,R,R,R,R,R,R,R,10,10,10,1600,NaN,0.899,179.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Vasconcelos and Lourenço (2009),1,WS1.250,Cyclic,1,Laboratory,E1,Dry,1,Granite,1200,1000,200,1325,1.10,73.00,2,4722,14700,NaN,150,200,69.2,20200,NaN,NaN,1.25,0.017,0.15,35.55,2.91,88.7,2.42,95.7,3.44,2.42,0.51,0.40,3.44,86.9,2.42,91.9,24.3,20.7,12.9,17.2,6.78,6.00,"R, TC",1,R,R,R,R,R,R,R,10,10,10,1600,NaN,1.274,254.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Vasconcelos and Lourenço (2009),1,WS2.250,Cyclic,1,Laboratory,E1,Dry,1,Granite,1200,1000,200,1325,1.10,73.00,2,4722,14700,NaN,150,200,69.2,20200,NaN,NaN,1.25,0.017,0.15,33.16,1.66,87.1,1.71,94.7,1.66,1.71,0.47,0.37,1.66,85.2,1.71,91.9,23.5,23.2,13.8,18.6,3.56,4.59,"R, TC",1,R,R,R,R,R,R,R,10,10,10,1600,NaN,1.274,254.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Vasconcelos and Lourenço (2009),1,WS3.250,Cyclic,1,Laboratory,E1,Dry,1,Granite,1200,1000,200,1325,1.10,73.00,2,4722,14700,NaN,150,200,69.2,20200,NaN,NaN,1.25,0.017,0.14,31.97,2.37,86.5,2.43,92.6,2.37,2.43,0.42,0.43,2.37,84.6,2.43,89.1,18.9,20.8,15.2,15.7,5.62,5.68,"R, TC",1,R,R,R,R,R,R,R,10,10,10,1600,NaN,1.274,254.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Vasconcelos and Lourenço (2009),1,WI1.100,Cyclic,1,Laboratory,E,Hydraulic lime mortar,1,Granite,1200,1000,200,1325,1.10,18.40,2,3840,1248,NaN,200,200,69.2,20200,3.8,NaN,0.5,0.028,0.12,20.90,2.15,36.8,2.45,40.0,2.85,2.85,0.22,0.22,2.85,36.1,2.85,37.7,15.1,19.4,12.2,12.7,12.78,12.72,"F, R",1,R,R,R,NR,R,R,R,9,8,9,1120,NaN,0.524,104.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Vasconcelos and Lourenço (2009),1,WI2.100,Cyclic,1,Laboratory,E,Hydraulic lime mortar,1,Granite,1200,1000,200,1325,1.10,18.40,2,3840,1248,NaN,200,200,69.2,20200,3.7,NaN,0.5,0.028,0.14,20.60,1.27,38.6,2.92,42.1,2.83,2.92,0.33,0.36,2.83,37.7,2.92,40.5,15.4,9.7,8.6,8.5,8.53,8.15,"F, R",1,R,R,R,NR,R,R,R,9,8,9,1120,NaN,0.524,104.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Vasconcelos and Lourenço (2009),1,WI1.175,Cyclic,1,Laboratory,E,Hydraulic lime mortar,1,Granite,1200,1000,200,1325,1.10,18.40,2,3864,1248,NaN,200,200,69.2,20200,NaN,NaN,0.875,0.049,0.15,27.76,0.74,44.9,1.99,59.2,1.84,1.99,0.22,0.77,1.60,41.9,1.99,57.3,17.2,10.9,14.1,5.6,7.14,2.60,"F, TC",1,R,R,R,NR,R,R,R,9,8,9,1120,NaN,0.899,179.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Vasconcelos and Lourenço (2009),1,WI2.175,Cyclic,1,Laboratory,E,Hydraulic lime mortar,1,Granite,1200,1000,200,1325,1.10,18.40,2,3864,1248,NaN,200,200,69.2,20200,4.6,NaN,0.875,0.049,0.15,28.96,2.36,58.9,0.82,61.0,2.69,3.03,0.38,0.30,2.69,57.7,3.03,58.9,22.2,22.0,11.6,14.6,7.16,9.98,"F, S, R",1,R,R,R,NR,R,R,R,9,8,9,1120,NaN,0.899,179.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Vasconcelos and Lourenço (2009),1,WI3.175,Cyclic,1,Laboratory,E,Hydraulic lime mortar,1,Granite,1200,1000,200,1325,1.10,18.40,2,3864,1248,NaN,200,200,69.2,20200,5.1,NaN,0.875,0.049,0.16,29.55,1.87,63.8,2.18,69.6,1.87,2.50,0.42,0.48,1.87,60.6,2.50,66.9,14.4,18.4,10.8,10.6,4.43,5.22,"F, TC",1,R,R,R,NR,R,R,R,9,8,9,1120,NaN,0.899,179.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Vasconcelos and Lourenço (2009),1,WI1.250,Cyclic,1,Laboratory,E,Hydraulic lime mortar,1,Granite,1200,1000,200,1325,1.10,18.40,2,3911,1248,NaN,200,200,69.2,20200,4.5,NaN,1.25,0.069,0.17,38.21,1.54,81.3,1.68,80.3,1.7,1.87,0.51,0.42,1.70,78.0,1.87,78.7,24.2,27.1,11.6,14.3,3.35,4.49,"F, TC",1,R,R,R,NR,R,R,R,9,8,9,1120,NaN,1.274,254.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Vasconcelos and Lourenço (2009),1,WI2.250,Cyclic,1,Laboratory,E,Hydraulic lime mortar,1,Granite,1200,1000,200,1325,1.10,18.40,2,3911,1248,NaN,200,200,69.2,20200,4.4,NaN,1.25,0.069,0.15,40.60,1.21,86.5,1.47,92.3,1.95,1.86,0.44,0.35,1.80,81.2,1.86,87.1,25.5,22.6,14.1,18.7,4.14,5.30,"F, S, TC",0.5,R,R,R,NR,R,R,R,9,8,9,1120,NaN,1.274,254.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Vasconcelos and Lourenço (2009),1,WR1.100,Cyclic,1,Laboratory,C,Hydraulic lime mortar,1,Granite,1200,1000,200,1325,1.10,5.00,2,2329,1248,NaN,133,167,69.2,20200,3.2,NaN,0.5,0.105,0.13,17.56,0.87,36.3,0.89,40.4,2.56,2.65,0.35,0.28,2.56,33.7,1.28,37.8,10.1,17.1,7.4,10.2,7.42,4.58,"F, S",0.5,NR,R,PR,NR,PR,R,R,5,5.5,5.5,1090,NaN,0.524,104.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Vasconcelos and Lourenço (2009),1,WR2.100,Cyclic,1,Laboratory,C,Hydraulic lime mortar,1,Granite,1200,1000,200,1325,1.10,5.00,2,2329,1248,NaN,133,167,69.2,20200,3.4,NaN,0.5,0.105,0.12,16.72,1.08,38.2,3.14,41.3,2.69,3.14,0.36,0.30,2.69,37.4,3.14,39.8,13.1,15.2,7.8,10.0,7.42,10.45,"F, R",1,NR,R,PR,NR,PR,R,R,5,5.5,5.5,1090,NaN,0.524,104.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Vasconcelos and Lourenço (2009),1,WR1.175,Cyclic,1,Laboratory,C,Hydraulic lime mortar,1,Granite,1200,1000,200,1325,1.10,5.00,2,2393,1248,NaN,133,167,69.2,20200,3.2,NaN,0.875,0.180,0.15,27.16,1.21,64.8,1.11,65.9,1.96,2.07,0.49,0.36,1.75,61.8,2.07,61.2,18.7,13.8,9.5,12.7,3.58,5.69,S,0,NR,R,PR,NR,PR,R,R,5,5.5,5.5,1090,NaN,0.899,179.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Vasconcelos and Lourenço (2009),1,WR2.175,Cyclic,1,Laboratory,C,Hydraulic lime mortar,1,Granite,1200,1000,200,1325,1.10,5.00,2,2393,1248,NaN,133,167,69.2,20200,4,NaN,0.875,0.180,0.15,27.50,1.11,62.3,1.58,56.5,1.68,1.98,0.39,0.45,1.68,59.7,1.98,53.4,22.9,12.4,11.4,8.9,4.26,4.36,"F, S",0.5,NR,R,PR,NR,PR,R,R,5,5.5,5.5,1090,NaN,0.899,179.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Vasconcelos and Lourenço (2009),1,WR1.250,Cyclic,1,Laboratory,C,Hydraulic lime mortar,1,Granite,1200,1000,200,1325,1.10,5.00,2,2496,1248,NaN,133,167,69.2,20200,3.8,NaN,1.25,0.255,0.15,31.04,0.47,59.9,0.49,67.4,0.82,1.06,0.27,0.27,0.81,55.3,1.06,62.6,22.2,25.6,15.6,17.3,3.02,3.88,S,0,NR,R,PR,NR,PR,R,R,5,5.5,5.5,1090,NaN,1.274,254.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Vasconcelos and Lourenço (2009),1,WR2.250,Cyclic,1,Laboratory,C,Hydraulic lime mortar,1,Granite,1200,1000,200,1325,1.10,5.00,2,2496,1248,NaN,133,167,69.2,20200,3.6,NaN,1.25,0.255,0.15,39.40,0.40,69.8,0.84,80.4,0.48,0.84,0.30,0.32,0.48,69.8,0.84,78.1,34.5,23.7,17.6,18.6,1.59,2.65,S,0,NR,R,PR,NR,PR,R,R,5,5.5,5.5,1090,NaN,1.274,254.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Vasconcelos and Lourenço (2009),1,WR3.250,Cyclic,1,Laboratory,C,Hydraulic lime mortar,1,Granite,1200,1000,200,1325,1.10,5.00,2,2496,1248,NaN,133,167,69.2,20200,3.3,NaN,1.25,0.255,0.15,28.96,0.69,63.9,0.64,73.8,0.87,1.12,0.40,0.35,0.87,63.1,0.87,69.4,18.9,22.5,12.0,14.8,2.18,2.46,S,0,NR,R,PR,NR,PR,R,R,5,5.5,5.5,1090,NaN,1.274,254.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
