Test unit,RS2,
Reference,Rezaie et al. (2020),
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-7.396200487,0.1893,-0.46226253
-6.705218277,-32.72,-0.419076142
-6.703965813,-32.65,-0.418997863
-6.700087519,-32.6,-0.41875547
-6.539047575,-36.8,-0.408690473
-6.293908381,-36.89,-0.393369274
-6.048245473,-37.1,-0.378015342
-5.799445369,-37.33,-0.362465336
-5.536575786,-36.67,-0.346035987
-5.506754046,-40.19,-0.344172128
-5.503622569,-40.58,-0.343976411
-5.293041315,-41.83,-0.330815082
-5.073669202,-41.92,-0.317104325
-4.860071371,-41.83,-0.303754461
-4.637905376,-41.87,-0.289869086
-4.427533857,-41.81,-0.276720866
-4.344189539,-38.38,-0.271511846
-4.325630826,-41.71,-0.270351927
-4.31470487,-40.84,-0.269669054
-4.234998356,-46.25,-0.264687397
-4.079063494,-46.09,-0.254941468
-3.925149536,-45.95,-0.245321846
-3.775937263,-45.85,-0.235996079
-3.621981186,-45.63,-0.226373824
-3.597838658,-45.96,-0.224864916
-3.573212042,-51.35,-0.223325753
-3.475038838,-51.48,-0.217189927
-3.376909197,-51.38,-0.211056825
-3.261500457,-51.26,-0.203843779
-3.161391509,-51.09,-0.197586969
-3.060610274,-50.96,-0.191288142
-2.959465186,-50.78,-0.184966574
-2.862258349,-50.54,-0.178891147
-2.802144678,-47.36,-0.175134042
-2.800050296,-47.09,-0.175003144
-2.775616883,-51.6,-0.173476055
-2.775577128,-51.82,-0.173473571
-2.725285007,-50.22,-0.170330313
-2.708382822,-54.47,-0.169273926
-2.685075772,-56.32,-0.167817236
-2.587198261,-56.87,-0.161699891
-2.478155677,-57.36,-0.15488473
-2.36866667,-57.39,-0.148041667
-2.271714152,-57.1,-0.141982135
-2.16787155,-56.79,-0.135491972
-2.068723093,-56.3,-0.129295193
-1.963509075,-55.68,-0.122719317
-1.943558676,-51.84,-0.121472417
-1.924180591,-56.19,-0.120261287
-1.898471035,-59.76,-0.11865444
-1.893549478,-60.6,-0.118346842
-1.866509684,-61.85,-0.116656855
-1.815837086,-61.81,-0.113489818
-1.759908473,-61.76,-0.10999428
-1.710812789,-61.66,-0.106925799
-1.662844019,-61.51,-0.103927751
-1.613582428,-61.33,-0.100848902
-1.557770425,-61.16,-0.097360652
-1.502732648,-60.97,-0.093920791
-1.460317561,-60.77,-0.091269848
-1.402498071,-60.57,-0.087656129
-1.353907937,-60.29,-0.084619246
-1.304704865,-59.92,-0.081544054
-1.257480913,-59.66,-0.078592557
-1.206014787,-59.23,-0.075375924
-1.159865069,-58.85,-0.072491567
-1.111030205,-58.42,-0.069439388
-1.062048239,-57.85,-0.066378015
-1.033895852,-52.74,-0.064618491
-0.985397133,-59.75,-0.061587321
-0.947354955,-60.8,-0.059209685
-0.901713113,-60.34,-0.05635707
-0.850561579,-59.82,-0.053160099
-0.802747751,-59.19,-0.050171734
-0.765446982,-58.54,-0.047840436
-0.719880581,-57.8,-0.044992536
-0.673479608,-56.9,-0.042092476
-0.626176951,-55.95,-0.039136059
-0.587292363,-54.89,-0.036705773
-0.542966575,-53.57,-0.033935411
-0.512122014,-52.95,-0.032007626
-0.500940504,-47.24,-0.031308782
-0.482586705,-51.04,-0.030161669
-0.451271023,-49.7,-0.028204439
-0.420410247,-48.09,-0.02627564
-0.388088309,-46.37,-0.024255519
-0.356308059,-44.56,-0.022269254
-0.353523073,-38.65,-0.022095192
0,0,0
0,0,0
0.007126935,0.4701,0.000445433
0.016081259,3.28,0.001005079
0.026130362,5.528,0.001633148
0.040080669,7.842,0.002505042
0.056943931,10.31,0.003558996
0.071847755,12.99,0.004490485
0.088089562,15.68,0.005505598
0.109063405,18.29,0.006816463
0.133304838,20.77,0.008331552
0.153594229,23.21,0.009599639
0.176005522,25.47,0.011000345
0.198981907,27.81,0.012436369
0.226561544,30.02,0.014160097
0.242690529,31.61,0.015168158
0.249711089,30.47,0.015606943
0.302196275,31.63,0.018887267
0.318607526,34.5,0.01991297
0.343493948,36.87,0.021468372
0.365108856,39,0.022819304
0.391164948,40.83,0.024447809
0.404320423,42.09,0.025270026
0.426514022,43.68,0.026657126
0.429952,43.23,0.026872
0.434790334,42.44,0.027174396
0.435742112,42.48,0.027233882
0.433932899,42.24,0.027120806
0.433109894,41.98,0.027069368
0.438935325,42.09,0.027433458
0.451598658,40.31,0.028224916
0.470798785,49.23,0.029424924
0.507405511,50.57,0.031712844
0.511709277,50.47,0.03198183
0.536048151,46.74,0.033503009
0.565406291,52.18,0.035337893
0.597420974,53.55,0.037338811
0.633267293,54.81,0.039579206
0.673095004,55.93,0.042068438
0.706057939,56.85,0.044128621
0.732387784,57.22,0.045774237
0.767097234,58.17,0.047943577
0.805350596,59.1,0.050334412
0.848567439,59.92,0.053035465
0.887433408,60.69,0.055464588
0.930930674,61.31,0.058183167
0.977624442,61.94,0.061101528
1.009551886,61.99,0.063096993
1.058195505,56.86,0.066137219
1.080078518,58.14,0.067504907
1.119391117,59.2,0.069961945
1.17015264,60.18,0.07313454
1.208721904,60.99,0.075545119
1.254447789,61.72,0.078402987
1.296018957,62.4,0.081001185
1.340545512,63.05,0.083784095
1.385879588,63.63,0.086617474
1.434130846,64.13,0.089633178
1.482870231,64.58,0.092679389
1.53120384,65.02,0.09570024
1.577693062,65.3,0.098605816
1.624482908,65.64,0.101530182
1.678169012,65.89,0.104885563
1.725929615,66.09,0.107870601
1.772464987,66.28,0.110779062
1.822427551,66.52,0.113901722
1.877108514,66.64,0.117319282
1.91409363,66.66,0.119630852
1.961314601,60.8,0.122582163
2.046536184,59.94,0.127908512
2.151753332,60.68,0.134484583
2.255416254,61.33,0.140963516
2.351675631,61.84,0.146979727
2.456297322,62.22,0.153518583
2.559363799,62.52,0.159960237
2.663876489,62.63,0.166492281
2.767080025,62.75,0.172942502
2.82634207,61.84,0.176646379
2.858997746,56.56,0.178687359
2.865262227,54.9,0.179078889
2.968679603,55.33,0.185542475
3.070763296,55.62,0.191922706
3.169864139,55.84,0.198116509
3.28217344,56.08,0.20513584
3.381262862,56.27,0.211328929
3.489835435,56.34,0.218114715
3.593869026,56.3,0.224616814
3.688687488,56.33,0.230542968
3.693289813,54.6,0.230830613
3.731817763,50.4,0.23323861
3.765507089,46.83,0.235344193
3.889608968,50.14,0.243100561
4.038927633,50.49,0.252432977
4.197103774,50.75,0.262318986
4.359117653,50.94,0.272444853
4.506816475,51.13,0.28167603
4.570632624,50.02,0.285664539
4.597404645,45.44,0.28733779
4.597384421,45.05,0.287336526
4.605660777,43.93,0.287853799
4.766249511,42.82,0.297890594
4.971482827,43.04,0.310717677
5.17744726,43.26,0.323590454
5.196227794,41.72,0.324764237
