Fh_pos [kN],u_pos [mm],Fh_neg [kN],u_neg [mm]
0,0,0,0
1.317,0.022803627,-9.953,-0.33725298
2.23,0.047749447,-12.35,-0.343558013
3.089,0.077475061,-13.05,-0.366649157
3.913,0.095812913,-13.73,-0.409404416
4.716,0.128906159,-14.38,-0.441079006
5.481,0.159018022,-15,-0.477238261
6.202,0.189632063,-15.59,-0.510817104
6.873,0.218619986,-16.15,-0.549005804
7.526,0.248404409,-16.7,-0.582879029
8.154,0.28338935,-17.24,-0.617601748
8.738,0.31315647,-17.45,-0.647637951
8.991,0.331425418,-17.45,-0.657642658
10.47,0.33571833,-16.37,-0.657879979
11.11,0.368836729,-19.2,-0.663232463
11.69,0.406867475,-19.74,-0.702571167
12.26,0.439784079,-20.28,-0.735064578
12.8,0.470472301,-20.78,-0.771414953
13.34,0.509304024,-21.26,-0.80267881
13.85,0.54319322,-21.71,-0.838502013
14.37,0.582391159,-22.13,-0.871273952
14.87,0.618502345,-22.54,-0.91482687
15.34,0.650868278,-22.94,-0.955289328
15.55,0.672165121,-23.35,-0.992205743
14.67,0.680635119,-23.73,-1.026738453
16.56,0.694847033,-24.12,-1.065600875
17.11,0.732423853,-24.5,-1.104474359
17.65,0.770369065,-24.86,-1.141964652
18.16,0.805585661,-25.2,-1.184103641
18.66,0.842177324,-25.53,-1.217888864
19.12,0.879208633,-25.85,-1.253673547
19.56,0.912493582,-26.16,-1.291806146
20.01,0.95401393,-24.83,-1.315600026
20.45,0.988394734,-26.24,-1.331623162
20.89,1.021528913,-25.45,-1.329447563
21.35,1.060951174,-25.39,-1.329667234
21.78,1.097478003,-25.26,-1.336038567
22.21,1.134290665,-26.99,-1.344521749
22.62,1.169516003,-27.73,-1.423443328
23.04,1.205738706,-28.4,-1.499821591
23.45,1.246422621,-29.01,-1.565266444
23.87,1.28368118,-29.58,-1.647359444
24.28,1.315757014,-30.12,-1.725676597
24.68,1.354237127,-30.62,-1.807259469
24.6,1.361725967,-31.1,-1.878815303
23.39,1.362701135,-31.56,-1.964927991
23.43,1.368297106,-29.98,-2.003643245
25.78,1.376681206,-30.33,-2.016944159
26.74,1.44440167,-31.61,-2.028641375
27.6,1.522439257,-32.23,-2.109681493
28.3,1.59825561,-32.8,-2.190426046
29.16,1.669041014,-33.36,-2.268047865
29.81,1.74702483,-33.85,-2.347087044
30.5,1.817350569,-34.28,-2.429237852
31.15,1.893580774,-34.66,-2.506276337
31.75,1.965468078,-35.01,-2.585724506
32.05,2.013803253,-35.01,-2.662388035
30.94,2.01976667,-33.94,-2.667489629
32.81,2.070988178,-33.68,-2.669781082
33.54,2.148973432,-33.8,-2.676491959
34.2,2.225767356,-33.99,-2.680625072
34.8,2.30789002,-35.17,-2.73306105
35.35,2.380088971,-35.76,-2.857446903
35.86,2.459951507,-36.25,-2.973837095
36.33,2.529800345,-36.69,-3.093570018
36.79,2.611036999,-37.06,-3.216261053
37.23,2.674384428,-37.04,-3.33315832
36.6,2.681831905,-36.27,-3.343578157
37.17,2.725979717,-36.63,-3.346967892
38.01,2.849357702,-37.36,-3.505270409
38.66,2.963080552,-37.77,-3.661140444
39.2,3.077464163,-38.32,-3.827442399
39.68,3.198540986,-38.7,-3.986174839
40.13,3.318846512,-37.64,-4.041593322
40.04,3.382781702,-38.08,-4.248172104
40.33,3.513376576,-38.54,-4.455217362
40.94,3.682725172,-39.04,-4.654003548
41.47,3.841537001,-39.4,-4.862076232
41.88,3.998556204,-39.72,-5.069113877
41.62,4.053155725,-39.96,-5.269574053
40.77,4.057622561,-38.91,-5.355698578
41.27,4.070453937,-39.56,-5.50256807
41.95,4.279354956,-39.94,-5.753696324
42.41,4.482892396,-40.24,-5.993003262
42.8,4.684286719,-40.53,-6.244476153
43.11,4.893128178,-40.7,-6.490257262
43.35,5.090889133,-39.53,-6.528882068
43.6,5.298553982,-40.31,-6.549061347
42.52,5.32889965,-39.35,-6.683549012
42.97,5.4105278,-40.42,-6.688800837
43.37,5.658727537,-40.79,-6.96843629
43.66,5.903214804,-41.08,-7.256382238
43.91,6.154765864,-41.31,-7.544616328
44.1,6.395476738,-41.49,-7.827844565
44.28,6.64578952,-40.21,-8.064164264
43.41,6.707483236,-41.27,-8.246164268
43.82,6.907459341,-41.54,-8.571592762
44.09,7.192905227,-41.69,-8.902254926
44.29,7.487038212,-41.87,-9.226814027
44.51,7.772687665,-42.01,-9.559748418
43.89,8.023889787,-42.11,-9.884405132
44.14,8.027059074,-42.22,-10.21599017
43.8,8.13003205,-42.32,-10.53341198
44.1,8.466009338,-41.6,-10.71266698
44.29,8.800981881,-41.03,-10.72153991
44.46,9.134213114,-41.88,-10.90831886
44.61,9.46457055,-42.06,-11.31990854
44.75,9.799090067,-42.19,-11.72964929
44.83,10.13734096,-42.3,-12.14244517
44.94,10.46446218,-42.36,-12.55511867
44.29,10.71668312,-42.48,-12.96103581
44.35,10.78670045,-42.54,-13.3650866
44.53,11.16920464,-42.06,-13.40747752
44.73,11.58140876,-41.77,-13.4210413
44.85,11.99813701,-41.42,-13.42327814
44.88,12.41799116,-41.82,-13.45338079
45.03,12.82816464,-41.44,-13.46902072
45.11,13.25792718,-41.96,-13.57380126
44.31,13.54242823,-42.06,-14.06755295
44.29,13.54547122,-42.14,-14.55534692
