Test unit,WS2.175
Reference,Vasconcelos and Lourenço (2009)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-1.28,-25.7,-0.096
-1.36,-25.4,-0.103
-1.28,-24.2,-0.096
-1.11,-20.5,-0.084
-0.78,-13.5,-0.059
-0.62,-10.5,-0.047
-0.54,-7.7,-0.04
-0.37,-5.1,-0.028
-0.29,-2.7,-0.022
-0.12,-1,-0.009
-0.04,-0.2,-0.003
-0.04,1.4,-0.003
0.04,3,0.003
0.21,5.1,0.016
0.29,7.1,0.022
0.62,12,0.047
0.7,14,0.053
0.78,16.4,0.059
0.95,18.8,0.072
1.2,22.3,0.09
1.36,24.2,0.103
1.36,26,0.103
1.53,27.2,0.115
1.69,29.5,0.128
1.69,30.4,0.128
1.69,29.5,0.128
1.69,28,0.128
1.53,24.9,0.115
1.36,21.1,0.103
1.2,18.8,0.09
0.95,11.7,0.072
0.7,8.9,0.053
0.54,5.9,0.04
0.45,4.2,0.034
0.29,1.4,0.022
0.29,0.1,0.022
0.21,-0.5,0.016
0.12,-1.4,0.009
0.04,-3.3,0.003
-0.12,-5.6,-0.009
-0.21,-7.7,-0.016
-0.29,-10.5,-0.022
-0.54,-12.4,-0.04
-0.54,-14.9,-0.04
-0.87,-17.3,-0.065
-0.78,-19.1,-0.059
-0.95,-21.1,-0.072
-1.61,-16.4,-0.121
NaN,NaN,NaN
-3.26,-47.4,-0.246
-2.84,-41.2,-0.214
-2.1,-30.6,-0.159
-1.61,-21.1,-0.121
-0.99,-12.5,-0.075
-0.5,-4.4,-0.038
-0.12,2.6,-0.009
0.54,13.8,0.04
1.04,20.6,0.078
1.44,27,0.109
2.23,36.1,0.168
4,48.6,0.302
3.68,45.6,0.278
3.02,36.5,0.228
2.61,30.9,0.197
1.66,17.4,0.126
1.13,7.6,0.086
0.7,-0.2,0.053
0.4,-3.4,0.03
-0.14,-12.4,-0.01
-1.36,-31.7,-0.103
-1.94,-37.3,-0.146
-2.43,-43.9,-0.184
-2.98,-48.1,-0.225
-3.18,-48.9,-0.24
NaN,NaN,NaN
-5.4,-56.4,-0.408
-4.35,-52.9,-0.329
-3.5,-48,-0.265
-2.35,-35.8,-0.177
-2.06,-28.6,-0.156
-1.54,-22.4,-0.116
-0.93,-11.7,-0.07
-0.29,-3.1,-0.022
0.23,5.6,0.017
1.02,18.2,0.077
2.89,43.5,0.218
3.86,50.2,0.291
4.74,53.1,0.358
6.21,55.4,0.468
5.57,52.6,0.42
4.75,48.8,0.359
3.84,39.9,0.289
3.32,32.4,0.25
1.95,11.1,0.147
1.35,3.1,0.102
0.47,-11.2,0.035
0.03,-18.1,0.002
-0.54,-27.1,-0.04
-1.34,-37.2,-0.101
-2.59,-51.2,-0.196
-3.34,-56.1,-0.252
-4.92,-58.2,-0.371
-5.48,-58.8,-0.414
NaN,NaN,NaN
-8.04,-61.1,-0.607
-6.95,-58.8,-0.525
-5.49,-56.3,-0.414
-4.42,-54,-0.334
-3.67,-48.9,-0.277
-3.31,-44.8,-0.25
-2.19,-30.7,-0.165
-1.75,-24,-0.132
-0.7,-8.4,-0.053
0,2,0
0.92,17.2,0.069
2.31,37.6,0.174
2.91,45.3,0.219
3.62,52.7,0.273
4.49,55.7,0.339
6.08,57.5,0.459
8.02,59.1,0.605
7.65,56.8,0.577
6.12,54.8,0.462
4.68,51.8,0.353
3.8,41.2,0.286
2.99,31.1,0.226
1.66,10.4,0.126
0.92,-2.3,0.069
0.28,-6.7,0.021
0.29,-12.4,0.022
-0.36,-23,-0.027
-1.88,-42.2,-0.142
-2.7,-51.4,-0.204
-3.51,-57.9,-0.265
-4.88,-59.7,-0.368
-6.54,-61.1,-0.493
-8.18,-62.1,-0.618
-8.21,-62,-0.619
NaN,NaN,NaN
-10.6,-64.1,-0.8
-9.03,-62,-0.682
-7.57,-60.2,-0.571
-5.69,-58.5,-0.43
-3.97,-56.5,-0.3
-2.89,-49.1,-0.218
-1.49,-30,-0.112
-0.77,-19.5,-0.058
-0.54,1.4,-0.04
-0.45,-13.7,-0.034
0.54,2.1,0.04
0.87,7.4,0.065
1.91,24.7,0.144
3.07,41.5,0.232
4.25,52.6,0.321
5.81,56.1,0.439
7.3,57.3,0.551
8.78,59.1,0.663
10.72,60.3,0.809
9.6,57.5,0.725
8.04,55.5,0.607
