Test unit,WI2.250
Reference,Vasconcelos and Lourenço (2009)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-0.63,-17.3,-0.047
-0.54,-12.1,-0.04
-0.13,-1.8,-0.009
-0.21,-0.2,-0.016
-0.04,0.7,-0.003
0.08,4,0.006
0.14,6.8,0.01
0.32,10.8,0.024
0.55,15.8,0.042
0.63,15.7,0.047
0.53,12,0.04
0.25,4.6,0.019
0.09,-0.3,0.007
0.1,-1,0.008
0.04,-0.6,0.003
0.04,-1.6,0.003
0.04,-0.7,0.003
-0.21,-7,-0.016
-0.25,-10.6,-0.019
-0.38,-13.3,-0.028
-0.46,-15.9,-0.035
NaN,NaN,NaN
-1.38,-32,-0.104
-1.08,-21.4,-0.082
-0.76,-12.9,-0.057
-0.45,-6.2,-0.034
-0.29,-1,-0.022
-0.21,1.1,-0.016
0.09,7.1,0.007
0.21,10.6,0.016
0.49,16.3,0.037
0.76,22,0.057
1.11,28.4,0.084
1.52,33.8,0.115
1.47,32,0.111
1.33,26.6,0.101
1.08,19.9,0.081
0.88,15.5,0.066
0.55,7.1,0.041
0.38,3.4,0.028
0.21,-0.2,0.016
0.17,-2.2,0.013
-0.13,-7.5,-0.009
-0.38,-13.8,-0.028
-0.63,-19.2,-0.047
-0.84,-22.9,-0.063
-1.01,-28,-0.076
-1.22,-30.8,-0.092
NaN,NaN,NaN
-2.14,-45.7,-0.161
-2.07,-42.2,-0.156
-1.75,-31.9,-0.132
-1.35,-22.2,-0.102
-1.08,-17.3,-0.081
-0.78,-9,-0.059
-0.38,-2,-0.028
-0.21,3.3,-0.016
0.21,11.2,0.016
0.55,16.6,0.041
0.9,23.5,0.068
1.33,32.9,0.1
1.63,37.7,0.123
1.97,41.8,0.149
2.32,46.8,0.175
2.64,49.2,0.199
2.43,42.1,0.183
2.31,38.5,0.174
2.21,33.9,0.166
1.7,24.2,0.128
1.25,16.8,0.094
0.96,11.5,0.073
0.55,0.5,0.041
0.31,-2.5,0.023
0.01,-8.8,0.001
-0.29,-15.7,-0.022
-0.46,-20.4,-0.035
-0.76,-24.7,-0.058
-1.13,-31.3,-0.085
-1.55,-39.8,-0.117
-1.89,-45.7,-0.142
NaN,NaN,NaN
-2.98,-57,-0.225
-2.56,-45.7,-0.193
-2.01,-34.4,-0.152
-1.64,-27.5,-0.123
-1.22,-17.4,-0.092
-0.7,-7.1,-0.053
-0.41,-2,-0.031
0.04,7.4,0.003
0.38,15,0.028
0.89,23.1,0.067
1.23,27.9,0.093
1.56,34.5,0.118
1.97,39.9,0.149
2.59,49.5,0.195
3.18,54.9,0.24
3.73,59.7,0.282
3.73,55.8,0.282
3.23,46.3,0.244
2.86,39.5,0.216
2.27,28.2,0.171
1.22,9.7,0.092
0.75,0.8,0.056
0.55,-2.7,0.041
0.06,-11.5,0.005
-0.4,-22,-0.03
-0.88,-29.9,-0.066
-1.22,-34.5,-0.092
-1.61,-41.7,-0.122
-2.31,-49.3,-0.174
-2.47,-53.1,-0.186
-2.81,-57,-0.212
NaN,NaN,NaN
-4.91,-73.2,-0.37
-4.74,-68.7,-0.358
-3.87,-56.8,-0.292
-3.11,-45.4,-0.234
-2.47,-33.2,-0.187
-2.12,-26.6,-0.16
-1.55,-17.9,-0.117
-1.17,-9.6,-0.088
-0.74,-1.5,-0.056
-0.44,3,-0.034
-0.2,4.7,-0.015
-0.07,10.9,-0.005
0.71,23.8,0.054
1.22,28.3,0.092
1.47,34.1,0.111
1.58,32.2,0.119
2.51,48,0.19
3.4,56.7,0.256
4.15,62.3,0.313
4.7,65.8,0.354
5.52,68.3,0.417
6.23,69,0.47
5.16,56.1,0.389
4.57,47.4,0.345
4.15,40.9,0.313
3.77,36.1,0.285
3.27,27.5,0.247
2.56,17.3,0.193
2.02,8.7,0.152
1.3,-2.1,0.098
0.79,-12.3,0.06
0.31,-18.8,0.024
-0.38,-29.6,-0.028
-0.91,-38.2,-0.068
-1.38,-42.4,-0.104
-1.89,-49.6,-0.142
-2.39,-55,-0.18
-3.06,-61.5,-0.231
-3.48,-66,-0.263
-4.08,-70.5,-0.308
-4.91,-74.4,-0.37
NaN,NaN,NaN
-7.25,-81.2,-0.547
-7,-76.1,-0.528
-5.83,-66.6,-0.44
-5.03,-57.6,-0.38
-3.44,-38.2,-0.259
-2.81,-28,-0.212
