Test unit,C6
Reference,Silva et al. (2014)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
0,0,0
0.01,6,0.001
0.02,8,0.001
0.02,9.9,0.001
0.03,11.9,0.002
0.04,13.8,0.003
0.05,15.8,0.003
0.07,17.8,0.005
0.08,20.1,0.006
0.09,22.2,0.006
0.09,24.5,0.007
0.1,26.4,0.007
0.11,28.3,0.008
0.12,30,0.009
0.14,31.9,0.01
0.15,33.8,0.011
0.16,35.7,0.012
0.18,37.2,0.014
0.19,39,0.014
0.2,40.9,0.015
0.21,42.6,0.016
0.23,44.4,0.017
0.27,46.1,0.02
0.27,47.9,0.02
0.25,49.7,0.019
0.25,51.5,0.018
0.27,53.2,0.02
0.3,54.8,0.022
0.33,53.3,0.025
0.32,51.5,0.024
0.32,49.6,0.024
0.32,47.8,0.024
0.33,45.6,0.025
0.32,43.7,0.024
0.31,41.9,0.023
0.3,39.9,0.022
0.28,38,0.021
0.28,36.1,0.021
0.28,34.3,0.021
0.26,32.5,0.02
0.26,30.7,0.019
0.25,28.8,0.019
0.24,26.7,0.018
0.23,24.9,0.017
0.24,23,0.018
0.23,21.2,0.017
0.22,19.4,0.016
0.2,17.7,0.015
0.2,15.7,0.014
0.18,13.9,0.014
0.18,12,0.013
0.18,10.1,0.013
0.17,8.3,0.012
0.14,6.5,0.011
0.14,4.7,0.01
0.13,2.7,0.01
0.13,0.7,0.01
0.13,-1.2,0.01
0.13,-3,0.01
0.13,-4.9,0.009
0.14,-6.9,0.011
0.13,-9.1,0.009
0.12,-11.2,0.009
0.11,-13.4,0.008
0.09,-15.6,0.007
0.08,-17.5,0.006
0.07,-19.3,0.005
0.06,-21.2,0.004
0.04,-23.1,0.003
0.04,-24.9,0.003
0.03,-26.8,0.002
0.01,-28.8,0.001
0.01,-30.6,0.001
-0.01,-32.4,-0.001
-0.03,-34.3,-0.002
-0.03,-36.2,-0.002
-0.04,-38.2,-0.003
-0.06,-40,-0.004
-0.07,-41.9,-0.005
-0.08,-43.9,-0.006
-0.1,-45.6,-0.007
-0.11,-47.4,-0.008
-0.12,-49.2,-0.009
-0.14,-51,-0.01
-0.15,-52.9,-0.011
-0.16,-54.8,-0.012
-0.18,-56.5,-0.013
-0.19,-58.3,-0.014
-0.2,-60,-0.015
-0.21,-61.7,-0.016
-0.22,-63.7,-0.016
-0.24,-65.2,-0.018
-0.25,-67.1,-0.019
-0.27,-68.9,-0.02
-0.26,-70.8,-0.019
-0.29,-72,-0.021
-0.27,-74.1,-0.02
-0.3,-72.5,-0.022
-0.31,-70.4,-0.023
-0.33,-68.6,-0.024
-0.33,-66.4,-0.024
-0.33,-64.4,-0.024
-0.31,-66.6,-0.023
-0.31,-68.5,-0.023
-0.3,-70.6,-0.022
-0.3,-72.7,-0.022
-0.3,-74.9,-0.022
-0.31,-72.8,-0.023
-0.3,-71,-0.022
-0.3,-69.2,-0.022
-0.33,-67.3,-0.024
-0.33,-65.4,-0.024
-0.31,-67.5,-0.023
-0.3,-69.4,-0.022
-0.28,-71.4,-0.02
-0.3,-69.2,-0.023
-0.32,-67.3,-0.024
-0.32,-65.3,-0.024
-0.32,-63.2,-0.024
-0.32,-61.2,-0.024
-0.32,-59.3,-0.023
-0.31,-61.3,-0.023
-0.3,-63.4,-0.022
-0.3,-65.5,-0.022
-0.3,-67.4,-0.022
-0.29,-65.4,-0.021
-0.29,-63.1,-0.022
-0.3,-61,-0.022
-0.3,-58.6,-0.023
-0.3,-56.4,-0.023
-0.3,-54.6,-0.022
-0.29,-52.6,-0.022
-0.29,-54.6,-0.021
-0.29,-52,-0.021
-0.28,-49.3,-0.021
-0.28,-46.7,-0.02
-0.27,-44.7,-0.02
-0.26,-43,-0.019
-0.26,-45.1,-0.019
-0.26,-47,-0.019
-0.27,-45.1,-0.02
-0.27,-42.8,-0.02
-0.27,-40.5,-0.02
-0.26,-38.5,-0.02
-0.26,-36.5,-0.019
-0.25,-34.7,-0.018
-0.24,-32.9,-0.018
-0.23,-31,-0.017
-0.21,-29,-0.016
-0.2,-27.1,-0.015
-0.2,-25.3,-0.015
-0.19,-23.3,-0.014
-0.18,-21.5,-0.013
-0.17,-19.5,-0.012
-0.16,-17.5,-0.012
-0.15,-15.6,-0.011
-0.14,-13.6,-0.011
-0.12,-12,-0.009
-0.12,-10.1,-0.009
