Test unit,CS02
Reference,Magenes et al. (2010)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
0.11,-0.2,0.004
0.11,-0.2,0.004
0.11,-0.2,0.004
0.11,-0.2,0.004
0.11,-0.2,0.004
0.11,-0.2,0.004
0.11,-0.2,0.004
0.11,-0.2,0.004
0.11,-0.2,0.004
0.11,-0.2,0.004
0.11,-0.2,0.004
0.11,-0.2,0.004
0.11,-0.2,0.004
0.11,-0.2,0.004
0.1,-0.2,0.004
0.1,-0.2,0.004
0.11,-0.2,0.004
0.11,-0.2,0.004
0.11,-0.2,0.004
0.11,-0.2,0.004
0.11,-0.2,0.004
0.11,-0.2,0.004
0.11,-0.2,0.004
0.11,-0.2,0.004
0.11,-0.2,0.004
0.11,-0.1,0.004
0.11,0.1,0.004
0.12,0.3,0.005
0.12,0.6,0.005
0.13,0.8,0.005
0.13,1,0.005
0.13,1.2,0.005
0.13,1.3,0.005
0.14,1.4,0.005
0.14,1.5,0.006
0.14,1.7,0.006
0.14,1.8,0.006
0.14,1.9,0.006
0.15,2,0.006
0.15,2.2,0.006
0.15,2.3,0.006
0.15,2.5,0.006
0.15,2.6,0.006
0.16,2.8,0.006
0.16,3,0.006
0.16,3.2,0.006
0.17,3.4,0.007
0.17,3.6,0.007
0.17,3.8,0.007
0.18,4.1,0.007
0.18,4.3,0.007
0.19,4.6,0.007
0.19,4.8,0.008
0.2,5.1,0.008
0.2,5.4,0.008
0.21,5.8,0.008
0.21,6.1,0.009
0.22,6.4,0.009
0.22,6.7,0.009
0.23,7,0.009
0.23,7.3,0.009
0.24,7.6,0.009
0.24,7.9,0.01
0.25,8.3,0.01
0.25,8.6,0.01
0.26,8.9,0.01
0.26,9.2,0.011
0.27,9.5,0.011
0.28,9.8,0.011
0.28,10.1,0.011
0.29,10.4,0.011
0.29,10.6,0.012
0.3,10.9,0.012
0.3,11.2,0.012
0.31,11.5,0.012
0.31,11.8,0.013
0.32,12,0.013
0.32,12.3,0.013
0.33,12.6,0.013
0.33,12.8,0.013
0.34,13.1,0.014
0.35,13.3,0.014
0.35,13.6,0.014
0.36,13.8,0.014
0.36,14,0.014
0.37,14.2,0.015
0.37,14.5,0.015
0.38,14.7,0.015
0.38,14.9,0.015
0.39,15.1,0.016
0.39,15.4,0.016
0.4,15.6,0.016
0.4,15.8,0.016
0.41,16,0.016
0.42,16.2,0.017
0.42,16.4,0.017
0.43,16.6,0.017
0.44,16.8,0.017
0.44,17.1,0.018
0.45,17.3,0.018
0.45,17.5,0.018
0.46,17.7,0.018
0.47,17.9,0.019
0.47,18.1,0.019
0.48,18.3,0.019
0.49,18.5,0.019
0.49,18.7,0.02
0.5,18.8,0.02
0.5,19.1,0.02
0.51,19.2,0.02
0.52,19.4,0.021
0.52,19.6,0.021
0.53,19.8,0.021
0.53,19.9,0.021
0.54,20.1,0.022
0.55,20.2,0.022
0.55,20.4,0.022
0.56,20.6,0.022
0.56,20.8,0.023
0.57,21,0.023
0.57,21.1,0.023
0.57,21,0.023
0.57,20.8,0.023
0.57,20.5,0.023
0.57,20.1,0.023
0.57,19.8,0.023
0.56,19.4,0.023
0.56,19.1,0.022
0.55,18.7,0.022
0.55,18.3,0.022
0.54,18,0.022
0.54,17.6,0.021
0.53,17.3,0.021
0.52,17,0.021
0.52,16.7,0.021
0.51,16.4,0.02
0.51,16,0.02
0.5,15.7,0.02
0.49,15.4,0.02
0.49,15.1,0.02
0.48,14.7,0.019
0.47,14.4,0.019
0.47,14,0.019
0.46,13.7,0.019
0.46,13.4,0.018
0.45,13.2,0.018
0.45,12.9,0.018
0.44,12.6,0.018
0.43,12.3,0.017
0.43,12,0.017
0.42,11.7,0.017
0.41,11.4,0.017
0.41,11.1,0.016
0.4,10.8,0.016
0.4,10.5,0.016
0.39,10.2,0.016
0.38,9.9,0.015
0.38,9.6,0.015
0.37,9.3,0.015
0.37,9,0.015
0.36,8.7,0.014
0.36,8.4,0.014
0.35,8,0.014
0.35,7.7,0.014
0.34,7.4,0.014
0.34,7.1,0.014
0.33,6.8,0.013
0.33,6.5,0.013
0.32,6.2,0.013
0.32,5.9,0.013
0.31,5.6,0.012
0.3,5.3,0.012
0.3,5,0.012
0.29,4.7,0.012
0.29,4.4,0.012
0.28,4.2,0.011
0.28,3.9,0.011
0.27,3.6,0.011
