Test unit,CT02
Reference,Magenes et al. (2010)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
0.06,-0.2,0.002
0.05,-0.2,0.002
0.05,-0.2,0.002
0.06,-0.2,0.002
0.06,-0.2,0.002
0.05,-0.2,0.002
0.06,-0.2,0.002
0.06,-0.2,0.002
0.05,-0.2,0.002
0.05,-0.2,0.002
0.05,-0.2,0.002
0.05,-0.2,0.002
0.05,-0.2,0.002
0.05,-0.2,0.002
0.05,-0.2,0.002
0.06,-0.2,0.002
0.05,-0.2,0.002
0.05,-0.2,0.002
0.06,-0.2,0.002
0.05,-0.2,0.002
0.05,-0.2,0.002
0.05,-0.2,0.002
0.05,-0.2,0.002
0.05,-0.2,0.002
0.05,-0.2,0.002
0.06,-0.2,0.002
0.05,-0.2,0.002
0.06,-0.2,0.002
0.06,-0,0.002
0.06,0.2,0.002
0.06,0.4,0.002
0.06,0.6,0.002
0.06,0.7,0.003
0.07,0.9,0.003
0.07,1,0.003
0.07,1.2,0.003
0.07,1.4,0.003
0.07,1.6,0.003
0.07,1.7,0.003
0.08,1.9,0.003
0.08,2.1,0.003
0.09,2.3,0.003
0.09,2.5,0.004
0.09,2.8,0.004
0.1,3.1,0.004
0.1,3.4,0.004
0.11,3.8,0.004
0.11,4.2,0.004
0.12,4.5,0.005
0.12,4.9,0.005
0.13,5.3,0.005
0.13,5.7,0.005
0.14,6,0.006
0.14,6.5,0.006
0.15,6.8,0.006
0.15,7.3,0.006
0.16,7.7,0.006
0.17,8.2,0.007
0.17,8.6,0.007
0.17,9.1,0.007
0.18,9.5,0.007
0.18,9.9,0.007
0.19,10.3,0.008
0.19,10.7,0.008
0.2,11.1,0.008
0.21,11.5,0.008
0.21,11.9,0.008
0.21,12.3,0.009
0.22,12.7,0.009
0.22,13.1,0.009
0.23,13.4,0.009
0.24,13.8,0.009
0.24,14.2,0.01
0.25,14.6,0.01
0.25,14.9,0.01
0.26,15.3,0.01
0.26,15.7,0.01
0.26,16.1,0.011
0.27,16.4,0.011
0.28,16.9,0.011
0.28,17.3,0.011
0.29,17.7,0.011
0.29,18.1,0.012
0.3,18.5,0.012
0.3,18.8,0.012
0.31,19.2,0.012
0.31,19.6,0.013
0.32,20,0.013
0.32,20.4,0.013
0.33,20.8,0.013
0.33,21.2,0.013
0.34,21.6,0.014
0.35,22,0.014
0.35,22.4,0.014
0.36,22.8,0.014
0.36,23.2,0.015
0.37,23.6,0.015
0.38,24,0.015
0.38,24.3,0.015
0.38,24.7,0.015
0.39,25.1,0.016
0.4,25.5,0.016
0.4,25.8,0.016
0.41,26.2,0.016
0.41,26.5,0.016
0.42,26.9,0.017
0.42,27.3,0.017
0.43,27.6,0.017
0.43,28,0.017
0.44,28.3,0.018
0.44,28.6,0.018
0.45,29,0.018
0.45,29.3,0.018
0.46,29.6,0.018
0.46,29.9,0.019
0.47,30.2,0.019
0.47,30.5,0.019
0.48,30.8,0.019
0.48,31.1,0.019
0.49,31.5,0.019
0.49,31.8,0.02
0.5,32.1,0.02
0.5,32.4,0.02
0.51,32.7,0.02
0.51,33,0.021
0.52,33.3,0.021
0.53,33.6,0.021
0.53,33.9,0.021
0.54,34.3,0.022
0.54,34.6,0.022
0.55,34.9,0.022
0.56,35.2,0.022
0.56,35.5,0.023
0.57,35.8,0.023
0.57,36.1,0.023
0.58,36.4,0.023
0.58,36.7,0.023
0.59,37,0.023
0.59,37.2,0.024
0.59,37.5,0.024
0.6,37.8,0.024
0.6,38.1,0.024
0.61,38.3,0.024
0.61,38.6,0.024
0.62,38.8,0.025
0.62,39.1,0.025
0.62,39.3,0.025
0.63,39.6,0.025
0.63,39.8,0.025
0.64,40.1,0.025
0.64,40.4,0.026
0.64,40.6,0.026
0.65,40.9,0.026
0.65,41.2,0.026
0.66,41.4,0.026
0.66,41.7,0.027
0.67,42,0.027
0.67,42.2,0.027
0.67,42.5,0.027
0.68,42.8,0.027
0.68,43,0.027
0.69,43.3,0.027
0.69,43.6,0.028
0.69,43.8,0.028
0.7,44.1,0.028
0.7,44.3,0.028
0.7,44.5,0.028
0.71,44.7,0.028
0.71,45,0.028
0.72,45.2,0.029
0.72,45.5,0.029
0.72,45.7,0.029
0.72,46,0.029
0.73,46.2,0.029
0.73,46.4,0.029
0.74,46.6,0.029
0.74,46.9,0.03
