Test unit,WS4.100
Reference,Vasconcelos and Lourenço (2009)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-1.84,-20.4,-0.139
-1.76,-20.6,-0.133
-1.84,-20.1,-0.139
-1.68,-18.5,-0.126
-1.51,-15.6,-0.114
-1.34,-12.5,-0.101
-1.09,-9.9,-0.082
-0.84,-6.6,-0.063
-0.59,-3.6,-0.044
-0.42,-0.5,-0.032
-0.42,-0.2,-0.032
-0.25,0.2,-0.019
-0.17,1.8,-0.013
0,3,0
0.08,4.1,0.006
0.17,5.4,0.013
0.25,6.9,0.019
0.34,8.6,0.025
0.5,9.9,0.038
0.67,11.7,0.051
0.84,13.1,0.063
1.01,14.7,0.076
1.26,16.4,0.095
1.42,17.9,0.108
1.51,19.3,0.114
1.59,20.2,0.12
1.68,20.9,0.126
1.59,18.2,0.12
1.42,15.7,0.108
1.26,12.8,0.095
1.17,9.9,0.089
0.92,7.7,0.07
0.75,5,0.057
0.5,2.7,0.038
0.42,1.2,0.032
0.34,-0.2,0.025
0.25,-0.2,0.019
0.25,-3.6,0.019
-0.17,-5.7,-0.013
-0.25,-7.2,-0.019
-0.34,-8.5,-0.025
-0.59,-10.2,-0.044
-0.67,-12.2,-0.051
-0.92,-14.4,-0.07
-0.92,-15.9,-0.07
-1.09,-17.6,-0.082
-1.34,-18.9,-0.101
-1.59,-20.6,-0.12
-1.59,-22.1,-0.12
NaN,NaN,NaN
-3.85,-32.8,-0.291
-3.35,-28.9,-0.253
-2.8,-23.4,-0.211
-2.39,-18.6,-0.18
-1.66,-11.3,-0.125
-1.06,-2.8,-0.08
-0.81,-0.3,-0.061
-0.5,2.4,-0.038
-0.05,8.7,-0.004
0.75,17.1,0.057
1.39,23.4,0.105
1.98,27.3,0.15
2.87,30.2,0.217
3.35,30.8,0.253
4.02,31.3,0.303
3.28,28.7,0.248
2.68,23.7,0.202
2.14,16,0.161
1.65,9.6,0.125
1.04,2.6,0.078
0.92,-0.2,0.07
0.71,-2.5,0.054
0.43,-5.5,0.032
-0.19,-14,-0.015
-0.91,-22.4,-0.068
-1.44,-27.7,-0.109
-2.03,-32.7,-0.153
-2.91,-35.7,-0.22
-3.89,-36.4,-0.294
-3.94,-36.1,-0.297
NaN,NaN,NaN
-6.45,-37.3,-0.487
-5.61,-35.6,-0.424
-4.69,-34.4,-0.354
-4.24,-35.5,-0.32
-3.75,-32.2,-0.283
-3.15,-27,-0.237
-2.59,-21.3,-0.195
-2.09,-15.9,-0.158
-1.57,-8.3,-0.119
-1.13,-3.2,-0.085
-0.71,2.3,-0.054
-0.39,7.7,-0.029
0.11,12.8,0.008
0.6,19,0.045
1.46,28.9,0.111
2.14,31.3,0.161
3.18,32.2,0.24
4.11,32.5,0.31
5.06,33.2,0.382
6.03,33.7,0.455
5.79,32.1,0.437
4.85,31,0.366
3.8,29.9,0.287
2.61,29.5,0.197
2.1,27.3,0.158
0.98,15.1,0.074
0.48,9.6,0.036
-0.32,-0.7,-0.024
-0.92,-7.8,-0.07
-1.53,-15.6,-0.115
-2.03,-21,-0.153
-2.61,-26.8,-0.197
-3.17,-31.9,-0.239
-3.85,-35.1,-0.291
-4.86,-36.4,-0.367
-6.11,-37,-0.461
-6.45,-37.3,-0.487
-6.45,-37.3,-0.487
NaN,NaN,NaN
-8.97,-37.9,-0.677
-8.21,-36,-0.62
-6.96,-35,-0.525
-5.65,-34.2,-0.426
-4.41,-33,-0.333
-3.58,-25.7,-0.271
-3.06,-19.8,-0.231
-2.11,-8.8,-0.159
-1.61,-2.8,-0.122
-1.4,0.1,-0.106
-0.91,5.5,-0.069
-0.52,11.3,-0.039
0.16,19.2,0.012
0.68,25.2,0.051
1.51,31,0.114
2.77,32,0.209
4.15,32.7,0.313
5.25,33.7,0.396
6.3,35,0.476
6.86,34.5,0.518
8.14,34.7,0.614
8.4,33.5,0.634
6.7,32,0.506
5.45,30.8,0.411
4.27,30,0.323
2.93,29.2,0.221
1.82,26.8,0.137
1.1,20.1,0.083
0.3,11.7,0.023
-0.2,4.6,-0.015
-0.27,1.7,-0.021
-0.79,-3,-0.06
-1.69,-12.2,-0.127
-2.12,-17.3,-0.16
-2.62,-22.9,-0.198
-3.42,-31,-0.258
-3.89,-34.2,-0.294
-4.95,-35.6,-0.374
-6.07,-36.5,-0.458
