Test unit,WI1.250
Reference,Vasconcelos and Lourenço (2009)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-0.54,-14.4,-0.041
-0.54,-12.7,-0.041
-0.38,-5.7,-0.028
-0.21,-2.5,-0.016
-0.18,-0.4,-0.013
-0.07,1.5,-0.005
-0.02,3.4,-0.001
0.04,4.5,0.003
0.34,10.3,0.026
0.45,13.6,0.034
0.63,15.3,0.047
0.63,17.3,0.047
0.75,16.2,0.056
0.63,13.7,0.047
0.42,7.9,0.032
0.3,3.1,0.023
0.21,-0.2,0.016
0.17,-1.1,0.013
0.04,-3.8,0.003
-0.21,-8.9,-0.016
-0.25,-11.7,-0.019
-0.38,-13.8,-0.028
-0.38,-14.4,-0.028
NaN,NaN,NaN
-1.38,-28.3,-0.104
-1.33,-27,-0.1
-1.12,-20.2,-0.085
-0.81,-14.2,-0.061
-0.63,-9.5,-0.047
-0.46,-6.9,-0.035
-0.38,-1.9,-0.028
-0.29,0.5,-0.022
-0.21,1.4,-0.016
-0.21,3.5,-0.016
0.02,8.6,0.002
0.04,8.3,0.003
0.5,15.8,0.038
0.63,18.8,0.047
0.83,20.9,0.063
1.21,26.4,0.092
1.38,29.2,0.104
1.63,32,0.123
1.55,29.9,0.117
1.45,22.2,0.109
1.13,14.6,0.085
0.96,10.6,0.073
0.8,7.1,0.06
0.54,3.6,0.041
0.38,0.6,0.028
0.36,-1.1,0.027
0.21,-3.6,0.016
-0.13,-9.7,-0.009
-0.38,-15.6,-0.028
-0.48,-18.7,-0.036
-0.74,-22.5,-0.056
-1.13,-26.7,-0.085
-1.21,-28.9,-0.092
NaN,NaN,NaN
-2.14,-40.9,-0.161
-2.02,-34.6,-0.152
-1.76,-29.8,-0.133
-1.55,-24.5,-0.117
-1.38,-20,-0.104
-1.08,-13.8,-0.081
-0.63,-6.9,-0.047
-0.46,-2.1,-0.035
-0.14,3.2,-0.01
0,6,0
0.27,10.5,0.021
0.38,14.4,0.028
0.8,19.5,0.06
0.99,24.5,0.075
1.21,27.6,0.092
1.59,33.5,0.12
1.99,38.6,0.151
2.47,42.7,0.186
2.81,43.9,0.212
2.52,36.5,0.19
2.04,26.6,0.154
1.8,21.8,0.136
1.51,16.6,0.114
1.21,11.2,0.092
0.93,5.5,0.07
0.63,1.2,0.047
0.38,-3.3,0.028
0.1,-9.4,0.007
-0.29,-14,-0.022
-0.63,-22.7,-0.047
-0.78,-24.6,-0.059
-1.19,-30.6,-0.09
-1.55,-35.5,-0.117
-1.8,-38.5,-0.136
-1.97,-41.2,-0.149
NaN,NaN,NaN
-2.97,-50.7,-0.224
-2.81,-44.8,-0.212
-2.45,-36.3,-0.185
-2.11,-31,-0.159
-1.63,-23.7,-0.123
-1.21,-14.3,-0.092
-0.71,-6.7,-0.054
-0.42,-0.8,-0.032
-0.07,5.2,-0.006
0.21,9.5,0.016
0.73,18,0.055
1.13,23.8,0.086
1.41,27.3,0.106
1.8,32.7,0.136
2.02,36.3,0.153
2.3,40.6,0.174
2.67,44,0.201
3.48,50.1,0.262
4.06,53.5,0.307
3.73,46,0.281
3.31,39.6,0.25
2.91,34.3,0.22
2.42,25.4,0.183
1.93,17.4,0.146
1.55,11.7,0.117
1.16,5.3,0.087
0.8,-0.2,0.06
0.54,-3.3,0.041
0.15,-10.3,0.012
-0.15,-14.8,-0.011
-0.76,-23.9,-0.058
-1.31,-30.1,-0.099
-1.63,-36.1,-0.123
-2.07,-42.3,-0.156
-2.55,-47,-0.193
-2.81,-50.5,-0.212
NaN,NaN,NaN
-5.07,-63.7,-0.382
-4.32,-52.7,-0.326
-3.18,-37.1,-0.24
-2.81,-31.4,-0.212
-2.28,-24.2,-0.172
-1.72,-15.1,-0.13
-1.18,-7.3,-0.089
-0.71,-1,-0.054
-0.21,7.1,-0.016
0.55,17.2,0.042
1.05,24.4,0.079
1.47,28.8,0.111
1.92,34.5,0.145
2.44,40.1,0.184
2.97,46,0.224
3.98,52.2,0.3
4.48,55.5,0.338
4.93,58,0.372
5.4,59,0.408
5.82,61.8,0.439
6.24,60.2,0.471
5.44,49,0.411
4.4,40.3,0.332
4.31,36.9,0.325
3.78,31.8,0.286
2.89,18.5,0.218
2.43,15.4,0.184
1.9,8.4,0.143
1.47,2.3,0.111
1.13,-1.5,0.085
0.35,-12,0.026
