Test unit,WR1.250
Reference,Vasconcelos and Lourenço (2009)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-0.42,-9.9,-0.032
-0.34,-9.4,-0.025
-0.17,-1.5,-0.013
-0,2,-0
0.14,4.9,0.011
0.34,9.7,0.026
0.5,12.5,0.038
0.92,18.5,0.07
1.11,22,0.084
1.34,23.8,0.101
1.25,18.5,0.094
0.95,12.5,0.071
0.84,8.8,0.063
0.49,2.5,0.037
0.34,-0.1,0.025
0.22,-3,0.017
0.1,-5.5,0.007
-0.08,-8.6,-0.006
-0.08,-10.5,-0.006
NaN,NaN,NaN
-1.09,-24.8,-0.082
-1.09,-22.7,-0.082
-0.81,-15,-0.061
-0.25,-2.9,-0.019
-0.08,0.1,-0.006
0.08,2.6,0.006
0.22,6.1,0.017
0.55,11.9,0.041
0.79,16.9,0.06
0.92,18.9,0.07
1.05,20.6,0.079
1.17,24.1,0.089
1.4,26.2,0.106
1.71,31.1,0.129
2.1,34.5,0.158
2.27,36.1,0.171
2.35,32.8,0.177
1.93,24.5,0.146
1.56,17.4,0.118
1.39,13.5,0.105
0.92,7.3,0.07
0.83,3.1,0.062
0.59,-0.1,0.044
0.5,-1.9,0.038
0.32,-6,0.024
0.07,-10.3,0.005
-0.34,-15.3,-0.025
-0.56,-20.1,-0.042
-0.86,-25.2,-0.065
-1.01,-26.3,-0.076
NaN,NaN,NaN
-2.1,-37.9,-0.158
-1.71,-28.2,-0.129
-1.48,-23.3,-0.112
-1.16,-17.3,-0.087
-0.88,-11.3,-0.067
-0.56,-7.1,-0.042
-0.17,0.4,-0.013
0.17,7.4,0.013
0.59,11.8,0.044
0.77,17.2,0.058
1.27,24,0.096
1.86,31.8,0.141
2.1,35,0.158
2.35,39.6,0.177
2.85,43.4,0.215
3.24,46.2,0.245
3.44,46.1,0.26
3.52,42.9,0.266
3.43,39.9,0.259
3.1,36.7,0.234
2.96,32.8,0.223
2.57,26.8,0.194
1.93,17.2,0.146
1.34,8.8,0.101
1.14,4.8,0.086
0.83,-0.1,0.063
0.64,-2.7,0.048
0.25,-9.3,0.019
-0.15,-14.9,-0.011
-0.59,-21.9,-0.044
-0.77,-24.9,-0.058
-1.34,-32.2,-0.101
-1.51,-35.6,-0.114
-2.01,-39.5,-0.152
NaN,NaN,NaN
-3.1,-48.6,-0.234
-2.72,-39.9,-0.205
-2.19,-31.3,-0.165
-1.43,-18.3,-0.108
-1.06,-13.1,-0.08
-0.76,-7.8,-0.057
-0.48,-2.8,-0.036
-0.25,0.6,-0.019
-0.01,4.1,-0.001
0.78,16.5,0.059
1.41,24.3,0.107
1.64,27.3,0.124
2.22,35.8,0.168
2.6,40.4,0.196
2.96,43.9,0.223
3.34,47.2,0.252
3.78,50.5,0.285
4.36,53.4,0.329
4.69,51.6,0.354
4.55,45.8,0.343
4.14,39.7,0.313
3.56,34.4,0.269
3.28,29.8,0.248
2.54,21.8,0.192
1.59,8.5,0.12
1.31,2.7,0.099
0.67,-4.7,0.051
0.34,-10.5,0.025
-0.04,-14.9,-0.003
-0.54,-23.1,-0.041
-1.01,-28.5,-0.076
-1.66,-36.2,-0.125
-2.14,-41.6,-0.161
-2.52,-45,-0.19
-3.02,-49.8,-0.228
NaN,NaN,NaN
-5.37,-62.7,-0.405
-5.21,-59,-0.393
-4.62,-50.5,-0.348
-3.94,-41.5,-0.298
-3.02,-36.7,-0.228
-3.17,-31.8,-0.239
-2.69,-25.4,-0.203
-2.04,-15.3,-0.154
-1.26,-6.2,-0.095
-0.92,-0.6,-0.07
-0.65,2.7,-0.049
0.12,12.8,0.009
0.86,21.5,0.065
1.41,28.5,0.106
2.39,38.7,0.18
2.91,44.7,0.22
3.94,51.9,0.298
4.7,55.2,0.355
5.4,57.8,0.408
6.29,59.9,0.475
6.97,57,0.526
6.06,42.7,0.457
4.81,30.8,0.363
3.21,15.9,0.242
2.6,10,0.196
2.22,4.6,0.168
1.59,-2.8,0.12
0.7,-13,0.053
0.27,-19.9,0.021
-0.34,-24.8,-0.025
-1.26,-35.6,-0.095
-1.87,-40.8,-0.141
-2.52,-47.7,-0.19
-2.94,-51.4,-0.222
-3.52,-56.2,-0.266
-4.2,-59.8,-0.317
-4.87,-62.7,-0.367
-5.2,-64.4,-0.393
-5.29,-63.9,-0.399
-5.45,-65,-0.412
