Test unit,S5
Reference,Mazzon (2010)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,-0,0
0,0,0
0.01,0,0.001
0.01,0,0.001
0.01,0,0
0,0,0
-0,0,-0
-0,0,-0
-0,0,-0
-0,0,-0
-0,0.1,-0
-0,0,-0
-0,0.1,-0
0,0,0
0,0.1,0
0,0,0
0,0,0
0,0,0
0,0,0
0.01,0,0.001
0.01,0,0.001
0.01,0,0
0,0,0
-0,0,-0
-0,0.1,-0
-0,0,-0
-0,0,-0
-0,0,-0
0,0,0
0,0.1,0
0,0.1,0
0,0,0
0,0,0
0,0,0
0,0,0
0,-0,0
0.01,0,0.001
0.01,0,0.001
0.01,0.1,0
0,0,0
-0,0,-0
-0,0.1,-0
-0,0.1,-0
-0,0.1,-0
-0,0.1,-0
-0,0.1,-0
-0,0.1,-0
0,0.1,0
0,0.2,0
0,0.2,0
0,0.2,0
-0,0.2,-0
0,0.2,0
0.01,0.2,0.001
0.01,0.2,0.001
0.01,0.4,0.001
0.01,0.7,0.001
0,1.1,0
-0,1.7,-0
-0,2.6,-0
-0,4,-0
-0,6.6,-0
0,10,0
0.02,14.1,0.001
0.04,17.9,0.003
0.06,21.1,0.005
0.09,22.7,0.006
0.1,22.6,0.007
0.1,22.2,0.007
0.1,22.1,0.007
0.1,22.2,0.007
0.12,22.8,0.009
0.14,23.4,0.009
0.14,24,0.01
0.14,24.3,0.01
0.15,24.9,0.01
0.15,25.2,0.01
0.16,25.4,0.011
0.16,25.9,0.012
0.18,26.4,0.012
0.18,26.7,0.013
0.19,27.2,0.013
0.2,27.6,0.014
0.21,27.8,0.014
0.21,27.9,0.015
0.22,28.1,0.015
0.22,28.3,0.015
0.23,28.6,0.016
0.24,28.9,0.017
0.26,29.4,0.018
0.26,29.6,0.018
0.26,29.7,0.018
0.26,30.1,0.018
0.27,30.6,0.019
0.27,30.9,0.019
0.28,30.7,0.019
0.28,30.8,0.02
0.29,31.5,0.02
0.3,32.1,0.021
0.31,32.3,0.021
0.31,32.4,0.022
0.32,32.6,0.022
0.32,32.8,0.023
0.33,32.9,0.023
0.33,33,0.023
0.34,33,0.024
0.35,33.1,0.025
0.35,33.5,0.025
0.35,33.7,0.025
0.36,34,0.025
0.36,34.3,0.025
0.37,34.6,0.026
0.37,34.6,0.026
0.37,34.6,0.026
0.38,34.3,0.026
0.38,34.4,0.026
0.39,35.2,0.027
0.4,35.9,0.028
0.4,36,0.028
0.4,35.8,0.028
0.4,35.5,0.028
0.41,35.4,0.028
0.42,35.8,0.029
0.43,36.4,0.03
0.43,36.2,0.03
0.43,35.7,0.03
0.42,35.2,0.03
0.42,35.5,0.029
0.43,36.8,0.03
0.44,37.4,0.031
0.44,37.3,0.031
0.44,36.9,0.031
0.44,35.8,0.031
0.44,34.9,0.031
0.44,34.7,0.031
0.44,34.8,0.031
0.44,34.9,0.031
0.45,35.8,0.031
0.45,36.8,0.032
0.47,37.8,0.033
0.48,37.7,0.034
0.48,37.3,0.033
0.47,36.4,0.033
0.47,35.6,0.033
0.47,35,0.033
0.46,34.4,0.032
0.46,34.3,0.032
0.47,34.4,0.033
0.47,34.7,0.033
0.47,34.9,0.033
0.47,35,0.033
0.47,35,0.033
0.47,35.4,0.033
0.47,35.7,0.033
0.47,35.9,0.033
0.47,36.1,0.033
0.48,36.5,0.034
0.49,36.6,0.034
0.49,36.5,0.034
0.48,36.3,0.034
0.48,35.8,0.033
0.47,35,0.033
0.47,34.2,0.033
0.48,33.5,0.033
0.48,32.9,0.033
0.48,32,0.033
0.48,31.2,0.033
0.48,30.4,0.033
0.48,29.7,0.034
0.48,28.9,0.034
0.48,27.9,0.034
0.48,26.6,0.034
0.48,25,0.034
0.49,23.6,0.034
0.5,22.1,0.035
0.49,20.5,0.034
0.48,18.9,0.034
0.47,17.4,0.033
0.46,16.3,0.032
0.45,15.8,0.032
0.45,15.6,0.031
0.45,15.4,0.031
0.45,15,0.031
0.45,14.6,0.031
0.44,14.4,0.031
0.44,14.2,0.031
0.44,13.9,0.031
0.44,13.5,0.031
0.43,12.9,0.03
0.43,12.2,0.03
0.43,11.8,0.03
0.43,11.5,0.03
0.43,11.3,0.03
0.42,10.9,0.029
0.41,10.4,0.029
0.4,9.6,0.028
