Test unit,PG1
Reference,Almeida et al. (2012)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
0.12,-0.4,0.005
0.09,-0.4,0.004
0.07,-0.5,0.003
-0.05,-4,-0.002
-0.1,-8.6,-0.004
-0.24,-11.9,-0.009
-0.35,-14.8,-0.013
-0.31,-15.2,-0.012
-0.25,-14.7,-0.01
-0.21,-12.5,-0.008
-0.11,-8,-0.004
-0.11,-3.2,-0.004
-0.07,-0,-0.003
0.05,1.3,0.002
0.12,5,0.005
0.24,9.8,0.009
0.38,14,0.015
0.57,18.1,0.022
0.68,19.5,0.026
0.65,18.4,0.025
0.56,14.1,0.022
0.5,7.6,0.019
0.38,3.2,0.015
0.39,0.3,0.015
0.27,-2.7,0.011
0.14,-5.7,0.005
0.03,-9.9,0.001
-0.11,-14,-0.004
-0.18,-16,-0.007
-0.32,-18.1,-0.012
-0.46,-20.8,-0.018
-0.64,-24.6,-0.025
-0.73,-25.1,-0.028
-0.63,-23.7,-0.024
-0.64,-20.3,-0.025
-0.57,-16,-0.022
-0.49,-10.9,-0.019
-0.4,-6.7,-0.015
-0.24,-2.4,-0.009
-0.18,0.8,-0.007
-0.09,3.7,-0.003
0.03,7,0.001
0.26,13.2,0.01
0.42,16.4,0.016
0.51,18.8,0.02
0.5,19.9,0.019
0.77,21.2,0.029
0.71,16.4,0.027
0.7,11.1,0.027
0.54,6.3,0.021
0.5,3.8,0.019
0.42,1.3,0.016
0.33,-1.3,0.013
0.27,-3.5,0.01
0.17,-8.5,0.007
0.04,-11.6,0.002
-0.05,-14.6,-0.002
-0.11,-16.5,-0.004
-0.22,-19.1,-0.008
-0.35,-21.5,-0.014
-0.43,-24.2,-0.017
-0.48,-25.1,-0.019
-0.79,-27.3,-0.03
-0.68,-18.2,-0.026
-0.63,-16.6,-0.024
-0.58,-12.1,-0.022
-0.48,-6.7,-0.019
-0.32,-2.8,-0.012
-0.22,-0.7,-0.008
-0.13,2.4,-0.005
-0.1,4.7,-0.004
-0.05,7.4,-0.002
0.08,11.2,0.003
0.16,13.1,0.006
0.29,15.4,0.011
0.33,18,0.013
0.41,18.9,0.016
0.5,20.5,0.019
0.56,22.2,0.022
0.65,23.9,0.025
0.75,26.3,0.029
0.8,26.7,0.031
1.03,28.8,0.04
1.07,29,0.041
1.09,28.5,0.042
1.09,23.1,0.042
1.1,20.2,0.042
0.98,15.9,0.038
0.88,9.8,0.034
0.71,5.8,0.027
0.56,1.4,0.021
0.5,-1.9,0.019
0.41,-2.7,0.016
0.33,-6,0.013
0.19,-8.9,0.007
0.13,-12.7,0.005
-0.03,-16.9,-0.001
-0.26,-22.6,-0.01
-0.32,-23.9,-0.012
-0.48,-26.7,-0.019
-0.71,-29.8,-0.027
-0.81,-31.6,-0.031
-0.88,-32.2,-0.034
-1.01,-34.6,-0.039
-1.09,-35.2,-0.042
-1.1,-35.3,-0.042
-1.1,-31.4,-0.042
-1.01,-25.4,-0.039
-0.95,-22,-0.037
-0.87,-18.7,-0.033
-0.72,-12.6,-0.028
-0.58,-8.9,-0.022
-0.49,-6.4,-0.019
-0.47,-5.5,-0.018
-0.35,-0.5,-0.014
-0.25,0.4,-0.01
-0.29,0.9,-0.011
-0.11,3.9,-0.004
-0.09,5.2,-0.003
0.04,9.7,0.001
0.21,13.4,0.008
0.42,18.3,0.016
0.56,21.5,0.021
0.64,23.2,0.025
0.93,27.5,0.036
0.96,27.7,0.037
1.03,29.9,0.04
1.03,23.3,0.04
0.94,18.1,0.036
0.91,17.1,0.035
0.8,11.4,0.031
0.72,10.4,0.028
0.65,6.6,0.025
0.45,1.1,0.017
0.33,-2.6,0.013
0.3,-4.2,0.012
0.28,-8.6,0.011
0.17,-12.4,0.007
0.12,-13.5,0.005
0.03,-16.2,0.001
-0.21,-21,-0.008
-0.25,-22.4,-0.01
-0.53,-28,-0.02
-0.73,-32.3,-0.028
-0.97,-35.1,-0.037
-1.03,-35.5,-0.04
-1.25,-34.7,-0.048
-1.19,-28.9,-0.046
-1.09,-22.3,-0.042
-0.95,-17.6,-0.037
-0.85,-13.1,-0.033
-0.72,-7.8,-0.028
-0.47,-2.8,-0.018
-0.43,-0.5,-0.017
-0.34,0.6,-0.013
-0.23,4.7,-0.009
-0.2,5.8,-0.008
-0.11,8,-0.004
0.06,11.4,0.002
