Test unit,test 5
Reference,Krzan et al. (2015)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-0.08,-0,-0.006
0.08,3.1,0.006
0.08,6.9,0.006
0.25,7.7,0.017
0.25,8.4,0.017
0.25,1.5,0.017
0.08,0.8,0.006
0.08,-3.8,0.006
-0.08,-4.6,-0.006
-0.08,-9.2,-0.006
-0.25,-10,-0.017
-0.25,-11.5,-0.017
-0.25,-3.8,-0.017
-0.08,-3.1,-0.006
-0.08,-0,-0.006
NaN,NaN,NaN
-0.08,0.8,-0.006
-0.08,1.5,-0.006
0.08,2.3,0.006
0.08,6.9,0.006
0.25,7.7,0.017
0.25,9.2,0.017
0.25,2.3,0.017
0.08,1.5,0.006
0.08,-3.8,0.006
-0.08,-4.6,-0.006
-0.08,-8.5,-0.006
-0.25,-9.2,-0.017
-0.25,-11.5,-0.017
-0.25,-3.8,-0.017
-0.08,-3.1,-0.006
-0.08,-0,-0.006
NaN,NaN,NaN
0.08,1.5,0.006
0.08,6.9,0.006
0.25,7.7,0.017
0.25,9.2,0.017
0.25,2.3,0.017
0.08,1.5,0.006
0.08,-3.8,0.006
-0.08,-4.6,-0.006
-0.08,-8.5,-0.006
-0.25,-9.2,-0.017
-0.25,-11.5,-0.017
-0.25,-3.8,-0.017
-0.08,-3.1,-0.006
-0.08,0.8,-0.006
NaN,NaN,NaN
0.08,1.5,0.006
0.08,6.9,0.006
0.25,7.7,0.017
0.25,10.8,0.017
0.42,11.5,0.028
0.42,13.8,0.028
0.42,4.6,0.028
0.25,3.8,0.017
0.25,-1.5,0.017
0.08,-2.3,0.006
0.08,-6.2,0.006
-0.08,-6.9,-0.006
-0.08,-10.8,-0.006
-0.25,-11.5,-0.017
-0.25,-14.6,-0.017
-0.42,-15.4,-0.028
-0.42,-17.7,-0.028
-0.58,-18.5,-0.039
-0.58,-13.9,-0.039
-0.42,-13.1,-0.028
-0.42,-7.7,-0.028
-0.25,-6.9,-0.017
-0.25,-3.1,-0.017
-0.08,-2.3,-0.006
-0.08,-0,-0.006
NaN,NaN,NaN
-0.08,-0,-0.006
-0.08,2.3,-0.006
0.08,3.1,0.006
0.08,6.9,0.006
0.25,7.7,0.017
0.25,10.8,0.017
0.42,11.5,0.028
0.42,14.6,0.028
0.42,5.4,0.028
0.25,4.6,0.017
0.25,-0,0.017
0.08,-0.8,0.006
0.08,-5.4,0.006
-0.08,-6.2,-0.006
-0.08,-10,-0.006
-0.25,-10.8,-0.017
-0.25,-13.9,-0.017
-0.42,-14.6,-0.028
-0.42,-18.5,-0.028
-0.58,-17.7,-0.039
-0.58,-14.6,-0.039
-0.42,-13.9,-0.028
-0.42,-8.5,-0.028
-0.25,-7.7,-0.017
-0.25,-3.1,-0.017
-0.08,-2.3,-0.006
-0.08,-0,-0.006
NaN,NaN,NaN
-0.08,-0,-0.006
-0.08,1.5,-0.006
0.08,2.3,0.006
0.08,6.9,0.006
0.25,7.7,0.017
0.25,10.8,0.017
0.42,11.5,0.028
0.42,14.6,0.028
0.42,5.4,0.028
0.25,4.6,0.017
0.25,-0,0.017
0.08,-0.8,0.006
0.08,-5.4,0.006
-0.08,-6.2,-0.006
-0.08,-10,-0.006
-0.25,-10.8,-0.017
-0.25,-14.6,-0.017
-0.42,-15.4,-0.028
-0.42,-18.5,-0.028
-0.58,-17.7,-0.039
-0.58,-14.6,-0.039
-0.42,-13.9,-0.028
-0.42,-8.5,-0.028
-0.25,-7.7,-0.017
-0.25,-3.1,-0.017
-0.08,-2.3,-0.006
-0.08,-0,-0.006
NaN,NaN,NaN
-0.08,0.8,-0.006
-0.08,1.5,-0.006
0.08,2.3,0.006
0.08,6.9,0.006
0.25,7.7,0.017
0.25,10.8,0.017
0.42,11.5,0.028
0.42,15.4,0.028
0.58,16.1,0.039
0.58,18.4,0.039
0.75,19.2,0.05
0.75,13.1,0.05
0.58,12.3,0.039
0.58,6.9,0.039
0.42,6.1,0.028
0.42,2.3,0.028
0.25,1.5,0.017
0.25,-3.1,0.017
0.08,-3.8,0.006
0.08,-7.7,0.006
-0.08,-8.5,-0.006
-0.08,-11.5,-0.006
-0.25,-12.3,-0.017
-0.25,-16.2,-0.017
-0.42,-16.9,-0.028
-0.42,-19.2,-0.028
-0.58,-20,-0.039
-0.58,-22.3,-0.039
-0.75,-23.1,-0.05
