Test unit,test 1
Reference,Krzan et al. (2015)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-69.83,-72,-3.675
-59.66,-64.1,-3.14
-54.97,-62.1,-2.893
-49.49,-60.1,-2.605
-44.79,-58.1,-2.357
-39.71,-58.1,-2.09
-34.62,-56.6,-1.822
-29.53,-55.1,-1.554
-24.45,-54.1,-1.287
-19.75,-53.1,-1.04
-17.02,-52.1,-0.896
-14.68,-52.1,-0.772
-11.93,-51.1,-0.628
-9.59,-50.1,-0.505
-7.63,-47.1,-0.401
-4.89,-41.1,-0.257
-2.93,-34.2,-0.154
-2.15,-28.7,-0.113
0,0,0
0,0,0
1.76,18.2,0.093
2.94,22.6,0.155
4.89,33.1,0.257
7.24,44.1,0.381
9.59,50,0.505
12.32,53,0.648
14.68,54,0.772
17.02,55,0.896
19.37,55.5,1.019
24.45,57,1.287
29.53,58,1.554
34.62,59,1.822
39.71,60,2.09
44.4,60.5,2.337
49.1,61.5,2.584
54.97,62,2.893
59.27,62.5,3.12
69.84,64.5,3.676
