Test unit,T1-2
Reference,Faella et al. (1992)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-9.05,-76.4,-0.476
-8.55,-77,-0.45
-8.05,-77.6,-0.424
-7.56,-78,-0.398
-6.93,-78.6,-0.365
-6.49,-79.5,-0.341
-6.05,-80.5,-0.318
-5.55,-80.8,-0.292
-5.04,-81.7,-0.265
-4.53,-82.6,-0.238
-4.04,-83.3,-0.212
-3.53,-83,-0.186
-3.01,-82,-0.158
-2.49,-80.1,-0.131
-2.01,-75.1,-0.106
-1.48,-68.2,-0.078
-0.96,-56.4,-0.051
-0.54,-41.3,-0.028
0,0,0
0,0,0
0.52,32.6,0.028
0.95,46.6,0.05
1.49,56.7,0.078
2,62.6,0.105
2.55,65.7,0.134
3.03,67.9,0.159
3.54,70.1,0.187
4.06,68.9,0.214
4.55,68.2,0.239
5.05,67.3,0.266
5.57,67.3,0.293
6.08,67,0.32
6.55,67,0.345
7.02,66.1,0.37
7.55,66.1,0.397
8.05,65.4,0.424
8.55,63.9,0.45
9.04,63.6,0.476
