Test unit,WI3.175
Reference,Vasconcelos and Lourenço (2009)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-0.62,-15.5,-0.047
-0.37,-10.3,-0.028
0.04,-0.3,0.003
0.16,3.7,0.012
0.36,5.5,0.027
0.65,10.9,0.049
0.73,13.3,0.055
0.94,15.1,0.071
0.95,14.8,0.072
0.79,9.6,0.06
0.54,4.2,0.041
0.29,-0.3,0.022
0.02,-5.6,0.001
-0.19,-9.1,-0.014
-0.37,-13.5,-0.028
-0.62,-15.2,-0.047
NaN,NaN,NaN
-1.53,-29,-0.115
-1.42,-25.4,-0.107
-0.89,-15.2,-0.067
-0.53,-8.2,-0.04
0.04,1.3,0.003
0.21,4.2,0.016
0.6,11.1,0.045
0.95,15,0.072
1.11,18.4,0.084
1.26,20.5,0.095
1.74,27.4,0.131
2.02,30,0.153
1.76,23.4,0.133
1.5,17.4,0.113
1.19,13.6,0.09
0.91,6.9,0.068
0.59,2.7,0.044
0.45,-0.3,0.034
0.2,-4.3,0.015
-0.05,-8.9,-0.004
-0.24,-12.4,-0.018
-0.54,-15.2,-0.041
-0.64,-19,-0.048
-0.97,-23.4,-0.073
-1.36,-27.7,-0.103
NaN,NaN,NaN
-2.35,-40,-0.178
-2.38,-37.2,-0.179
-1.84,-27.3,-0.139
-1.45,-21.7,-0.109
-1.3,-18.7,-0.098
-1.03,-14.4,-0.078
-0.73,-8.9,-0.055
-0.39,-5.3,-0.03
-0.27,-1.9,-0.02
0.12,4.8,0.009
0.35,7.6,0.027
0.95,16.3,0.072
1.24,21,0.093
1.68,26.1,0.127
2.25,33.2,0.17
2.72,37.8,0.205
3.34,41.8,0.252
3.17,38.9,0.239
2.74,32.1,0.206
1.94,20.9,0.146
1.57,14.6,0.119
0.91,5.7,0.068
0.54,0.4,0.041
0.29,-2.1,0.022
0.1,-6.7,0.007
-0.4,-14.2,-0.031
-0.84,-20.3,-0.064
-1.2,-25.3,-0.09
-1.5,-29.6,-0.114
-2.01,-35.4,-0.151
-2.35,-38.9,-0.178
NaN,NaN,NaN
-3.51,-47.4,-0.265
-3.09,-41.6,-0.233
-2.81,-37.3,-0.212
-2.27,-31.4,-0.171
-1.91,-25.3,-0.144
-1.63,-20.8,-0.123
-1.16,-13.3,-0.088
-0.29,-2.4,-0.022
-0.15,0.8,-0.011
0.29,6.3,0.022
0.48,10.7,0.036
0.86,15.5,0.065
1.2,19.3,0.09
1.45,23,0.109
2.11,30.3,0.159
2.8,38.1,0.212
3.57,42.6,0.269
4.05,45.5,0.306
4.42,45.6,0.333
4.06,42.6,0.307
3.59,38.1,0.271
3.1,32.9,0.234
2.68,27.7,0.203
2.14,21.3,0.162
1.2,9.8,0.09
0.87,4.5,0.065
0.35,-4.4,0.026
-0,-8.8,-0
-0.66,-16.7,-0.05
-1.01,-21.5,-0.077
-1.46,-26.7,-0.11
-1.86,-31.7,-0.14
-2.21,-36.3,-0.167
-2.82,-41.6,-0.213
-3.43,-46.2,-0.259
NaN,NaN,NaN
-5.82,-56.5,-0.439
-5.57,-52.2,-0.421
-5.09,-50.5,-0.384
-4.29,-43.9,-0.324
-3.76,-39.2,-0.284
-3.11,-32.6,-0.235
-2.79,-29.1,-0.211
-1.86,-17.8,-0.14
-1.36,-11.2,-0.103
-1.31,-10.3,-0.099
-0.79,-3.8,-0.06
-0.37,0.7,-0.028
0.26,8.8,0.02
0.95,18.3,0.072
1.23,22,0.093
1.86,28.3,0.14
2.1,29.9,0.158
3.01,38.4,0.227
3.48,41.7,0.263
4.09,45,0.309
4.79,48.6,0.361
5.4,51.5,0.407
6.12,53,0.462
6.98,54.5,0.527
6.65,51.9,0.502
5.9,46.7,0.445
5.41,43.8,0.408
3.78,34.2,0.285
3.18,28.6,0.24
2.54,21.5,0.192
1.99,15.5,0.15
1.28,7.3,0.097
0.7,1.1,0.053
0.54,-1.9,0.041
0.21,-5.6,0.016
-0.28,-12.7,-0.021
-0.87,-19.1,-0.065
-1.21,-22.8,-0.091
-1.94,-29.6,-0.147
-2.15,-32.9,-0.162
-2.6,-37.4,-0.196
-3.16,-41.1,-0.239
-4.71,-51.6,-0.356
-5.74,-55.8,-0.433
NaN,NaN,NaN
-8.47,-59.7,-0.639
-8.1,-56.8,-0.612
-7.42,-56.1,-0.56
-7.14,-53.4,-0.539
