Test unit,E7
Reference,Silva et al. (2014)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
0,0,0
0.01,7.9,0
0.01,9.1,0.001
0.02,10.5,0.001
0.03,11.4,0.002
0.05,12.2,0.004
0.05,13.3,0.004
0.05,14.4,0.004
0.05,15.5,0.004
0.06,16.6,0.005
0.06,17.6,0.005
0.06,18.8,0.005
0.06,19.9,0.005
0.06,20.9,0.005
0.07,22.1,0.006
0.09,23,0.007
0.09,23.9,0.008
0.11,24.9,0.009
0.11,25.9,0.01
0.11,27.1,0.01
0.12,28.3,0.01
0.13,29.4,0.011
0.14,30.2,0.012
0.15,31.3,0.013
0.17,32.3,0.015
0.18,33.1,0.016
0.21,33.7,0.018
0.2,34.8,0.018
0.2,35.9,0.018
0.21,36.9,0.018
0.22,37.8,0.019
0.24,38.3,0.021
0.25,39.3,0.022
0.25,40.3,0.022
0.28,40.5,0.024
0.28,41.5,0.024
0.29,42.4,0.025
0.29,41.3,0.025
0.29,40.2,0.025
0.3,39.2,0.026
0.32,38.3,0.027
0.32,37.2,0.028
0.31,36.3,0.027
0.3,35.2,0.026
0.29,34.1,0.025
0.29,33,0.025
0.29,32,0.025
0.3,31,0.026
0.28,30.4,0.024
0.27,29.3,0.024
0.26,28.3,0.023
0.26,27.3,0.023
0.25,26.2,0.022
0.25,25,0.022
0.24,24,0.021
0.25,23,0.022
0.24,22.1,0.021
0.23,21,0.02
0.22,20.1,0.019
0.21,19.1,0.018
0.21,18.1,0.018
0.2,17.1,0.017
0.19,16,0.017
0.19,15,0.016
0.19,13.9,0.016
0.19,12.9,0.017
0.18,11.9,0.016
0.17,10.8,0.015
0.16,9.7,0.014
0.16,8.7,0.014
0.16,7.7,0.014
0.15,6.5,0.013
0.15,5.4,0.013
0.14,4.3,0.012
0.13,3.2,0.011
0.12,2.2,0.011
0.11,1.3,0.01
0.11,0.2,0.009
0.12,-0.9,0.01
0.11,-1.9,0.009
0.09,-3,0.008
0.08,-3.9,0.007
0.07,-4.9,0.006
0.06,-5.8,0.005
0.05,-6.8,0.005
0.04,-7.7,0.004
0.04,-8.6,0.003
0.05,-9.8,0.005
0.03,-10.6,0.003
0.02,-11.5,0.002
0.01,-12.6,0.001
-0,-13.6,-0
-0.01,-13.6,-0
-0.01,-14.7,-0.001
-0.01,-15.7,-0.001
0,-16.7,0
-0.02,-16.9,-0.002
-0.04,-17.4,-0.004
-0.05,-18.4,-0.004
-0.06,-19.3,-0.005
-0.06,-20.2,-0.005
-0.07,-21,-0.006
-0.08,-21.6,-0.007
-0.1,-22.2,-0.008
-0.1,-23.3,-0.009
-0.11,-24.1,-0.01
-0.11,-25.1,-0.01
-0.12,-26.2,-0.011
-0.15,-26.3,-0.013
-0.17,-27.1,-0.015
-0.18,-28,-0.016
-0.19,-29,-0.017
-0.19,-27.9,-0.017
-0.19,-26.8,-0.017
-0.19,-25.7,-0.017
-0.19,-26.7,-0.016
-0.19,-27.9,-0.017
-0.2,-29.3,-0.017
-0.21,-30.2,-0.018
-0.22,-29,-0.019
-0.22,-28,-0.019
-0.22,-29.1,-0.019
-0.23,-30.1,-0.02
-0.23,-31.1,-0.02
-0.25,-30.2,-0.022
-0.25,-29,-0.022
-0.27,-27.8,-0.023
-0.27,-26.7,-0.023
-0.27,-25.6,-0.023
-0.25,-26.6,-0.022
-0.25,-25.2,-0.022
-0.25,-24,-0.022
-0.26,-25.1,-0.023
-0.26,-24,-0.023
-0.25,-22.7,-0.022
-0.25,-21.6,-0.022
-0.24,-20.5,-0.021
-0.24,-19.5,-0.021
-0.23,-18.4,-0.02
-0.24,-17.3,-0.021
-0.23,-16.3,-0.02
-0.22,-15.4,-0.019
-0.22,-14.3,-0.019
-0.22,-13.3,-0.019
-0.21,-14.4,-0.018
-0.21,-13.3,-0.018
-0.19,-12.4,-0.016
-0.18,-11.2,-0.015
-0.18,-10,-0.016
-0.18,-9,-0.016
-0.18,-7.9,-0.015
-0.17,-6.9,-0.015
-0.16,-5.9,-0.014
-0.16,-4.9,-0.014
-0.15,-3.8,-0.013
-0.13,-2.9,-0.011
-0.12,-1.7,-0.01
-0.12,-0.7,-0.011
-0.12,0.4,-0.01
-0.12,1.6,-0.01
-0.11,2.8,-0.01
-0.1,3.8,-0.009
-0.1,5,-0.009
-0.09,6.1,-0.008
