Test unit,PG2
Reference,Almeida et al. (2012)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-0.07,0.5,-0.003
0.01,4.5,0.001
0.14,7.2,0.005
0.13,7.4,0.005
0.3,10.2,0.012
0.34,11.3,0.013
0.44,11.5,0.017
0.5,12.5,0.019
0.7,11.3,0.027
0.66,8.8,0.025
0.6,9.2,0.023
0.61,6.9,0.023
0.53,5.9,0.02
0.55,5.7,0.021
0.48,3.6,0.018
0.37,0.9,0.014
0.27,-0.5,0.01
0.22,-2.3,0.008
0.12,-2.4,0.005
0.04,-3.1,0.001
-0,-3.9,-0
0,-4.1,0
-0.21,-6.1,-0.008
-0.27,-6,-0.011
-0.43,-6.7,-0.016
-0.46,-3.7,-0.018
-0.42,-2,-0.016
-0.39,-1.8,-0.015
-0.31,0.3,-0.012
-0.34,0.3,-0.013
-0.25,2.7,-0.01
-0.16,5.3,-0.006
-0.14,5.4,-0.005
-0.07,7.6,-0.003
0.09,10,0.004
0.23,12.3,0.009
0.37,13.4,0.014
0.42,14.4,0.016
0.55,11.7,0.021
0.47,8.5,0.018
0.39,6,0.015
0.34,5.6,0.013
0.28,3.5,0.011
0.21,1.4,0.008
0.07,-0.6,0.003
-0.04,-1.9,-0.002
-0.11,-2.5,-0.004
-0.12,-3.6,-0.005
-0.23,-4.3,-0.009
-0.25,-5.3,-0.009
-0.45,-5.9,-0.017
-0.46,-3.9,-0.018
-0.46,-2.9,-0.018
-0.4,-0.7,-0.015
-0.27,0.2,-0.01
-0.32,1.8,-0.012
-0.25,3.6,-0.01
-0.13,6.2,-0.005
0.01,8.8,0.001
0.08,10.3,0.003
0.24,13,0.009
0.36,13.3,0.014
0.45,14.2,0.017
0.44,14.7,0.017
0.59,13.2,0.023
0.55,10.6,0.021
0.49,9.2,0.019
0.4,6.5,0.015
0.33,5.6,0.013
0.28,3.7,0.011
0.21,1.6,0.008
0.06,0.1,0.002
0.01,-1.4,0.001
-0.13,-3.6,-0.005
-0.18,-4.5,-0.007
-0.27,-4.7,-0.01
-0.44,-6,-0.017
-0.46,-3.1,-0.018
-0.38,-1.8,-0.015
-0.41,-0.5,-0.016
-0.27,0.6,-0.011
-0.32,2.5,-0.012
-0.19,4.5,-0.007
-0.07,6.9,-0.003
-0.05,8.6,-0.002
0.1,9.8,0.004
0.08,10.5,0.003
0.16,11.7,0.006
0.22,12.3,0.009
0.28,13.3,0.011
0.43,14.6,0.016
0.44,15.5,0.017
0.61,16.9,0.024
0.69,17.5,0.027
0.69,18.3,0.027
0.83,19.1,0.032
0.9,19.6,0.034
1.06,19.4,0.041
1.08,17.4,0.041
1.07,15,0.041
1.02,14.3,0.039
0.99,12.2,0.038
0.96,11.4,0.037
0.88,9.9,0.034
0.81,9.2,0.031
0.81,8.5,0.031
0.75,7.6,0.029
0.71,6.4,0.027
0.66,5.9,0.025
0.61,5,0.023
0.57,3.9,0.022
0.46,2.9,0.018
0.49,2.6,0.019
0.32,0.6,0.012
0.28,-0.3,0.011
0.28,0.2,0.011
0.22,-1.6,0.009
0.18,-1.2,0.007
0.22,-1.6,0.008
0.13,-2.5,0.005
0.07,-3.4,0.003
0.07,-2.8,0.003
0.03,-3.9,0.001
0.01,-4.5,0.001
-0.09,-5,-0.003
-0.15,-5.4,-0.006
-0.16,-6.1,-0.006
-0.34,-8,-0.013
-0.34,-8.7,-0.013
-0.49,-9.3,-0.019
-0.51,-9.5,-0.02
-0.55,-9.7,-0.021
-0.66,-10.5,-0.025
-0.71,-11.1,-0.027
-0.87,-10.5,-0.034
-0.83,-10.6,-0.032
-0.93,-9.4,-0.036
-0.84,-8.5,-0.032
-0.87,-7.7,-0.034
-0.86,-5.5,-0.033
-0.81,-5,-0.031
-0.8,-3,-0.031
-0.75,-2.6,-0.029
-0.66,-1.1,-0.026
-0.66,-0.8,-0.026
-0.64,0.4,-0.024
-0.61,0.4,-0.023
-0.55,2.1,-0.021
-0.51,1.8,-0.02
-0.5,2.8,-0.019
-0.46,2.7,-0.018
-0.42,4,-0.016
-0.4,4,-0.015
-0.37,5.6,-0.014
-0.25,6.9,-0.01
-0.2,7.7,-0.008
-0.1,8.7,-0.004
-0.13,9,-0.005
-0.05,10.3,-0.002
0.02,11.7,0.001
0.22,13.5,0.009
0.27,14.3,0.01
0.35,15.9,0.014
