Test unit,test 6
Reference,Krzan et al. (2015)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-0,-0.1,-0
-0,4.4,-0
0.09,4.9,0.006
0.09,7.5,0.006
0.17,8,0.011
0.17,9.8,0.011
0.25,10.2,0.017
0.25,11.1,0.017
0.25,4.9,0.017
0.17,4.4,0.011
0.17,0.8,0.011
0.09,0.4,0.006
0.09,-3.6,0.006
-0,-4.1,-0
-0,-6.8,-0
-0.09,-7.2,-0.006
-0.09,-9.9,-0.006
-0.17,-10.4,-0.011
-0.17,-12.1,-0.011
-0.25,-12.6,-0.017
-0.25,-13,-0.017
-0.25,-8.6,-0.017
-0.17,-8.1,-0.011
-0.17,-4.1,-0.011
-0.09,-3.6,-0.006
-0.09,-0.5,-0.006
-0,-0.1,-0
NaN,NaN,NaN
-0,0.4,-0
-0,3.5,-0
0.09,4,0.006
0.09,7.1,0.006
0.17,7.5,0.011
0.17,10.7,0.011
0.25,11.1,0.017
0.25,12,0.017
0.25,6.6,0.017
0.17,6.2,0.011
0.17,2.6,0.011
0.09,2.2,0.006
0.09,-1.9,0.006
-0,-2.3,-0
-0,-5.4,-0
-0.09,-5.9,-0.006
-0.09,-9,-0.006
-0.17,-9.5,-0.011
-0.17,-12.1,-0.011
-0.25,-12.6,-0.017
-0.25,-13,-0.017
-0.25,-9,-0.017
-0.17,-8.6,-0.011
-0.17,-4.5,-0.011
-0.09,-4.1,-0.006
-0.09,-0.5,-0.006
-0,-0.1,-0
NaN,NaN,NaN
-0,0.4,-0
-0,3.5,-0
0.09,4,0.006
0.09,7.1,0.006
0.17,7.5,0.011
0.17,10.2,0.011
0.25,10.7,0.017
0.25,12.5,0.017
0.25,7.1,0.017
0.17,6.6,0.011
0.17,2.6,0.011
0.09,2.2,0.006
0.09,-1.4,0.006
-0,-1.9,-0
-0,-5.4,-0
-0.09,-5.9,-0.006
-0.09,-9,-0.006
-0.17,-9.5,-0.011
-0.17,-12.1,-0.011
-0.25,-12.6,-0.017
-0.25,-13,-0.017
-0.25,-9,-0.017
-0.17,-8.6,-0.011
-0.17,-4.5,-0.011
-0.09,-4.1,-0.006
-0.09,-0.5,-0.006
-0,-0.1,-0
-0,0.4,-0
NaN,NaN,NaN
-0,0.4,-0
-0,3.5,-0
0.09,4.8,0.006
0.09,7.1,0.006
0.17,8.4,0.011
0.17,10.7,0.011
0.25,12,0.017
0.26,13.4,0.018
0.34,14.7,0.022
0.35,16.1,0.023
0.42,17.4,0.028
0.51,18.7,0.034
0.51,13.3,0.034
0.42,12,0.028
0.42,9.3,0.028
0.34,8.1,0.022
0.34,5.3,0.022
0.25,4,0.017
0.25,1.7,0.017
0.17,0.4,0.011
0.17,-2.3,0.011
0.09,-3.6,0.006
0.07,-5.5,0.005
-0,-6.8,-0
-0,-9,-0
-0.09,-10.3,-0.006
-0.1,-11.8,-0.006
-0.17,-13.1,-0.011
-0.18,-14.9,-0.012
-0.25,-16.2,-0.017
-0.34,-17.5,-0.023
-0.36,-19,-0.024
-0.42,-20.2,-0.028
-0.51,-19.8,-0.034
-0.51,-16.2,-0.034
-0.42,-14.8,-0.028
-0.42,-12.1,-0.028
-0.34,-10.8,-0.023
-0.34,-8.6,-0.023
-0.25,-7.2,-0.017
-0.25,-5,-0.017
-0.17,-3.7,-0.011
-0.16,-1.8,-0.011
-0.09,-0.5,-0.006
-0.09,-0.1,-0.006
NaN,NaN,NaN
-0.09,-0.1,-0.006
-0.09,1.7,-0.006
-0,2.2,-0
-0,5.3,-0
0.09,5.7,0.006
0.09,8.4,0.006
0.17,8.9,0.011
0.17,11.6,0.011
0.25,12,0.017
0.25,14.7,0.017
0.34,15.1,0.022
0.34,17.4,0.022
0.42,17.8,0.028
0.42,19.6,0.028
0.51,20.1,0.034
0.51,21,0.034
0.51,15.6,0.034
0.42,15.1,0.028
0.42,11.6,0.028
0.34,11.1,0.022
0.34,8,0.022
0.25,7.5,0.017
0.25,4.4,0.017
0.17,4,0.011
0.17,0.8,0.011
0.09,0.4,0.006
0.09,-2.8,0.006
-0,-3.2,-0
-0,-6.3,-0
-0.09,-6.8,-0.006
-0.09,-9.5,-0.006
-0.17,-9.9,-0.011
-0.17,-12.1,-0.011
-0.25,-12.6,-0.017
-0.25,-15.3,-0.017
-0.34,-15.7,-0.023
-0.34,-18,-0.023
