Test unit,C2
Reference,Silva et al. (2014)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
0,0,0
0.04,4.8,0.003
0.05,6.9,0.004
0.05,8.8,0.004
0.06,10.6,0.005
0.08,12.6,0.006
0.1,14.2,0.007
0.12,15.9,0.009
0.14,17.4,0.01
0.16,19.2,0.012
0.17,20.7,0.013
0.21,21.8,0.016
0.21,23.5,0.016
0.23,25.2,0.017
0.25,26.8,0.019
0.28,28.4,0.021
0.31,29.8,0.023
0.33,31.4,0.024
0.36,32.8,0.026
0.38,34.3,0.028
0.41,35.7,0.031
0.45,37,0.033
0.48,38.3,0.036
0.49,36.6,0.036
0.49,34.8,0.036
0.49,33.1,0.037
0.5,31.4,0.037
0.52,29.7,0.038
0.5,27.9,0.037
0.49,26.3,0.036
0.48,24.7,0.035
0.47,23.1,0.035
0.45,21.2,0.033
0.44,19.5,0.033
0.43,17.8,0.032
0.41,16.1,0.031
0.4,14.4,0.03
0.39,12.8,0.029
0.39,11.1,0.029
0.36,9.7,0.027
0.35,8,0.026
0.34,6.4,0.025
0.32,4.8,0.024
0.31,3.2,0.023
0.31,1.6,0.023
0.28,0.1,0.021
0.27,-1.6,0.02
0.26,-3.5,0.019
0.24,-5.1,0.018
0.23,-7.4,0.017
0.21,-9.1,0.016
0.19,-11.2,0.014
0.17,-13.1,0.013
0.15,-14.8,0.011
0.12,-16,0.009
0.11,-17.8,0.008
0.09,-19.3,0.006
0.06,-20.8,0.005
0.05,-22.5,0.004
0.03,-24.3,0.003
0,-25.6,0
-0.03,-27.3,-0.002
-0.04,-28.9,-0.003
-0.07,-30.3,-0.005
-0.09,-31.8,-0.007
-0.12,-33.4,-0.009
-0.14,-34.8,-0.011
-0.17,-36.3,-0.013
-0.2,-37.7,-0.015
-0.21,-39.4,-0.016
-0.25,-40.7,-0.018
-0.29,-41.9,-0.021
-0.31,-43.5,-0.023
-0.33,-45.1,-0.024
-0.38,-45.9,-0.028
-0.4,-47.5,-0.029
-0.44,-48.7,-0.032
-0.47,-49.9,-0.035
-0.5,-48.4,-0.037
-0.51,-46.7,-0.038
-0.51,-45.1,-0.038
-0.51,-43.3,-0.037
-0.5,-41.6,-0.037
-0.49,-39.7,-0.037
-0.49,-38,-0.036
-0.48,-36.4,-0.035
-0.46,-34.7,-0.034
-0.45,-33.1,-0.033
-0.42,-31.6,-0.031
-0.43,-30,-0.032
-0.42,-28.4,-0.031
-0.4,-26.7,-0.03
-0.38,-25.1,-0.028
-0.37,-23.5,-0.027
-0.34,-22,-0.025
-0.35,-20.4,-0.026
-0.33,-18.7,-0.025
-0.32,-17,-0.023
-0.3,-15.4,-0.022
-0.29,-13.7,-0.021
-0.27,-12,-0.02
-0.25,-10.4,-0.019
-0.23,-8.9,-0.017
-0.23,-7.3,-0.017
-0.21,-5.7,-0.016
-0.2,-4.1,-0.014
-0.18,-2.5,-0.014
-0.16,-1,-0.012
-0.15,0.7,-0.011
-0.14,2.3,-0.01
-0.12,4,-0.009
-0.1,6.2,-0.007
-0.08,8.2,-0.006
-0.07,10,-0.005
-0.05,11.6,-0.004
-0.03,13.4,-0.002
-0.01,14.9,-0
0.01,16.7,0.001
0.03,18.7,0.002
0.04,20.3,0.003
0.07,21.8,0.005
0.09,23.4,0.006
0.1,25,0.008
0.12,26.7,0.009
0.16,28,0.012
0.16,29.7,0.012
0.17,31.3,0.013
0.19,32.9,0.014
0.21,34.4,0.016
0.23,36,0.017
0.25,37.6,0.019
0.28,39.1,0.021
0.3,40.7,0.022
0.33,42.1,0.025
0.36,43.6,0.027
0.39,45,0.029
0.41,46.5,0.031
0.46,47.5,0.034
0.46,45.7,0.034
0.46,47.5,0.034
0.49,49,0.036
0.51,47.4,0.038
0.5,45.7,0.037
0.49,44,0.036
0.49,45.7,0.036
0.49,44,0.037
0.49,42.3,0.037
0.5,40.6,0.037
0.49,38.7,0.036
0.48,37,0.036
0.47,38.8,0.035
0.48,36.9,0.035
0.47,35.1,0.035
0.46,33.2,0.034
0.44,31.5,0.033
0.44,33.3,0.032
0.43,31.6,0.032
0.43,29.8,0.032
0.42,28,0.031
0.42,26.3,0.031
0.38,25.1,0.028
0.37,23.3,0.028
0.36,21.6,0.027
0.34,20,0.025
0.34,18.3,0.025
0.33,16.6,0.024
0.3,15,0.022
0.28,13.5,0.021
