Test unit,CT01
Reference,Magenes et al. (2010)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
0.05,-0.2,0.002
0.05,-0.2,0.002
0.05,-0.2,0.002
0.05,-0.2,0.002
0.05,-0.2,0.002
0.05,-0.2,0.002
0.05,-0.2,0.002
0.05,-0.2,0.002
0.05,-0.2,0.002
0.05,-0.2,0.002
0.05,-0.2,0.002
0.05,-0.2,0.002
0.05,-0.2,0.002
0.05,-0.2,0.002
0.05,-0.2,0.002
0.05,-0.2,0.002
0.05,-0.2,0.002
0.05,-0.2,0.002
0.05,-0.2,0.002
0.05,-0.2,0.002
0.05,-0.2,0.002
0.05,-0.2,0.002
0.05,-0.2,0.002
0.05,-0.2,0.002
0.05,-0.2,0.002
0.05,-0.2,0.002
0.05,-0.2,0.002
0.05,-0.1,0.002
0.05,0.3,0.002
0.06,0.8,0.002
0.06,1.4,0.002
0.06,1.8,0.003
0.07,2.2,0.003
0.07,2.4,0.003
0.07,2.6,0.003
0.07,2.8,0.003
0.07,3,0.003
0.08,3.3,0.003
0.08,3.6,0.003
0.08,3.8,0.003
0.08,4.2,0.003
0.09,4.6,0.004
0.09,5,0.004
0.1,5.5,0.004
0.1,6.1,0.004
0.11,6.7,0.004
0.11,7.4,0.004
0.11,8,0.005
0.12,8.7,0.005
0.12,9.4,0.005
0.13,10.1,0.005
0.14,10.8,0.005
0.14,11.5,0.006
0.15,12.2,0.006
0.15,12.9,0.006
0.16,13.6,0.006
0.16,14.3,0.006
0.17,15,0.007
0.17,15.7,0.007
0.18,16.3,0.007
0.18,17,0.007
0.19,17.6,0.008
0.2,18.3,0.008
0.2,18.9,0.008
0.21,19.6,0.008
0.21,20.2,0.009
0.22,20.9,0.009
0.22,21.5,0.009
0.23,22.2,0.009
0.24,22.8,0.009
0.24,23.4,0.01
0.25,24,0.01
0.25,24.7,0.01
0.26,25.2,0.01
0.26,25.9,0.011
0.27,26.4,0.011
0.27,27,0.011
0.28,27.6,0.011
0.29,28.1,0.011
0.29,28.6,0.012
0.3,29.1,0.012
0.3,29.5,0.012
0.31,30,0.012
0.31,30.5,0.013
0.32,31,0.013
0.32,31.4,0.013
0.33,31.9,0.013
0.34,32.4,0.013
0.34,32.9,0.014
0.35,33.4,0.014
0.35,33.9,0.014
0.36,34.4,0.014
0.37,34.9,0.015
0.37,35.5,0.015
0.38,36,0.015
0.38,36.5,0.015
0.39,37.1,0.016
0.39,37.6,0.016
0.4,38.2,0.016
0.41,38.7,0.016
0.41,39.3,0.016
0.42,39.8,0.017
0.42,40.3,0.017
0.43,40.8,0.017
0.43,41.2,0.017
0.44,41.8,0.018
0.45,42.3,0.018
0.45,42.8,0.018
0.46,43.4,0.018
0.47,43.9,0.019
0.47,44.5,0.019
0.48,45,0.019
0.48,45.6,0.019
0.49,46.2,0.02
0.5,46.8,0.02
0.5,47.3,0.02
0.51,47.9,0.02
0.51,48.5,0.02
0.52,49.1,0.021
0.52,49.6,0.021
0.53,50.2,0.021
0.53,50.8,0.021
0.54,51.4,0.022
0.54,52,0.022
0.55,52.6,0.022
0.56,53.2,0.022
0.56,53.8,0.022
0.57,54.4,0.023
0.57,55,0.023
0.58,55.6,0.023
0.58,56.2,0.023
0.59,56.8,0.024
0.6,57.4,0.024
0.6,58,0.024
0.61,58.6,0.024
0.61,59.3,0.024
0.62,59.9,0.025
0.62,60.6,0.025
0.63,61.2,0.025
0.63,61.8,0.025
0.64,62.4,0.026
0.65,63,0.026
0.65,63.7,0.026
0.66,64.2,0.026
0.66,64.8,0.026
0.67,65.4,0.027
0.67,66,0.027
0.68,66.6,0.027
0.68,67.1,0.027
0.69,67.7,0.027
0.69,68.2,0.028
0.7,68.8,0.028
0.71,69.4,0.028
0.71,70,0.028
0.72,70.6,0.029
0.72,71.2,0.029
0.73,71.7,0.029
0.73,72.3,0.029
0.74,72.8,0.03
0.74,73.4,0.03
0.75,73.9,0.03
0.76,74.5,0.03
0.76,75,0.031
0.77,75.6,0.031
0.77,76.1,0.031
0.78,76.7,0.031
0.79,77.3,0.031
0.79,77.8,0.032
0.8,78.4,0.032
0.8,78.9,0.032
0.81,79.5,0.032
0.81,80,0.032
0.82,80.6,0.033
0.82,81.1,0.033
0.83,81.6,0.033
0.84,82.2,0.033
0.84,82.8,0.034
0.85,83.4,0.034
