Test unit,T2-2
Reference,Faella et al. (1992)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
0.04,0.3,0.003
0.11,13.1,0.009
0.13,15.3,0.01
0.22,27.5,0.018
0.27,31.9,0.021
0.31,36.6,0.025
0.36,42.6,0.029
0.42,46.6,0.033
0.45,49.8,0.036
0.49,53.5,0.039
0.52,56.4,0.042
0.56,59.2,0.045
0.58,60.4,0.046
0.6,62,0.048
0.61,63.2,0.049
0.62,63.6,0.05
0.62,59.2,0.05
0.6,57,0.048
0.6,55.7,0.048
0.57,52.6,0.045
0.55,48.8,0.044
0.51,44.8,0.041
0.49,40.4,0.039
0.45,35.1,0.036
0.41,29.7,0.033
0.36,23.5,0.029
0.32,16.9,0.026
0.3,15,0.024
0.19,0.9,0.015
0.15,-2.5,0.012
0.11,-9.1,0.009
0.04,-15.7,0.003
0,-21.6,0
-0.05,-28.2,-0.004
-0.12,-33.5,-0.009
-0.15,-38.5,-0.012
-0.21,-43.8,-0.017
-0.26,-47.9,-0.021
-0.3,-52,-0.024
-0.34,-55.7,-0.027
-0.39,-58.9,-0.031
-0.43,-62,-0.034
-0.45,-64.2,-0.036
-0.47,-66.1,-0.038
-0.49,-67.6,-0.039
-0.51,-68.9,-0.041
-0.52,-68.9,-0.042
-0.54,-69.8,-0.043
-0.54,-64.8,-0.043
-0.51,-59.5,-0.041
-0.51,-57.9,-0.041
-0.48,-55.1,-0.039
-0.46,-52,-0.037
-0.43,-47.9,-0.034
-0.41,-44.5,-0.033
-0.36,-40.1,-0.029
-0.33,-34.7,-0.027
-0.29,-29.4,-0.023
-0.25,-23.8,-0.02
-0.19,-18.2,-0.015
-0.14,-12.2,-0.011
-0.09,-6.6,-0.007
-0.03,-0.6,-0.003
0.02,4.7,0.002
0.05,7.5,0.004
0.04,3.8,0.003
0.04,6.3,0.003
0.04,3.8,0.003
0.04,5.6,0.003
0.04,3.8,0.003
0.04,5,0.003
0.04,3.8,0.003
0.04,5,0.003
0.04,3.4,0.003
0.04,4.7,0.003
0.04,3.4,0.003
0.04,4.4,0.003
0.04,3.1,0.003
0.04,3.4,0.003
0.05,6.3,0.004
0.12,14.7,0.009
0.13,15.7,0.01
0.25,29.1,0.02
0.28,32.2,0.022
0.33,38.2,0.027
0.37,43.2,0.03
0.42,47.9,0.033
0.46,51.7,0.037
0.49,55.1,0.039
0.52,58.5,0.042
0.58,62.6,0.046
0.6,65.1,0.048
0.61,65.7,0.049
0.62,65.7,0.05
0.62,66.4,0.05
0.62,60.7,0.05
0.61,57.6,0.049
0.59,55.7,0.047
0.57,52.9,0.045
0.54,49.8,0.043
0.51,45.7,0.041
0.47,41.6,0.038
0.44,37.3,0.035
0.4,32.6,0.032
0.35,26.9,0.028
0.31,21.6,0.025
0.26,16.3,0.021
0.25,14.4,0.02
0.14,1.6,0.011
0.1,-2.8,0.008
0.04,-8.8,0.003
-0.01,-14.4,-0.001
-0.06,-20,-0.005
-0.12,-26.3,-0.009
-0.17,-32.2,-0.014
-0.22,-38.2,-0.018
-0.27,-43.2,-0.021
-0.32,-47.9,-0.026
-0.35,-52.3,-0.028
-0.4,-56.7,-0.032
-0.43,-59.5,-0.034
-0.45,-62.9,-0.036
-0.48,-65.4,-0.039
-0.5,-67.3,-0.04
-0.52,-68.9,-0.042
-0.54,-69.5,-0.043
-0.54,-69.8,-0.043
-0.54,-66.1,-0.043
-0.51,-59.5,-0.041
-0.51,-57.9,-0.041
-0.48,-55.1,-0.039
-0.46,-51.7,-0.037
-0.44,-48.2,-0.035
-0.4,-43.5,-0.032
-0.35,-39.1,-0.028
-0.32,-34.1,-0.026
-0.28,-28.5,-0.022
-0.22,-22.9,-0.018
-0.18,-17.5,-0.015
-0.13,-11.9,-0.01
-0.07,-5.9,-0.006
-0.02,-0.3,-0.002
0.03,5,0.003
0.05,5.6,0.004
0.04,2.2,0.003
0.04,5.3,0.003
0.04,2.5,0.003
0.04,5.3,0.003
0.04,2.8,0.003
0.04,4.1,0.003
0.09,10.6,0.007
0.09,10.6,0.007
0.13,15,0.01
0.14,16,0.011
0.26,29.1,0.021
0.3,33.2,0.024
0.34,38.8,0.027
0.4,43.5,0.032
0.44,47.9,0.035
0.47,52,0.038
0.5,55.1,0.04
0.54,58.5,0.043
0.57,61.4,0.045
0.59,63.2,0.047
