Test unit,M13
Reference,Pinho et al. (2012)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
0,0,0
0.04,4.7,0.002
0.08,6.1,0.004
0.04,6.1,0.002
0.04,7,0.002
0.08,8.3,0.004
0.15,7.7,0.008
0.15,10.1,0.008
0.22,10.4,0.012
0.3,11.5,0.016
0.34,12.4,0.018
0.37,12.8,0.02
0.42,13.1,0.022
0.53,14,0.028
0.56,14.2,0.03
0.64,15.1,0.034
0.68,15.3,0.036
0.68,16.4,0.036
0.86,16.9,0.045
0.94,16.9,0.049
0.98,18.2,0.051
0.98,18.5,0.051
1.13,18.2,0.059
1.13,19.4,0.059
1.24,20.3,0.065
1.24,19.8,0.065
1.32,19.6,0.069
1.39,20.5,0.073
1.39,21,0.073
1.5,21.2,0.079
1.58,21.6,0.083
1.65,21.4,0.087
1.69,23,0.089
1.77,23,0.093
1.84,21.9,0.097
1.92,23,0.101
1.92,23.2,0.101
1.99,23.9,0.105
2.14,24.3,0.113
2.22,23.9,0.117
2.25,23.4,0.119
2.29,25.2,0.121
2.41,25.4,0.127
2.52,24.6,0.133
2.52,23.9,0.133
2.59,24.8,0.137
2.82,25.2,0.148
2.89,25.7,0.152
2.93,25.7,0.154
3.05,26.8,0.16
3.16,26.1,0.166
3.16,26.1,0.166
3.27,26.3,0.172
3.31,27,0.174
3.42,27,0.18
3.49,26.8,0.184
3.61,26.6,0.19
3.65,26.8,0.192
3.68,27.2,0.194
3.76,27.5,0.198
3.83,27.2,0.202
3.98,27,0.21
4.02,27.5,0.212
4.13,27.5,0.218
4.17,26.8,0.219
4.29,28.1,0.226
4.36,28.1,0.23
4.47,27.9,0.235
4.58,28.1,0.241
4.58,28.1,0.241
4.73,28.4,0.249
4.81,28.6,0.253
4.92,27.7,0.259
4.96,27.9,0.261
5.07,27.7,0.267
5.11,27.9,0.269
5.26,27.5,0.277
5.3,27.5,0.279
5.41,28.1,0.285
5.52,27.5,0.291
5.6,27.9,0.295
5.68,27.2,0.299
5.83,28.1,0.307
5.86,27.7,0.309
6.01,27.9,0.316
6.05,27.9,0.318
6.16,28.1,0.324
6.28,28.1,0.33
6.46,27.7,0.34
6.46,28.4,0.34
6.61,28.1,0.348
6.65,28.6,0.35
6.8,27.5,0.358
6.76,28.1,0.356
6.95,27,0.366
6.99,28.4,0.368
7.1,27,0.374
7.25,27.9,0.382
7.25,27.2,0.382
7.44,27.2,0.392
7.48,27.5,0.394
7.56,26.8,0.398
7.7,27.5,0.406
7.78,26.6,0.409
7.89,27.5,0.415
8,26.3,0.421
8.08,26.8,0.425
8.16,26.8,0.429
8.23,26.1,0.433
8.31,27,0.437
8.49,26.6,0.447
8.49,25.9,0.447
8.61,26.8,0.453
8.76,25.7,0.461
8.76,26.3,0.461
8.83,25.9,0.465
9.02,27.2,0.475
9.02,26.1,0.475
9.17,26.6,0.483
9.28,25.9,0.488
9.32,25.9,0.49
9.43,25.7,0.497
9.55,25,0.502
9.62,25.2,0.506
9.73,24.6,0.512
9.81,25.4,0.516
9.85,24.8,0.518
10.04,25,0.528
10.04,24.3,0.528
10.04,24.3,0.528
10.22,24.3,0.538
10.3,23.9,0.542
10.41,23.4,0.548
10.52,24.1,0.554
10.56,23.2,0.556
10.71,23.7,0.564
10.75,22.8,0.566
10.9,23,0.574
10.94,22.3,0.576
11.09,22.8,0.583
11.16,22.1,0.587
11.24,21.9,0.591
11.39,22.8,0.599
11.43,20.7,0.601
11.5,21.9,0.605
11.65,22.1,0.613
11.72,20.5,0.617
11.84,20.5,0.623
11.91,21.2,0.627
11.99,20.5,0.631
