Test unit,SW.30.2
Reference,Lourenço et al. (2005)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
0,0,0
0.15,2.4,0.008
0.3,4.8,0.016
0.3,5.6,0.016
0.38,6,0.02
0.49,6.4,0.026
0.61,6.4,0.032
0.61,7.2,0.032
0.64,7.6,0.034
0.76,8,0.04
0.83,8.8,0.044
0.95,9,0.05
1.02,9.8,0.054
1.06,9.6,0.056
1.17,10,0.062
1.25,11,0.066
1.36,11.2,0.072
1.55,12.4,0.082
1.78,13.2,0.094
1.82,13.6,0.096
1.89,14,0.1
1.97,14,0.104
2.05,14,0.108
2.12,14.4,0.112
2.16,14.8,0.114
2.27,14.8,0.12
2.42,15.5,0.128
2.65,16.7,0.14
2.95,17.1,0.156
3.14,17.7,0.165
3.26,17.5,0.171
3.33,17.5,0.175
3.33,17.9,0.175
3.41,18.3,0.179
3.48,18.7,0.183
3.56,18.7,0.187
3.56,18.3,0.187
3.67,18.1,0.193
3.71,18.7,0.195
3.86,19.1,0.203
4.05,18.7,0.213
4.17,18.3,0.219
4.32,17.5,0.227
4.47,16.3,0.235
4.62,15.9,0.243
4.7,15.9,0.247
4.77,15.9,0.251
4.85,16.7,0.255
4.96,17.1,0.261
5,17.5,0.263
5.15,17.7,0.271
5.34,18.1,0.281
5.53,18.3,0.291
5.68,18.7,0.299
5.76,18.7,0.303
5.91,19.1,0.311
6.06,19.9,0.319
6.14,20.3,0.323
6.29,20.3,0.331
6.36,20.7,0.335
6.44,20.7,0.339
6.52,20.7,0.343
6.59,20.3,0.347
6.67,20.7,0.351
6.74,20.7,0.355
6.89,20.3,0.363
7.12,19.9,0.375
7.27,19.9,0.383
7.35,20.3,0.387
7.5,20.7,0.395
7.58,21.1,0.399
7.65,21.1,0.403
7.73,21.1,0.407
7.8,21.5,0.411
7.95,21.5,0.419
8.03,21.5,0.423
8.11,21.5,0.427
8.18,20.7,0.431
8.26,20.3,0.435
8.33,20.3,0.439
8.48,20.7,0.447
8.64,21.1,0.455
8.71,21.9,0.459
8.79,22.3,0.463
8.79,22.7,0.463
8.86,22.3,0.467
8.94,21.9,0.47
9.02,21.9,0.474
9.17,21.5,0.482
9.17,21.5,0.482
9.24,20.7,0.486
9.24,19.9,0.486
9.55,15.9,0.502
9.62,15.1,0.506
9.7,14.8,0.51
9.92,14.8,0.522
10.15,15.1,0.534
10.38,15.9,0.546
10.53,16.3,0.554
10.83,16.7,0.57
10.98,17.1,0.578
11.06,16.7,0.582
11.14,15.9,0.586
11.29,15.1,0.594
11.44,14.4,0.602
11.52,14,0.606
11.59,14.4,0.61
11.59,15.1,0.61
11.67,15.9,0.614
11.67,16.3,0.614
11.74,16.7,0.618
11.89,16.7,0.626
12.05,17.5,0.634
12.12,17.9,0.638
12.2,18.3,0.642
12.27,18.3,0.646
12.54,18.9,0.66
12.88,19.9,0.678
13.11,20.3,0.69
13.18,20.3,0.694
13.26,19.5,0.698
13.26,18.3,0.698
13.33,17.1,0.702
13.41,16.3,0.706
13.48,15.9,0.71
13.64,15.9,0.718
13.79,16.3,0.726
13.86,16.7,0.73
14.02,17.1,0.738
14.09,17.9,0.742
14.17,18.3,0.746
14.32,18.7,0.754
14.47,18.7,0.762
14.62,19.1,0.77
14.77,19.5,0.778
14.92,19.1,0.785
15.08,19.9,0.793
15.23,20.7,0.801
15.3,20.7,0.805
15.38,20.3,0.809
15.38,19.5,0.809
15.45,18.7,0.813
15.53,18.3,0.817
15.76,17.9,0.829
15.98,17.9,0.841
16.06,18.3,0.845
16.14,18.7,0.849
16.21,19.5,0.853
16.29,19.9,0.857
16.44,20.3,0.865
16.52,20.3,0.869
16.59,20.7,0.873
16.67,20.7,0.877
16.74,20.7,0.881
16.82,19.5,0.885
16.97,17.9,0.893
17.05,15.9,0.897
17.2,14,0.905
17.35,11.6,0.913
17.65,8.4,0.929
17.73,7.2,0.933
17.95,6,0.945
18.03,6,0.949
18.11,6,0.953
18.18,6.4,0.957
18.26,7.6,0.961
18.33,8.4,0.965
18.45,10,0.971
18.56,11.2,0.977
18.64,11.2,0.981
18.79,11.4,0.989
19.32,13.2,1.017
19.62,14.4,1.033
19.7,15.1,1.037
19.77,15.5,1.041
19.77,15.9,1.041
19.85,15.9,1.045
19.96,15.5,1.051
20.08,15.9,1.057
20.23,15.9,1.065
