Test unit,E4
Reference,Silva et al. (2014)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
0,0,0
0,1.2,0
0.01,2.5,0.001
0.02,3.5,0.001
0.02,4.7,0.002
0.04,5.9,0.004
0.06,6.9,0.005
0.07,8.1,0.006
0.08,9.3,0.007
0.09,10.4,0.008
0.11,11.4,0.009
0.12,12.4,0.011
0.14,13.4,0.012
0.16,14.4,0.014
0.18,15.2,0.016
0.2,16.3,0.017
0.22,17.3,0.019
0.25,17.8,0.021
0.27,18.6,0.024
0.29,19.6,0.025
0.31,20.5,0.027
0.34,20.9,0.03
0.37,21.6,0.032
0.38,22.6,0.033
0.41,22.4,0.035
0.43,23.1,0.037
0.44,22.1,0.039
0.45,23.1,0.039
0.48,22.7,0.042
0.48,19.5,0.042
0.48,18.3,0.041
0.47,17.1,0.041
0.46,16,0.04
0.46,14.9,0.04
0.45,13.7,0.039
0.44,12.5,0.038
0.43,11.6,0.037
0.42,10.5,0.037
0.42,9.4,0.036
0.41,8.3,0.036
0.41,7.2,0.035
0.4,6,0.035
0.38,5,0.033
0.37,4,0.032
0.36,2.8,0.032
0.36,1.7,0.031
0.35,0.7,0.03
0.36,-0.5,0.031
0.33,-1.2,0.029
0.32,-2.3,0.028
0.32,-3.4,0.028
0.31,-4.6,0.027
0.3,-5.7,0.026
0.29,-6.9,0.025
0.28,-8,0.025
0.28,-9.3,0.024
0.26,-10.4,0.023
0.25,-11.4,0.022
0.25,-12.4,0.021
0.23,-13.2,0.02
0.23,-14.4,0.02
0.22,-15.3,0.019
0.21,-16.3,0.018
0.2,-17.3,0.017
0.19,-18.2,0.016
0.17,-19,0.014
0.15,-19.9,0.013
0.13,-20.7,0.011
0.12,-21.7,0.01
0.1,-22.5,0.008
0.09,-23.5,0.008
0.07,-24.4,0.006
0.05,-25.1,0.004
0.03,-25.5,0.002
0.01,-26.4,0.001
-0,-27.2,-0
-0.02,-27.7,-0.002
-0.04,-28.5,-0.004
-0.05,-29.3,-0.005
-0.07,-30,-0.006
-0.09,-31,-0.008
-0.12,-30.8,-0.01
-0.14,-31.6,-0.012
-0.16,-32.1,-0.014
-0.16,-33.3,-0.014
-0.19,-33.3,-0.017
-0.21,-34.2,-0.018
-0.24,-33.8,-0.02
-0.25,-34.7,-0.022
-0.26,-34.2,-0.022
-0.27,-33.2,-0.024
-0.26,-32.1,-0.022
-0.26,-30.9,-0.022
-0.27,-29.7,-0.023
-0.27,-28.6,-0.023
-0.27,-29.7,-0.023
-0.26,-28.4,-0.023
-0.26,-27.2,-0.023
-0.25,-26.1,-0.021
-0.25,-25,-0.022
-0.25,-23.9,-0.022
-0.24,-22.9,-0.02
-0.23,-21.8,-0.02
-0.22,-20.7,-0.019
-0.2,-19.8,-0.017
-0.19,-18.8,-0.017
-0.19,-17.6,-0.016
-0.17,-16.5,-0.015
-0.16,-15.3,-0.014
-0.15,-14.2,-0.013
-0.14,-13.2,-0.012
-0.12,-12.3,-0.01
-0.11,-11.2,-0.01
-0.11,-10.1,-0.009
-0.1,-9,-0.009
-0.09,-7.9,-0.008
-0.07,-6.9,-0.006
-0.06,-5.8,-0.006
-0.05,-4.6,-0.005
-0.04,-3.6,-0.003
-0.02,-2.8,-0.001
-0.02,-1.7,-0.002
-0.01,-0.6,-0.001
0,0.5,0
0.02,1.7,0.001
0.03,3.2,0.002
0.04,4.9,0.004
0.05,6,0.005
0.07,7,0.006
0.08,8.3,0.007
0.1,9.2,0.009
0.12,10.2,0.01
0.13,11.2,0.011
0.14,12.4,0.012
0.15,13.3,0.013
0.17,14.4,0.014
0.18,15.4,0.015
0.19,16.3,0.017
0.22,16.9,0.019
0.22,18,0.019
0.23,19.2,0.02
0.24,20.1,0.021
0.26,21,0.023
0.28,22,0.024
0.29,22.9,0.026
0.32,23.6,0.028
0.33,24.5,0.029
0.35,25.6,0.03
0.37,26,0.032
0.39,27,0.034
0.41,27.7,0.036
0.44,28.3,0.038
0.45,29.2,0.039
0.48,29.7,0.042
0.51,29.9,0.045
0.53,30.9,0.046
0.56,31.3,0.048
0.59,31.7,0.051
0.59,30.5,0.052
0.6,31.7,0.053
0.64,31.8,0.055
0.63,30.6,0.055
0.64,29.4,0.056
0.66,28.3,0.057
0.65,27.1,0.056
0.63,26.2,0.055
0.64,25,0.056
0.63,23.9,0.055
