Test unit,R2
Reference,Mazzon (2010)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
0,0,0
0,0,0
0,-0,0
0,0,0
0.01,0,0
0.02,0,0.001
0.01,0,0.001
0.01,0,0.001
0,0,0
-0,-0,-0
-0,0,-0
-0,0,-0
-0,0,-0
0,-0,0
-0,-0,-0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.01,0,0.001
0.02,0,0.002
0.01,0,0.001
0.01,0,0
0,0,0
-0,0,-0
-0,0,-0
-0,0,-0
-0,0,-0
-0,0,-0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.01,0,0.001
0.02,0,0.001
0.01,0,0.001
0,0,0
-0,0,-0
-0,0,-0
-0,0.1,-0
-0,0,-0
-0,0,-0
-0,0,-0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.02,0,0.001
0.02,0,0.001
0.01,0,0.001
0,0,0
-0,0,-0
-0,0,-0
-0,0,-0
-0,0,-0
-0,0,-0
-0,0,-0
-0,0,-0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.01,0,0.001
0.02,0,0.001
0.01,0,0.001
0.01,0,0
0,0,0
-0,0,-0
-0,0,-0
-0,0,-0
-0,0,-0
-0,0,-0
-0,0,-0
-0,0,-0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.01,0.1,0.001
0.02,0.1,0.001
0.01,0.1,0.001
0,0.1,0
0,0.1,0
-0,0,-0
-0,0,-0
-0,0,-0
-0,0,-0
-0,0.1,-0
-0,0.1,-0
-0,0.1,-0
0,0,0
0,0,0
0,0,0
0,0.1,0
0,0.1,0
0.01,0,0.001
0.02,0,0.001
0.01,0,0.001
0,0,0
-0,0,-0
-0,0.1,-0
-0,0,-0
-0,0.1,-0
-0,0,-0
-0,0,-0
-0,0,-0
-0,0,-0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.02,0,0.001
0.01,0,0.001
0.01,-0,0.001
0.01,-0.4,0
0,-0.4,0
-0,0,-0
-0,0.6,-0
-0,1.1,-0
-0,1.7,-0
-0,2.5,-0
-0.01,4.2,-0.001
-0.01,6.5,-0.001
-0.01,9.8,-0.001
-0.04,16.7,-0.004
-0.05,24,-0.004
-0.03,29.9,-0.002
-0.01,32.8,-0.001
0,33.2,0
0.01,32.6,0.001
0,32.3,0
-0,32.6,-0
0,34.5,0
0.01,36.4,0.001
0.02,37.9,0.001
0.03,39.3,0.002
0.03,40.1,0.002
0.03,40.7,0.003
0.04,41.3,0.003
0.04,41.9,0.003
0.04,42.3,0.003
0.04,43.3,0.003
0.04,44.9,0.003
0.05,46.2,0.004
0.05,47.3,0.004
0.07,48.2,0.005
0.07,48.9,0.006
0.07,49.5,0.005
0.06,49.9,0.005
0.07,50.4,0.005
0.06,50.7,0.005
0.07,51.2,0.005
0.07,52.4,0.005
0.07,53.4,0.006
0.08,54.3,0.006
0.08,54.6,0.006
0.08,54.8,0.006
0.08,55.4,0.006
0.09,56.3,0.007
0.09,57.2,0.007
0.1,58,0.008
0.1,58.5,0.008
0.12,58.7,0.009
0.12,59.1,0.009
0.12,59.6,0.009
0.11,60.1,0.009
0.12,60.8,0.009
0.12,61.3,0.009
0.13,62,0.01
0.13,62.9,0.01
0.14,63.2,0.011
0.14,63.1,0.011
0.14,63.2,0.011
0.14,63.5,0.011
0.15,64.4,0.012
0.15,65.4,0.012
0.15,66,0.012
0.16,66.1,0.012
0.16,66,0.013
0.17,66,0.014
0.17,66.1,0.013
0.16,66.9,0.013
0.16,67.5,0.013
0.16,67.3,0.012
0.16,67.1,0.013
0.16,67.9,0.013
0.17,69,0.013
0.17,69.8,0.013
0.17,69.6,0.013
0.17,69.3,0.013
0.17,69.1,0.014
0.17,68.9,0.014
0.17,68.7,0.014
0.17,69.2,0.014
0.18,69.9,0.014
0.19,70.3,0.015
0.2,70.7,0.016
0.19,71.1,0.015
0.19,71.5,0.015
0.19,71.8,0.015
0.19,71.9,0.015
0.18,71.6,0.015
0.19,71.3,0.015
0.19,71,0.015
0.19,70,0.015
0.19,69.3,0.015
0.19,69.2,0.015
0.19,69.5,0.015
0.19,69.9,0.015
0.19,69.9,0.015
0.19,70.4,0.015
0.19,70.9,0.015
0.21,71.4,0.016
