Test unit,test 3
Reference,Krzan et al. (2015)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
0.07,0.3,0.005
0.07,7.8,0.005
0.21,8.5,0.014
0.21,11.6,0.014
0.35,11,0.023
0.35,7.8,0.023
0.21,7.2,0.014
0.21,2.2,0.014
0.07,1.6,0.005
0.07,-2.8,0.005
-0.07,-3.4,-0.005
-0.07,-7.2,-0.005
-0.21,-7.8,-0.014
-0.21,-8.5,-0.014
-0.21,-2.2,-0.014
-0.07,-1.6,-0.005
-0.07,-0.3,-0.005
NaN,NaN,NaN
-0.07,0.3,-0.005
-0.07,2.8,-0.005
0.07,3.4,0.005
0.07,7.8,0.005
0.21,8.5,0.014
0.21,11.6,0.014
0.35,12.2,0.023
0.35,8.5,0.023
0.21,7.8,0.014
0.21,2.8,0.014
0.07,2.2,0.005
0.07,-2.2,0.005
-0.07,-2.8,-0.005
-0.07,-6.6,-0.005
-0.21,-7.2,-0.014
-0.21,-8.5,-0.014
-0.21,-2.8,-0.014
-0.07,-2.2,-0.005
-0.07,0.3,-0.005
NaN,NaN,NaN
-0.07,0.3,-0.005
-0.07,2.2,-0.005
0.07,2.8,0.005
0.07,7.2,0.005
0.21,7.8,0.014
0.21,11.6,0.014
0.35,12.2,0.023
0.35,8.5,0.023
0.21,7.8,0.014
0.21,2.8,0.014
0.07,2.2,0.005
0.07,-2.2,0.005
-0.07,-2.8,-0.005
-0.07,-6.6,-0.005
-0.21,-7.2,-0.014
-0.21,-8.5,-0.014
-0.21,-2.8,-0.014
-0.07,-2.2,-0.005
-0.07,0.3,-0.005
NaN,NaN,NaN
-0.07,0.3,-0.005
-0.07,2.8,-0.005
0.07,3.4,0.005
0.07,7.2,0.005
0.21,7.8,0.014
0.21,11.6,0.014
0.35,12.2,0.023
0.35,15.4,0.023
0.49,16,0.033
0.49,17.2,0.033
0.49,9.1,0.033
0.35,8.5,0.023
0.35,4.1,0.023
0.21,3.4,0.014
0.21,-0.3,0.014
0.07,-0.9,0.005
0.07,-4.7,0.005
-0.07,-5.3,-0.005
-0.07,-8.5,-0.005
-0.21,-9.1,-0.014
-0.21,-11.6,-0.014
-0.35,-12.2,-0.024
-0.35,-14.1,-0.024
-0.49,-14.7,-0.033
-0.49,-9.7,-0.033
-0.35,-9.1,-0.024
-0.35,-4.7,-0.024
-0.21,-4.1,-0.014
-0.21,-0.3,-0.014
-0.07,-0.3,-0.005
NaN,NaN,NaN
-0.07,0.3,-0.005
-0.07,3.4,-0.005
0.07,4.1,0.005
0.07,7.8,0.005
0.21,8.5,0.014
0.21,11.6,0.014
0.35,12.2,0.023
0.35,15.4,0.023
0.49,16,0.033
0.49,17.9,0.033
0.49,9.7,0.033
0.35,9.1,0.023
0.35,5.3,0.023
0.21,4.7,0.014
0.21,0.9,0.014
0.07,0.3,0.005
0.07,-2.8,0.005
-0.07,-2.2,-0.005
-0.07,-1.6,-0.005
-0.07,-7.2,-0.005
-0.21,-7.8,-0.014
-0.21,-11,-0.014
-0.35,-11.6,-0.024
-0.35,-14.1,-0.024
-0.49,-14.7,-0.033
-0.49,-9.7,-0.033
-0.35,-9.1,-0.024
-0.35,-5.3,-0.024
-0.21,-4.7,-0.014
-0.21,-0.9,-0.014
-0.07,-0.3,-0.005
NaN,NaN,NaN
-0.07,0.3,-0.005
-0.07,3.4,-0.005
0.07,4.1,0.005
0.07,7.2,0.005
0.21,7.8,0.014
0.21,11.6,0.014
0.35,12.2,0.023
0.35,15.4,0.023
0.49,16,0.033
0.49,17.9,0.033
0.49,10.3,0.033
0.35,9.7,0.023
0.35,5.3,0.023
0.21,4.7,0.014
0.21,0.9,0.014
0.07,0.3,0.005
0.07,-3.4,0.005
-0.07,-4.1,-0.005
-0.07,-7.2,-0.005
-0.21,-7.8,-0.014
-0.21,-11,-0.014
-0.35,-11.6,-0.024
-0.35,-14.1,-0.024
-0.49,-14.7,-0.033
-0.49,-10.3,-0.033
-0.35,-9.7,-0.024
-0.35,-5.3,-0.024
-0.21,-4.7,-0.014
-0.21,-0.9,-0.014
NaN,NaN,NaN
-0.07,0.3,-0.005
-0.07,3.4,-0.005
0.07,4.1,0.005
0.07,7.2,0.005
0.21,7.8,0.014
0.21,11.6,0.014
0.35,12.2,0.023
0.35,15.4,0.023
0.49,16,0.033
0.49,18.5,0.033
