Test unit,T2-1
Reference,Faella et al. (1992)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
0.02,0,0.002
0.02,2.8,0.002
0.06,10.3,0.005
0.12,15,0.009
0.17,20.3,0.014
0.19,22.2,0.015
0.26,28.8,0.021
0.31,33.2,0.025
0.35,36.3,0.028
0.4,39.4,0.032
0.44,42.3,0.035
0.47,44.5,0.038
0.49,45.4,0.039
0.52,47.3,0.042
0.55,48.5,0.044
0.56,49.2,0.045
0.57,50.1,0.045
0.58,50.4,0.046
0.59,50.1,0.047
0.59,46,0.047
0.56,41.6,0.045
0.55,40.4,0.044
0.52,38.8,0.042
0.5,36.6,0.04
0.47,33.5,0.038
0.44,30.7,0.035
0.41,27.5,0.033
0.36,23.5,0.029
0.35,21.9,0.028
0.26,14.1,0.021
0.22,11.3,0.018
0.17,7.2,0.014
0.13,3.1,0.01
0.07,-0.9,0.006
0.02,-5.6,0.002
-0.03,-10.6,-0.003
-0.07,-15.3,-0.006
-0.13,-19.1,-0.01
-0.17,-22.9,-0.014
-0.22,-26.3,-0.018
-0.28,-29.7,-0.022
-0.31,-31.6,-0.025
-0.35,-34.1,-0.028
-0.4,-36.3,-0.032
-0.43,-37.9,-0.034
-0.44,-38.8,-0.035
-0.48,-40.4,-0.039
-0.49,-40.7,-0.039
-0.51,-41.3,-0.041
-0.52,-41.9,-0.042
-0.54,-41.9,-0.043
-0.54,-34.7,-0.043
-0.51,-32.9,-0.041
-0.49,-31,-0.039
-0.46,-29.4,-0.037
-0.44,-27.5,-0.035
-0.42,-25.4,-0.033
-0.39,-22.5,-0.031
-0.34,-19.7,-0.027
-0.3,-16.3,-0.024
-0.27,-12.5,-0.021
-0.21,-8.5,-0.017
-0.17,-4.4,-0.014
-0.13,-0.3,-0.01
-0.06,3.4,-0.005
-0.02,7.2,-0.002
0.02,11.6,0.002
0.03,8.8,0.003
0.01,5.3,0.001
0.01,7.5,0.001
0.02,10.6,0.002
0.02,5.9,0.002
0.09,16,0.007
0.13,19.4,0.01
0.16,21.9,0.013
0.19,23.5,0.015
0.29,30.4,0.023
0.33,33.8,0.027
0.36,36.9,0.029
0.41,39.4,0.033
0.44,42.6,0.035
0.47,44.1,0.038
0.5,46.6,0.04
0.52,48.2,0.042
0.55,49.8,0.044
0.56,50.4,0.045
0.57,51,0.045
0.58,51.3,0.046
0.59,51,0.047
0.58,49.5,0.046
0.58,44.5,0.046
0.56,42.6,0.045
0.54,41,0.043
0.51,39.1,0.041
0.49,36.6,0.039
0.46,34.1,0.037
0.43,31.3,0.034
0.39,28.2,0.031
0.35,25,0.028
0.33,22.5,0.027
0.29,19.7,0.023
0.2,13.1,0.016
0.15,9.7,0.012
0.11,6.3,0.009
0.05,2.2,0.004
0,-1.9,0
-0.04,-5.9,-0.003
-0.1,-9.7,-0.008
-0.14,-13.5,-0.011
-0.2,-17.5,-0.016
-0.25,-20.3,-0.02
-0.28,-23.8,-0.022
-0.32,-27.2,-0.026
-0.36,-29.4,-0.029
-0.4,-32.2,-0.032
-0.44,-34.1,-0.035
-0.46,-36.3,-0.037
-0.48,-37.3,-0.039
-0.5,-38.8,-0.04
-0.51,-39.4,-0.041
-0.52,-39.8,-0.042
-0.54,-40.1,-0.043
-0.54,-36.9,-0.043
-0.51,-31,-0.041
-0.5,-30.7,-0.04
-0.48,-28.8,-0.039
-0.46,-27.2,-0.037
-0.44,-25.4,-0.035
-0.4,-23.2,-0.032
-0.36,-20.3,-0.029
-0.33,-17.5,-0.027
-0.29,-14.7,-0.023
-0.25,-10.6,-0.02
-0.19,-6.9,-0.015
-0.15,-3.1,-0.012
-0.1,0.9,-0.008
-0.05,4.1,-0.004
0,8.8,0
0.03,10.3,0.003
0.02,5.3,0.002
0.01,6.9,0.001
0.02,10,0.002
0.02,4.7,0.002
0.01,5.6,0.001
0.06,14.1,0.005
0.12,17.5,0.009
0.16,21.3,0.013
0.18,22.2,0.015
0.29,29.7,0.023
0.31,31.9,0.025
0.35,35.1,0.028
0.4,38.2,0.032
0.43,41,0.034
0.46,43.2,0.037
0.49,45.1,0.039
0.51,47.3,0.041
0.55,48.8,0.044
0.56,49.5,0.045
0.57,51,0.045
0.57,51.3,0.045
0.58,51,0.046
0.58,46,0.046
0.55,43.5,0.044
0.55,41.3,0.044
0.52,40.1,0.042
