Test unit,M20
Reference,Pinho et al. (2012)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
0,0,0
0.07,5.4,0.004
0.07,8.4,0.004
0.17,8.8,0.009
0.29,11.1,0.015
0.31,13.1,0.016
0.43,14.3,0.023
0.5,15.2,0.027
0.65,17.4,0.034
0.79,18,0.042
0.93,19.2,0.049
1.1,20.5,0.058
1.32,20.7,0.069
1.51,22.1,0.079
1.65,22.5,0.087
1.84,22.6,0.097
2.01,23.6,0.106
2.23,23.6,0.117
2.42,23.8,0.127
2.56,24.3,0.135
2.8,24.7,0.147
2.97,24.4,0.156
3.4,24.4,0.179
3.66,24.7,0.193
3.87,24.6,0.204
4.14,24.4,0.218
4.4,23.4,0.232
4.59,24.9,0.242
4.88,23.6,0.257
5.12,23.9,0.269
5.38,23.6,0.283
5.65,22.6,0.297
5.93,22.5,0.312
6.2,21.6,0.326
6.48,21.8,0.341
6.7,21.3,0.353
6.94,21.5,0.365
7.25,20.7,0.381
7.49,20.3,0.394
7.66,20.3,0.403
7.85,19.5,0.413
7.85,19.2,0.413
7.92,18.7,0.417
7.92,18.7,0.417
7.94,18.5,0.418
7.94,18.4,0.418
7.97,18.4,0.419
7.97,18,0.419
7.99,18,0.421
7.99,17.7,0.421
7.99,17.9,0.421
7.99,17.7,0.421
7.99,17.9,0.421
7.99,17.7,0.421
7.99,17.9,0.421
7.99,17.7,0.421
8.04,17.5,0.423
8.01,17.5,0.422
8.04,17.5,0.423
8.04,17.4,0.423
8.04,17.5,0.423
8.04,17.4,0.423
8.04,17.5,0.423
8.04,17.4,0.423
8.04,17.5,0.423
8.04,17.4,0.423
8.04,17.5,0.423
8.04,17.4,0.423
8.06,17.4,0.424
8.06,19.8,0.424
8.09,20.3,0.426
8.18,20.2,0.431
8.33,20,0.438
8.35,19.7,0.439
8.42,19.8,0.443
8.61,19,0.453
8.68,19.7,0.457
8.73,20,0.46
8.9,19.2,0.468
8.97,19,0.472
9.04,18.8,0.476
9.12,18.5,0.48
9.21,18.7,0.485
9.33,18.7,0.491
9.43,18,0.496
9.5,18.8,0.5
9.69,18.8,0.51
9.79,17,0.515
9.88,18.2,0.52
