Test unit,test 7
Reference,Krzan et al. (2015)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-19.89,-95.7,-1.047
-19.66,-106.7,-1.035
-17.33,-119.6,-0.912
-14.87,-128.8,-0.783
-12.31,-122.4,-0.648
-9.86,-120.6,-0.519
-7.41,-109.5,-0.39
-4.85,-95.7,-0.255
-2.84,-82.8,-0.15
-1.95,-71.8,-0.103
-1.5,-61.7,-0.079
-0.97,-50.1,-0.051
-0.72,-43.3,-0.038
-0.5,-35,-0.026
-0.28,-23.9,-0.015
0,0,0
0,0,0
0.28,19.3,0.015
0.5,28.5,0.026
0.73,39.6,0.038
0.95,47.1,0.05
1.5,58.9,0.079
1.95,69.9,0.103
2.95,79.1,0.155
4.96,93.9,0.261
7.3,113.2,0.384
9.86,123.3,0.519
12.31,128.8,0.648
14.76,129.8,0.777
17.21,123.3,0.906
19.78,102.1,1.041
19.89,86.5,1.047
