Test unit,C8
Reference,Silva et al. (2014)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
0,0,0
0.01,9.9,0.001
0.01,12.1,0.001
0.02,14.5,0.001
0.02,16.6,0.001
0.03,18.7,0.002
0.03,21.4,0.002
0.03,23.7,0.003
0.04,25.8,0.003
0.05,27.7,0.004
0.06,29.4,0.005
0.06,31.3,0.005
0.07,32.9,0.005
0.09,34.8,0.006
0.1,35.7,0.007
0.11,36.9,0.008
0.12,47.6,0.009
0.13,49.1,0.009
0.13,51,0.01
0.14,52.5,0.01
0.15,53.7,0.011
0.16,54.5,0.012
0.16,56.5,0.012
0.16,58.8,0.012
0.17,59.8,0.013
0.18,61.1,0.013
0.19,62.6,0.014
0.2,64.4,0.015
0.21,65.7,0.015
0.22,66.9,0.016
0.24,67.2,0.018
0.24,74.6,0.018
0.25,75.1,0.019
0.27,75.3,0.02
0.27,57.1,0.02
0.29,55.8,0.022
0.28,55.2,0.02
0.27,53.5,0.02
0.26,51.7,0.019
0.26,49.5,0.019
0.26,47.6,0.019
0.25,45.5,0.019
0.25,43.5,0.018
0.24,39.7,0.018
0.23,38.1,0.017
0.22,36.3,0.016
0.22,34.1,0.016
0.2,28.2,0.015
0.2,26.3,0.015
0.19,24.5,0.014
0.18,19.8,0.013
0.17,18.2,0.013
0.15,10.4,0.011
0.15,8.5,0.011
0.14,0.9,0.01
0.13,0.3,0.009
0.12,-1.7,0.009
0.12,-3.7,0.009
0.11,-5.3,0.008
0.1,-7.8,0.008
0.1,-10.3,0.007
0.09,-13,0.007
0.08,-15.7,0.006
0.08,-18.5,0.006
0.07,-21.1,0.005
0.06,-23.7,0.005
0.06,-26.1,0.005
0.05,-28.2,0.004
0.04,-30.4,0.003
0.04,-32,0.003
0.05,-30.1,0.004
0.04,-28.3,0.003
0.03,-26.3,0.002
0.02,-36.1,0.001
0.01,-38.4,0.001
-0,-40.5,-0
-0,-42.3,-0
-0.01,-43.6,-0.001
-0.02,-44.7,-0.002
-0.01,-46.9,-0.001
-0.02,-49,-0.001
-0.03,-50.5,-0.002
-0.04,-51.7,-0.003
-0.05,-52.9,-0.004
-0.06,-54.5,-0.004
-0.07,-55.7,-0.005
-0.08,-57.1,-0.006
-0.08,-59.1,-0.006
-0.09,-60.8,-0.007
-0.1,-62.2,-0.007
-0.1,-63.6,-0.008
-0.1,-65.7,-0.007
-0.11,-66.3,-0.008
-0.12,-67.5,-0.009
-0.13,-68.5,-0.01
-0.14,-70.2,-0.01
-0.15,-71.5,-0.011
-0.15,-73,-0.011
-0.15,-74.7,-0.011
-0.15,-75.6,-0.011
-0.15,-77.2,-0.011
-0.16,-78,-0.012
-0.16,-79.2,-0.012
-0.17,-80.6,-0.013
-0.17,-82.2,-0.013
-0.18,-83.1,-0.013
-0.19,-84.6,-0.014
-0.19,-86.2,-0.014
-0.2,-86.4,-0.015
-0.22,-87,-0.016
-0.22,-88.6,-0.016
-0.23,-89.6,-0.017
-0.24,-90.8,-0.018
-0.25,-90.5,-0.019
-0.26,-92.4,-0.019
-0.27,-92.6,-0.02
-0.28,-90.6,-0.021
-0.28,-88.4,-0.021
-0.28,-86.2,-0.021
-0.28,-83.9,-0.021
-0.27,-81.7,-0.02
-0.26,-80.4,-0.019
-0.27,-78.8,-0.02
-0.28,-76.7,-0.021
-0.28,-74.5,-0.02
-0.27,-72.4,-0.02
-0.26,-70.8,-0.019
-0.24,-70.5,-0.018
-0.25,-68.6,-0.019
-0.25,-66.5,-0.019
-0.25,-64.5,-0.018
-0.24,-63,-0.018
-0.24,-60.8,-0.018
-0.24,-58.8,-0.018
-0.24,-57.1,-0.018
-0.22,-56.3,-0.017
-0.22,-54,-0.016
-0.22,-51.8,-0.016
-0.22,-49.6,-0.016
-0.21,-48,-0.016
-0.2,-45.9,-0.015
-0.2,-44.4,-0.015
-0.19,-42.3,-0.014
-0.19,-40.4,-0.014
-0.19,-38.5,-0.014
-0.18,-36.5,-0.013
-0.16,-35.7,-0.012
-0.17,-33.6,-0.012
-0.17,-31.4,-0.012
-0.16,-29.6,-0.012
-0.15,-27.5,-0.011
-0.15,-25.7,-0.011
-0.14,-23.8,-0.01
-0.13,-21.9,-0.01
-0.13,-20.2,-0.01
-0.13,-18.2,-0.009
-0.12,-16.4,-0.009
-0.12,-14.3,-0.009
