Test unit;CS02;
Reference;Senaldi et al. (2018);
top_displacement;horizontal_force;drift
[mm];[kN];[%]
0;0;0
0.003166019;1.500023814;0.00017589
0.003968794;1.524808089;0.000220489
0.004867471;1.553364767;0.000270415
0.005861022;1.588330471;0.000325612
0.006991724;1.627879846;0.000388429
0.008206983;1.67116106;0.000455944
0.009580533;1.719431579;0.000532252
0.011071132;1.773178166;0.000615063
0.012677729;1.83134617;0.000704318
0.014390027;1.894787424;0.000799446
0.016282274;1.963664183;0.000904571
0.018384325;2.039233912;0.001021351
0.020634878;2.119995765;0.001146382
0.023096825;2.203434805;0.001283157
0.025601038;2.29032174;0.00142228
0.028177939;2.379358539;0.001565441
0.030745573;2.469896185;0.001708087
0.033334342;2.55889242;0.001851908
0.035913824;2.645698228;0.001995212
0.038419588;2.731976711;0.002134422
0.04096711;2.816794909;0.002275951
0.043503808;2.901207473;0.002416878
0.046092054;2.985782291;0.00256067
0.048712787;3.069748656;0.002706266
0.051334034;3.154364037;0.002851891
0.054008389;3.239709559;0.003000466
0.056683259;3.325704098;0.00314907
0.059430837;3.412144834;0.003301713
0.062273787;3.500086418;0.003459655
0.065169848;3.588758145;0.003620547
0.068097355;3.678281704;0.003783186
0.071098629;3.768373151;0.003949924
0.074183967;3.860492771;0.004121331
0.077353878;3.955249017;0.004297438
0.080670735;4.054183299;0.004481708
0.084104643;4.156443784;0.00467248
0.087707162;4.261016387;0.00487262
0.091509249;4.37061886;0.005083847
0.095446954;4.485251201;0.005302609
0.099575419;4.603453127;0.005531968
0.103852351;4.722953083;0.005769575
0.108277771;4.842371912;0.006015432
0.112840374;4.963737788;0.00626891
0.117498341;5.086847892;0.006527686
0.122293945;5.208862783;0.006794108
0.127152478;5.331283308;0.007064027
0.132116209;5.452689747;0.007339789
0.137154708;5.572676465;0.007619706
0.142223207;5.693515015;0.007901289
0.147365453;5.81382624;0.00818697
0.152581447;5.932839434;0.008476747
0.157755689;6.05233939;0.008764205
0.162898973;6.168432014;0.009049943
0.167999992;6.280914491;0.009333333
0.173090236;6.389056677;0.009616124
0.17814853;6.494562239;0.009897141
0.183143898;6.59808019;0.010174661
0.188087199;6.697582359;0.010449289
0.193052642;6.793433816;0.010725147
0.198006787;6.886405267;0.011000377
0.202906867;6.980512495;0.011272604
0.207774983;7.074781977;0.011543055
0.21259101;7.167226104;0.011810612
0.21744881;7.257926001;0.012080489
0.222295301;7.348341954;0.012349739
0.227184575;7.437581566;0.012621365
0.232074336;7.527916392;0.012893019
0.23692275;7.617318258;0.013162375
0.241762792;7.701690256;0.013431266
0.246602853;7.785575491;0.013700158
0.251453734;7.868487203;0.013969652
0.2563267;7.94969525;0.014240372
0.26124193;8.031674003;0.014513441
0.266221062;8.114545152;0.014790059
0.271264132;8.197943625;0.01507023
0.27640258;8.282153368;0.015355699
0.281688532;8.366565928;0.015649363
0.287102263;8.45170863;0.015950126
0.292578938;8.537946545;0.016254385
0.298098385;8.624022207;0.016561021
0.303671416;8.707461244;0.016870634
0.309276385;8.789074925;0.017182021
0.314923635;8.867565219;0.017495758
0.320538495;8.942932128;0.017807694
0.326111093;9.014688888;0.018117283
0.33164141;9.080929018;0.018424523
0.337107838;9.139137582;0.018728213
0.342530569;9.193452055;0.019029476
0.347857446;9.244480887;0.019325414
0.353058403;9.28719421;0.019614356
0.358122629;9.320618501;0.019895702
0.363080213;9.343496292;0.020171123
0.367889352;9.359275478;0.020438297
0.372498329;9.365197743;0.020694352
0.376865325;9.359194351;0.020936962
0.381000229;9.343455728;0.021166679
0.384807698;9.317089479;0.021378205
0.388275989;9.280663493;0.021570888
0.391406056;9.233974951;0.021744781
0.394176738;9.177551178;0.021898708
0.396661797;9.11204119;0.022036766
0.398840095;9.040527811;0.022157783
0.400669808;8.961388501;0.022259434
0.402173002;8.877341012;0.022342945
0.403358646;8.789602248;0.022408814
0.404174566;8.699957002;0.022454143
0.404684185;8.609257106;0.022482455
0.404877177;8.515636641;0.022493177
0.404847973;8.418284337;0.022491554
0.404553371;8.32101316;0.022475187
0.403992918;8.226135227;0.022444051
0.40318913;8.132920397;0.022399396
0.402121319;8.037150068;0.022340073
0.400819141;7.943570166;0.02226773
0.399314996;7.853681538;0.022184166
0.39753512;7.763062768;0.022085284
0.395575319;7.672849633;0.021976407
0.393425716;7.582271427;0.021856984
0.391138928;7.493396885;0.02172994
0.388768515;7.403751638;0.021598251
0.386229905;7.312078218;0.021457217
0.383543317;7.217565356;0.021307962
0.380803186;7.125648555;0.021155733
0.378031592;7.030770621;0.021001755
0.375208296;6.932282539;0.020844905
0.372426817;6.832050228;0.020690379
0.369613864;6.728978475;0.020534104
0.366832385;6.624081366;0.020379577
0.363987948;6.521252994;0.020221553
0.361197053;6.417572789;0.020066503
0.358396733;6.311134268;0.01991093
0.355555059;6.205020256;0.019753059
0.352755665;6.098460045;0.019597537
0.34998913;5.989993351;0.019443841
0.347212252;5.880431444;0.01928957
0.344520388;5.772167568;0.019140022
0.341839322;5.664512144;0.018991073
0.339200546;5.557789679;0.018844475
0.336530297;5.449363548;0.018696128
0.333890123;5.344872074;0.018549451
0.331322299;5.245288777;0.018406794
0.328849365;5.148017598;0.018269409
0.326355749;5.050259658;0.018130875
0.323808119;4.955097778;0.01798934
0.321260028;4.86241027;0.017847779
0.318617037;4.770736848;0.017700946
0.315952435;4.681456671;0.017552913
0.313203744;4.591162406;0.017400208
0.310433442;4.498190953;0.017246302
0.30755697;4.404894992;0.017086498
0.304669695;4.312734809;0.016926094
0.301750007;4.21923603;0.016763889
0.298745757;4.12642683;0.016596987
0.295719411;4.034023265;0.016428856
0.292661598;3.941011248;0.016258978
0.289530036;3.84682289;0.016085002
0.2864201;3.751985517;0.015912228
0.283309202;3.657026453;0.0157394
0.280219456;3.564136126;0.015567748
0.277119357;3.469014809;0.01539552
0.273946931;3.372027572;0.015219274
0.270711564;3.274147939;0.015039531
0.267497337;3.174483514;0.014860963
0.264293904;3.075752048;0.014682995
0.261112099;2.978034669;0.014506228
0.258025182;2.879181512;0.014334732
0.25497021;2.77943596;0.014165012
0.251988993;2.681272382;0.013999388
0.249028905;2.583879511;0.013834939
0.246100763;2.486324385;0.013672265
0.243141158;2.387917427;0.013507842
0.240203177;2.288131311;0.013344621
0.237318293;2.18875083;0.01318435
0.234392084;2.088721333;0.013021782
0.231486529;1.988610709;0.012860363
0.228602124;1.889473608;0.012700118
0.225664148;1.790661015;0.012536897
0.222674032;1.691564477;0.01237078
0.219694248;1.591007655;0.012205236
0.216641695;1.489031111;0.01203565
0.213609318;1.386081044;0.011867184
0.210544994;1.283820556;0.011696944
0.207407425;1.181884576;0.011522635
0.204269846;1.077474224;0.011348325
0.20105755;0.97115739;0.011169864
0.197740541;0.863461397;0.010985586
0.194338972;0.754873009;0.01079661
0.190842022;0.647379833;0.010602335
0.187303786;0.540251729;0.010405766
0.183691304;0.432799117;0.010205072
0.180089658;0.325103123;0.010004981
0.176487517;0.218826851;0.009804862
0.172821968;0.112144945;0.00960122
0.169156432;0.005463038;0.00939758
0.165491392;-0.102598027;0.009193966
0.161836173;-0.212119377;0.008990899
0.158191766;-0.321437909;0.008788431
0.154589642;-0.429864045;0.008588313
0.150976694;-0.538046801;0.008387594
0.147394216;-0.644485329;0.008188568
0.143801413;-0.749544698;0.007988967
0.140282852;-0.854685195;0.007793492
0.136815899;-0.958000335;0.007600883
0.133359762;-1.059976882;0.007408876
0.129967543;-1.160817652;0.007220419
0.126617126;-1.259914192;0.007034285
0.123362097;-1.357509885;0.00685345
0.12014985;-1.455348959;0.006674992
0.116947436;-1.553106906;0.00649708
0.113861544;-1.650094147;0.006325641
0.110806606;-1.745905047;0.006155923
0.107763002;-1.839971719;0.005986833
0.104813762;-1.933186558;0.005822987
0.101885673;-2.025062803;0.005660315
0.098946766;-2.112558194;0.005497043
0.095955245;-2.197173579;0.005330847
0.092921965;-2.281099385;0.005162331
0.089857233;-2.366728857;0.004992069
0.086729069;-2.451709314;0.004818282
0.083569432;-2.535675683;0.004642746
0.080368039;-2.620250505;0.004464891
0.077049607;-2.706366739;0.004280534
0.073647639;-2.793294243;0.004091536
0.070182251;-2.880465127;0.003899014
0.066621487;-2.968244463;0.003701194
0.0630071;-3.055537038;0.003500394
0.059255053;-3.143843699;0.003291947
0.055376184;-3.233326701;0.003076455
0.051412759;-3.323539846;0.002856264
0.047259065;-3.41468595;0.002625504
0.042957919;-3.507008395;0.002386551
0.038518598;-3.601399577;0.002139922
0.033858078;-3.697372733;0.001881004
0.0290805;-3.795049556;0.001615583
0.02418639;-3.896174273;0.001343688
0.019176257;-4.000057306;0.001065348
0.014081061;-4.105278933;0.000782281
0.00884874;-4.208999712;0.000491597
0.003532384;-4.313977959;0.000196244
-0.001878852;-4.42053818;-0.000104381
-0.007385451;-4.527463474;-0.000410303
-0.012986399;-4.632360594;-0.000721467
-0.018662116;-4.737703912;-0.001036784
-0.024443535;-4.84479146;-0.001357974
-0.030299215;-4.952974221;-0.00168329
-0.036281769;-5.060994729;-0.002015654
-0.042327741;-5.168569038;-0.002351541
-0.048353107;-5.277644196;-0.002686284
-0.054452736;-5.38631372;-0.003025152
-0.060604939;-5.494212538;-0.003366941
-0.066778816;-5.601381213;-0.003709934
-0.073015574;-5.706683969;-0.004056421
-0.079252311;-5.811256583;-0.004402906
-0.085509114;-5.914490603;-0.004750506
-0.091765379;-6.01687279;-0.005098077
-0.097989092;-6.119254978;-0.005443838
-0.104213367;-6.220866459;-0.005789631
-0.110470152;-6.321910053;-0.006137231
-0.116748056;-6.421493361;-0.006486003
-0.123057388;-6.520427654;-0.006836522
-0.129388404;-6.618591242;-0.007188245
-0.135719398;-6.717971733;-0.007539967
-0.142102978;-6.817514479;-0.00789461
-0.14854998;-6.913447076;-0.008252777
-0.155038711;-7.007189246;-0.008613262
-0.161547483;-7.101783249;-0.00897486
-0.168088251;-7.196661196;-0.009338236
-0.17475588;-7.289713788;-0.00970866
-0.181476092;-7.382928633;-0.010082005
-0.18816486;-7.476711368;-0.010453603
-0.194927347;-7.570575229;-0.010829297
-0.201711532;-7.667765295;-0.011206196
-0.208528276;-7.765766631;-0.011584904
-0.215451839;-7.864335855;-0.011969547
-0.22252335;-7.963067333;-0.012362408
-0.229712522;-8.061839375;-0.012761807
-0.236985715;-8.161017052;-0.013165873
-0.244280072;-8.260519237;-0.013571115
-0.251574407;-8.360143112;-0.013976356
-0.258868719;-8.459117972;-0.014381596
-0.266120774;-8.556510857;-0.014784487
-0.273361944;-8.650699228;-0.015186775
-0.28050769;-8.741074633;-0.015583761
-0.287495178;-8.828448342;-0.015971954
-0.294387815;-8.9105488;-0.016354879
-0.301133025;-8.98530727;-0.016729612
-0.307719406;-9.052480372;-0.017095523
-0.314072675;-9.109796552;-0.017448482
-0.320172268;-9.158310459;-0.017787348
-0.326113014;-9.197575895;-0.01811739
-0.331758403;-9.227673988;-0.018431022
-0.337107263;-9.244913462;-0.018728181
-0.342159601;-9.250308403;-0.019008867
-0.346871949;-9.24722558;-0.019270664
-0.351130691;-9.234934849;-0.019507261
-0.355007758;-9.209177047;-0.019722653
-0.358535714;-9.172061474;-0.019918651
-0.361629426;-9.126103066;-0.020090524
-0.364343811;-9.070531115;-0.020241323
-0.36671995;-9.004858861;-0.020373331
-0.368831562;-8.930424899;-0.020490642
-0.370585579;-8.847594298;-0.020588088
-0.37204423;-8.758111289;-0.020669124
-0.37324861;-8.664287989;-0.020736034
-0.374157044;-8.567665809;-0.020786502
-0.374769525;-8.470354051;-0.020820529
-0.37511746;-8.372393278;-0.020839859
-0.37520202;-8.275406027;-0.020844557
-0.375085461;-8.177201874;-0.020838081
-0.374715226;-8.078835466;-0.020817513
-0.374165006;-7.980793566;-0.020786945
-0.373372559;-7.883522372;-0.02074292
-0.372389848;-7.788644423;-0.020688325
-0.37118722;-7.690602524;-0.020621512
-0.369920586;-7.589518365;-0.020551144
-0.368464867;-7.490908578;-0.02047027
-0.366819474;-7.392501609;-0.02037886
-0.365090116;-7.292553227;-0.020282784
-0.363296167;-7.192442592;-0.02018312
-0.361365686;-7.092453648;-0.020075871
-0.359255807;-6.992383577;-0.019958656
-0.35701733;-6.89434168;-0.019834296
-0.354630869;-6.79556964;-0.019701715
-0.35208615;-6.695418443;-0.019560342
-0.349414597;-6.593928652;-0.019411922
