Test unit;CT01;
Reference;Senaldi et al. (2018);
top_displacement;horizontal_force;drift
[mm];[kN];[%]
0;0;0
-0.001340057;0.615172438;-0.0000924177
-0.001291317;0.63358825;-0.0000890564
-0.00119031;0.647704335;-0.0000820903
-0.001073323;0.670622692;-0.0000740223
-0.000943071;0.689646956;-0.0000650393
-0.000760552;0.701207543;-0.0000524519
-0.000556978;0.716459405;-0.0000384123
-0.000400592;0.743028473;-0.0000276271
-0.000242649;0.77637164;-0.0000167344
-0.000112003;0.81093171;-0.00000772436
0.000020201;0.852144188;0.00000139317
0.000116528;0.904836126;0.0000080364
0.000175815;0.957203557;0.0000121252
0.000256158;1.013870715;0.0000176661
0.000391476;1.074756472;0.0000269983
0.000523678;1.13775153;0.0000361157
0.000626631;1.204437862;0.000043216
0.000729584;1.274004201;0.0000503162
0.000804856;1.345071387;0.0000555073
0.000870379;1.418288437;0.0000600261
0.000926154;1.493168588;0.0000638727
0.001036919;1.572105086;0.0000715117
0.001131299;1.653962153;0.0000780206
0.001227237;1.7381719;0.000084637
0.001297042;1.830291523;0.0000894512
0.001346949;1.934864128;0.000092893
0.001369165;2.044304348;0.0000944252
0.001421032;2.144009338;0.0000980022
0.001527887;2.243349256;0.000105372
0.001640978;2.348530312;0.000113171
0.001745878;2.456510247;0.000120405
0.001878466;2.559338622;0.000129549
0.002023921;2.663424465;0.000139581
0.002115955;2.769173409;0.000145928
0.002199803;2.875368551;0.000151711
0.00223686;2.976655514;0.000154266
0.002338642;3.080660229;0.000161286
0.002380374;3.189370306;0.000164164
0.002385058;3.295889955;0.000164487
0.002367129;3.403139747;0.00016325
0.002360509;3.511768697;0.000162794
0.002293836;3.62372385;0.000158196
0.002227163;3.735841257;0.000153597
0.002170239;3.847877537;0.000149672
0.002139055;3.960197762;0.000147521
0.002096962;4.062093177;0.000144618
0.002085674;4.161595348;0.00014384
0.002082175;4.266614149;0.000143598
0.001949199;4.371267879;0.000134428
0.001814664;4.475353721;0.000125149
0.001681686;4.578871674;0.000115978
0.001535838;4.682551881;0.00010592
0.001388433;4.785501945;0.000095754
0.001229722;4.888776518;0.0000848084
0.001038645;4.992537851;0.0000716307
0.000881493;5.100517784;0.0000607926
0.000630368;5.208376027;0.0000434736
0.000421354;5.313719336;0.0000290589
0.000246266;5.419873913;0.0000169839
0.000126151;5.527164267;0.00000870007
-0.00000371363;5.635184763;-0.000000256113
-0.00000879965;5.739189476;-0.000000606872
0.000018479;5.845830815;0.00000127441
0.00000520515;5.954338072;0.000000358976
-0.0000611081;6.057612642;-0.00000421435
-0.000101691;6.164416234;-0.00000701314
-0.000148902;6.276371385;-0.0000102691
-0.000239781;6.387758647;-0.0000165366
-0.000225359;6.499145909;-0.000015542
-0.000217568;6.610492608;-0.0000150047
-0.000173895;6.718310286;-0.0000119928
-0.0000783503;6.823288521;-0.00000540347
0.0000187527;6.929118589;0.00000129329
0.00013028;7.034543022;0.00000898481
0.000261307;7.13919675;0.0000180212
0.00042274;7.250705702;0.0000291545
0.000610306;7.359456338;0.0000420901
0.000814258;7.464028938;0.0000561557
0.001013136;7.575740708;0.0000698715
0.001160157;7.687533603;0.0000800108
0.001328237;7.798596357;0.0000916026
0.001385963;7.919434904;0.0000955836
0.001377401;8.037109501;0.0000949932
0.001422263;8.153648322;0.0000980871
0.001511974;8.28012519;0.000104274
0.001635607;8.408833048;0.0001128
0.001704252;8.53535048;0.000117535
0.001816565;8.660610444;0.00012528
0.001900018;8.778609549;0.000131036
0.00199322;8.89985373;0.000137463
0.002055217;9.029007787;0.000141739
0.002050916;9.155890289;0.000141442
0.002067669;9.284354766;0.000142598
0.002097288;9.415009671;0.000144641
0.002105845;9.545340067;0.000145231
0.00203565;9.661594943;0.00014039
0.002013798;9.781013769;0.000138883
0.001974003;9.904772885;0.000136138
0.001950591;10.02273143;0.000134524
0.001983723;10.14255589;0.000136808
0.001982923;10.26181246;0.000136753
0.00204218;10.37291577;0.00014084
0.002157975;10.48685853;0.000148826
0.002187973;10.60213989;0.000150895
0.00217936;10.71194517;0.000150301
0.002120449;10.82357581;0.000146238
0.002113409;10.93476025;0.000145752
0.002122355;11.05288105;0.000146369
0.002118042;11.17838439;0.000146072
0.002147658;11.30311703;0.000148114
0.002213161;11.42302262;0.000152632
0.002341448;11.55148709;0.000161479
0.002445168;11.6838051;0.000168632
0.002570343;11.80821323;0.000177265
0.002687721;11.92629345;0.00018536
0.002893595;12.05666441;0.000199558
0.003039417;12.19101059;0.000209615
0.003145082;12.31752802;0.000216902
0.003257376;12.43897502;0.000224647
0.003311562;12.55912398;0.000228384
0.003396562;12.67846168;0.000234246
0.003467132;12.79706923;0.000239113
0.003508458;12.91729933;0.000241963
0.003614522;13.03647477;0.000249277
0.003731895;13.15358147;0.000257372
0.003825084;13.26959297;0.000263799
0.003895655;13.38454981;0.000268666
0.003905006;13.49228636;0.000269311
0.003961153;13.60172657;0.000273183
0.003950999;13.71019326;0.000272483
0.003898723;13.81707797;0.000268877
0.003789899;13.9217317;0.000261372
0.003684587;14.02155837;0.000254109
0.003546517;14.13185042;0.000244587
0.003414687;14.24721289;0.000235496
0.003297697;14.35880297;0.000227427
0.003248962;14.46455191;0.000224066
0.003293802;14.57914368;0.000227159
0.003323824;14.7024566;0.000229229
0.003399474;14.81854922;0.000234446
0.003494623;14.93159958;0.000241008
0.003605763;15.04813839;0.000248673
0.003725093;15.16362256;0.000256903
0.003844818;15.27249489;0.00026516
0.004035918;15.38173228;0.000278339
0.004280448;15.4898339;0.000295203
0.00458816;15.59602903;0.000316425
0.005010911;15.70064219;0.00034558
0.005407925;15.80371394;0.00037296
0.005908688;15.9054471;0.000407496
0.00643714;16.00649067;0.000443941
0.007036965;16.10643904;0.000485308
0.007657852;16.20419697;0.000528128
0.008322798;16.29335545;0.000573986
0.009079778;16.38786831;0.000626192
0.009825449;16.48132652;0.000677617
0.010569556;16.57389233;0.000728935
0.011299236;16.66142828;0.000779258
0.012067917;16.74320421;0.00083227
0.012844396;16.83220044;0.00088582
0.013650107;16.92010145;0.000941387
0.014504569;17.00678557;0.001000315
0.015419091;17.0902246;0.001063386
0.016383516;17.17873407;0.001129898
0.017307378;17.26866325;0.001193612
0.018265549;17.35307581;0.001259693
0.019246341;17.43951654;0.001327334
0.02015071;17.53406996;0.001389704
0.021084324;17.62614902;0.001454091
0.021995306;17.71506412;0.001516918
0.022943344;17.80710261;0.0015823
0.023860571;17.89784306;0.001645557
0.024826537;17.98834014;0.001712175
0.025829547;18.08058144;0.001781348
0.026772892;18.16872584;0.001846406
0.027683861;18.25500432;0.001909232
0.028614317;18.33990364;0.001973401
0.029562344;18.43271283;0.002038782
0.030495926;18.52535977;0.002103167
0.031471623;18.61504558;0.002170457
0.032421205;18.70866604;0.002235945
0.033318914;18.799731;0.002297856
0.034203736;18.88819991;0.002358878
0.035078813;18.97415388;0.002419229
0.03598313;19.05556474;0.002481595
0.036903431;19.13656996;0.002545064
0.037785087;19.20682588;0.002605868
0.038736551;19.26576458;0.002671486
0.039696187;19.3173613;0.002737668
0.040579766;19.36271125;0.002798605
0.041447335;19.39844765;0.002858437
0.042318385;19.42209615;0.002918509
0.043155141;19.44404098;0.002976217
0.043912376;19.46525567;0.00302844
0.044653602;19.47280048;0.003079559
0.045378818;19.46768948;0.003129574
0.046069755;19.46123989;0.003177224
0.046702568;19.43755083;0.003220867
0.047304573;19.40246344;0.003262384
0.047830532;19.35707293;0.003298657
0.048330395;19.30730156;0.003333131
0.048794748;19.24609131;0.003365155
0.049199058;19.17599765;0.003393038
0.049559691;19.09787243;0.00341791
0.049882905;19.01427114;0.0034402
0.050112152;18.92710027;0.00345601
0.050273184;18.84078123;0.003467116
0.05032265;18.74882386;0.003470528
0.050323386;18.65349974;0.003470578
0.050413042;18.55744547;0.003476761
0.050452398;18.45765936;0.003479476
0.050478524;18.36152396;0.003481278
0.050451563;18.25188093;0.003479418
0.050444433;18.12962267;0.003478926
0.050451741;18.00821624;0.00347943
0.050507421;17.89082559;0.00348327
0.05051314;17.76325351;0.003483665
0.050491536;17.63389664;0.003482175
0.050482808;17.50624343;0.003481573
0.050475647;17.38171361;0.003481079
0.050477001;17.24558265;0.003481173
0.050552835;17.10941112;0.003486402
0.050634932;16.98106833;0.003492064
0.050687796;16.85552443;0.00349571
0.050711761;16.72385544;0.003497363
0.050745471;16.59011772;0.003499688
0.05081781;16.46067972;0.003504677
0.050990389;16.33014651;0.003516579
0.051140345;16.200384;0.00352692
0.051175283;16.07220347;0.00352933
0.051241022;15.94552379;0.003533864
0.051295451;15.81572072;0.003537617
0.051388516;15.69346246;0.003544036
0.051450438;15.5783028;0.003548306
0.051525237;15.46423835;0.003553465
0.051559495;15.35199926;0.003555827
0.051621085;15.24718328;0.003560075
0.051742363;15.14362477;0.003568439
0.05186364;15.04181049;0.003576803
0.051989622;14.94113199;0.003585491
0.052089506;14.84580786;0.00359238
0.052088818;14.75567585;0.003592332
0.052167675;14.66079792;0.003597771
0.052266021;14.56239097;0.003604553
0.052390128;14.47002798;0.003613112
0.052562619;14.38103175;0.003625008
0.052776002;14.28213804;0.003639724
0.05290516;14.18689504;0.003648632
0.053069819;14.095465;0.003659988
0.053307389;14.00115496;0.003676372
0.053512589;13.90473562;0.003690523
0.053732238;13.81358952;0.003705672
0.053953457;13.72305188;0.003720928
0.054207384;13.62626747;0.00373844
0.05440789;13.5318763;0.003752268
0.054601787;13.43906711;0.00376564
0.054792547;13.34439199;0.003778796
0.054949375;13.25121773;0.003789612
0.055122216;13.15958487;0.003801532
0.055282175;13.06778976;0.003812564
0.055464757;12.97818508;0.003825156
0.055681272;12.88995956;0.003840088
0.055769853;12.80266699;0.003846197
0.055877922;12.71659133;0.00385365
0.05596807;12.63209765;0.003859867
0.055990339;12.54764453;0.003861403
0.055934653;12.47004663;0.003857562
0.055883668;12.39516648;0.003854046
0.055824507;12.3215438;0.003849966
0.055760308;12.2544924;0.003845538
0.055713689;12.19182186;0.003842323
0.055654191;12.12846173;0.00383822
0.055534656;12.06952303;0.003829976
0.055362918;12.0197111;0.003818132
0.055212236;11.96746536;0.00380774
0.055070069;11.90678243;0.003797936
0.054944255;11.8400961;0.003789259
0.054795471;11.77985936;0.003778998
0.054575684;11.71512008;0.00376384
0.054367549;11.64259262;0.003749486
0.054131748;11.57148487;0.003733224
0.05391544;11.49891684;0.003718306
0.053784944;11.4243612;0.003709306
0.053657584;11.35179317;0.003700523
0.053564165;11.28036092;0.00369408
0.053512866;11.20730613;0.003690542
0.053497069;11.13538712;0.003689453
0.053508942;11.06168331;0.003690272
0.053527426;10.98303076;0.003691547
0.053481512;10.895292;0.00368838
0.053455092;10.80877014;0.003686558
0.053428672;10.72058518;0.003684736
0.053428351;10.62542331;0.003684714
0.053496254;10.52689466;0.003689397
0.053559112;10.43473448;0.003693732
0.053589263;10.35064643;0.003695811
0.053575393;10.27463051;0.003694855
0.05360712;10.19350359;0.003697043
0.053711415;10.12024598;0.003704236
0.053808764;10.05834614;0.003710949
0.053945095;9.995229401;0.003720351
0.054072013;9.925257433;0.003729104
0.054134179;9.855407155;0.003733392
0.054126563;9.78945097;0.003732866
0.054075594;9.714854767;0.003729351
0.054010175;9.635674893;0.00372484
0.053962683;9.555521497;0.003721564
0.053903877;9.473664435;0.003717509
0.053817737;9.389941454;0.003711568
0.053839678;9.313479332;0.003713081
0.053848737;9.235232417;0.003713706
0.053812538;9.154348878;0.00371121
0.053826634;9.071518293;0.003712182
0.053808355;8.9862539;0.003710921
0.05381775;8.896243582;0.003711569
0.053857944;8.805219178;0.003714341
0.053958181;8.712450545;0.003721254
0.054048673;8.617045288;0.003727495
0.054107141;8.512878322;0.003731527
0.054148022;8.402140077;0.003734346
0.054124151;8.290590562;0.0037327
0.054069143;8.187315993;0.003728906
0.054074179;8.079985078;0.003729254
0.054145867;7.965393304;0.003734198
0.054215655;7.858062389;0.003739011
0.054306499;7.750772037;0.003745276
0.054332591;7.642143091;0.003747075
0.054324743;7.531445408;0.003746534
0.054331346;7.420260964;0.003746989
0.054245875;7.306074823;0.003741095
0.054110441;7.185155148;0.003731755
0.054030011;7.066669281;0.003726208
0.053873184;6.95658005;0.003715392
0.053692162;6.845192788;0.003702908
0.053486943;6.730884956;0.003688755
0.053294604;6.616820505;0.00367549
0.053027767;6.499876049;0.003657087
