Test unit,E2
Reference,Silva et al. (2014)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
0,0,0
0.01,0.9,0.001
0.02,1.9,0.001
0.03,2.9,0.002
0.05,3.9,0.004
0.05,5,0.005
0.05,6.2,0.005
0.06,7.4,0.006
0.08,8.4,0.007
0.1,7.5,0.008
0.1,8.5,0.009
0.11,9.5,0.01
0.12,10.5,0.011
0.15,11.3,0.013
0.18,12.1,0.015
0.18,13,0.016
0.2,13.9,0.017
0.23,14.8,0.02
0.25,15.6,0.022
0.27,16.5,0.023
0.28,17.4,0.024
0.31,18.1,0.027
0.32,19,0.028
0.36,19.6,0.032
0.38,20.5,0.033
0.4,21.2,0.035
0.41,20.2,0.036
0.43,19.3,0.037
0.42,18.4,0.036
0.42,19.3,0.036
0.43,18.3,0.038
0.42,17.5,0.037
0.42,16.5,0.036
0.42,15.6,0.037
0.43,14.5,0.037
0.42,13.5,0.037
0.42,12.4,0.037
0.42,11.4,0.036
0.43,10.4,0.037
0.4,9.6,0.035
0.4,8.7,0.034
0.39,7.8,0.034
0.38,6.8,0.033
0.37,5.9,0.032
0.37,4.9,0.032
0.37,4,0.032
0.34,3.1,0.03
0.34,2.2,0.029
0.33,1.3,0.028
0.32,0.4,0.027
0.31,-0.6,0.027
0.31,-1.5,0.027
0.3,-2.6,0.026
0.28,-3.5,0.024
0.27,-4.5,0.023
0.25,-5.6,0.022
0.24,-6.5,0.021
0.22,-7.4,0.019
0.22,-8.4,0.019
0.2,-9.3,0.018
0.2,-10.2,0.017
0.18,-11.2,0.016
0.15,-12.1,0.013
0.14,-12.9,0.012
0.12,-13.8,0.01
0.1,-14.9,0.009
0.1,-15.8,0.008
0.08,-16.7,0.007
0.04,-17.4,0.003
0.02,-18.2,0.001
-0.01,-19.2,-0.001
-0.03,-20,-0.002
-0.04,-20.9,-0.003
-0.06,-21.6,-0.005
-0.08,-22.5,-0.007
-0.09,-23.4,-0.008
-0.12,-24.2,-0.01
-0.15,-25,-0.013
-0.17,-25.9,-0.015
-0.19,-26.7,-0.017
-0.23,-27.4,-0.02
-0.25,-28.3,-0.021
-0.26,-29.1,-0.023
-0.29,-28.3,-0.025
-0.3,-29.2,-0.026
-0.31,-30.1,-0.027
-0.32,-29.1,-0.028
-0.32,-28.1,-0.028
-0.32,-29,-0.028
-0.33,-30,-0.029
-0.34,-29.1,-0.03
-0.35,-28.1,-0.03
-0.34,-27.1,-0.029
-0.35,-26.2,-0.03
-0.35,-27.1,-0.03
-0.35,-28.1,-0.03
-0.33,-27.2,-0.029
-0.34,-26.2,-0.03
-0.35,-25.3,-0.03
-0.35,-24.2,-0.03
-0.34,-23.3,-0.03
-0.34,-22.3,-0.029
-0.33,-21.3,-0.028
-0.31,-20.3,-0.027
-0.31,-19.3,-0.027
-0.3,-18.4,-0.026
-0.29,-17.5,-0.025
-0.28,-16.5,-0.024
-0.27,-15.5,-0.024
-0.25,-14.6,-0.022
-0.23,-13.7,-0.02
-0.25,-12.8,-0.021
-0.23,-11.8,-0.02
-0.23,-10.8,-0.02
-0.22,-9.8,-0.019
-0.21,-8.8,-0.018
-0.2,-7.9,-0.017
-0.18,-6.9,-0.016
-0.16,-6,-0.014
-0.16,-5.1,-0.014
-0.15,-4.1,-0.013
-0.14,-3.2,-0.012
-0.13,-2.3,-0.012
-0.12,-1.3,-0.011
-0.11,-0.4,-0.009
-0.09,0.5,-0.008
-0.08,1.4,-0.007
-0.08,2.6,-0.007
-0.07,3.6,-0.006
-0.06,4.6,-0.005
-0.05,5.8,-0.005
-0.04,6.7,-0.003
-0.03,7.8,-0.002
-0.01,8.7,-0.001
0,7.8,0
0,9,0
0.01,10,0.001
0.02,11,0.002
0.03,12.1,0.003
0.07,12.9,0.006
0.06,13.9,0.005
0.07,14.8,0.006
0.08,15.7,0.007
0.11,16.6,0.01
0.13,17.6,0.011
0.14,18.6,0.012
0.16,19.5,0.014
0.17,18.5,0.015
0.17,19.7,0.015
0.18,20.9,0.016
0.2,22,0.017
0.23,22.7,0.02
0.25,23.7,0.021
0.27,24.6,0.024
0.29,25.4,0.025
0.31,26.3,0.027
0.34,27.1,0.03
0.37,28,0.032
0.39,28.8,0.034
0.44,29.2,0.038
0.44,30.1,0.039
0.45,29.1,0.039
0.45,28.1,0.039
0.45,29.2,0.039
