Test unit,PS_1
Reference,Costa et al. (2011)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-0.01,0,-0
0.09,3.6,0.004
0.23,7.1,0.012
0.27,7.6,0.014
0.36,9.1,0.018
0.47,10.6,0.024
0.6,12,0.031
0.76,13.4,0.039
0.85,14.2,0.043
0.94,14.9,0.048
1.04,15.6,0.053
1.15,16.3,0.059
1.54,19.1,0.078
1.65,19.9,0.084
1.81,20.2,0.092
1.88,19.4,0.096
1.92,18.2,0.098
1.85,12.4,0.094
1.77,11.5,0.09
1.67,10.7,0.085
1.54,10,0.078
1.41,9.2,0.072
1.31,8.3,0.067
1.26,7.2,0.064
1.2,5.3,0.061
1.26,3.4,0.064
1.08,1.9,0.055
0.89,1.6,0.046
0.79,0.6,0.04
0.73,0.1,0.037
0.67,-0.5,0.034
0.64,-1.6,0.032
0.58,-2.8,0.03
0.36,-6.3,0.018
0.14,-9.7,0.007
0.1,-10.6,0.005
0.07,-11.4,0.003
0.07,-11.4,0.003
-0.37,-18.2,-0.019
-0.47,-19.9,-0.024
-0.65,-22.5,-0.033
-0.76,-23.7,-0.039
-0.85,-24.9,-0.043
-0.87,-22.4,-0.044
-0.85,-21.1,-0.043
-0.89,-23.2,-0.045
-0.92,-25.8,-0.047
-1,-27.9,-0.051
-1.03,-28.9,-0.053
-1.11,-29.6,-0.056
-1.14,-29.8,-0.058
-1.16,-27.2,-0.059
-0.96,-16.6,-0.049
-0.89,-13.6,-0.045
-0.76,-9.9,-0.039
-0.67,-7.6,-0.034
-0.58,-5.7,-0.029
-0.52,-4.7,-0.027
-0.47,-3.7,-0.024
-0.41,-2.6,-0.021
-0.36,-1.4,-0.018
-0.17,1.9,-0.009
0.01,4.4,0.001
0.01,4.4,0.001
0.07,5.2,0.004
0.14,6.1,0.007
0.21,7,0.011
0.3,8.1,0.015
0.36,9.1,0.019
0.46,10,0.024
0.55,10.8,0.028
0.62,11.6,0.032
0.73,12.8,0.037
0.86,14,0.044
1.54,20.3,0.078
1.65,21.2,0.084
1.54,15.6,0.078
1.17,9.1,0.06
0.84,5,0.043
0.77,4.2,0.039
0.72,3.3,0.037
0.68,2.5,0.034
0.6,1.8,0.031
0.42,0.2,0.021
0.27,-1.4,0.014
0.16,-3,0.008
-0,-4.7,-0
-0.08,-5.8,-0.004
-0.15,-7,-0.008
-0.39,-10.4,-0.02
-0.45,-12.2,-0.023
-0.54,-14,-0.027
-0.67,-16.3,-0.034
-0.74,-17.6,-0.038
-0.79,-19,-0.041
-0.83,-20,-0.042
-0.87,-20.9,-0.044
-0.96,-22.7,-0.049
-1.16,-26.3,-0.059
-1.25,-28.5,-0.064
-1.3,-29.4,-0.066
-1.33,-30.3,-0.068
-1.42,-32.1,-0.072
-1.47,-30.6,-0.075
-1.47,-28.9,-0.075
-1.47,-24.4,-0.075
-1.42,-22.4,-0.072
-1.38,-20,-0.07
-1.27,-14.8,-0.065
-1.22,-13.1,-0.062
-1.16,-11.7,-0.059
-1.03,-8.7,-0.053
-0.92,-6.6,-0.047
-0.83,-4.8,-0.042
-0.74,-3,-0.038
-0.69,-2.1,-0.035
-0.64,-1.1,-0.033
-0.59,-0.3,-0.03
-0.54,0.5,-0.027
-0.37,2,-0.019
-0.28,2.8,-0.014
-0.21,3.6,-0.011
-0.06,5.2,-0.003
0.29,8.3,0.015
0.42,9.2,0.021
0.51,10,0.026
0.58,10.7,0.03
0.71,12.4,0.036
0.97,15.7,0.049
1.02,16.3,0.052
1.15,17.9,0.059
1.3,19.6,0.066
1.55,20.9,0.079
1.65,20.2,0.084
1.65,19,0.084
1.65,17.6,0.084
1.21,7.8,0.062
0.84,3.3,0.043
0.77,2.5,0.039
0.71,1.6,0.036
0.64,0.8,0.033
0.56,0,0.028
0.49,-0.8,0.025
0.44,-1.6,0.023
0.4,-2.5,0.02
0.36,-3.4,0.019
0.27,-4.8,0.014
0.23,-5.5,0.012
0.18,-6.1,0.009
0.05,-7.9,0.003
-0.08,-9.5,-0.004
-0.21,-11.6,-0.011
-0.35,-13.6,-0.018
-0.65,-17.5,-0.033
-0.87,-21.3,-0.044
-1.03,-25,-0.053
-1.16,-27.3,-0.059
-1.22,-28.4,-0.062
-1.27,-29.6,-0.065
-1.33,-30.7,-0.068
-1.38,-31.8,-0.07
-1.45,-29.6,-0.074
