Test unit,RS5,
Reference,Rezaie et al. (2020),
top_displacement,horizontal_force,drift
[mm],[kN],[%]
NaN,-1.055,NaN
NaN,-1.099,NaN
NaN,-0.7846,NaN
NaN,-0.5193,NaN
NaN,-1.315,NaN
NaN,-1.433,NaN
NaN,-1.341,NaN
NaN,-1.456,NaN
NaN,-1.442,NaN
NaN,-1.583,NaN
NaN,-1.113,NaN
NaN,-0.9547,NaN
NaN,-0.6755,NaN
NaN,-0.4302,NaN
NaN,-0.1404,NaN
NaN,0.03073,NaN
NaN,0.1411,NaN
NaN,0.00286,NaN
NaN,-0.00573,NaN
NaN,-0.01797,NaN
NaN,0.09297,NaN
NaN,0.1143,NaN
NaN,-0.1464,NaN
NaN,-0.126,NaN
NaN,-0.0151,NaN
NaN,-0.03229,NaN
NaN,-0.04036,NaN
NaN,-0.01927,NaN
NaN,-0.00365,NaN
NaN,-0.00573,NaN
NaN,-0.04531,NaN
NaN,-0.03255,NaN
NaN,-0.00234,NaN
NaN,-0.02135,NaN
NaN,0.04766,NaN
NaN,0.02214,NaN
NaN,-0.06719,NaN
NaN,-0.1247,NaN
NaN,-0.05365,NaN
NaN,-0.03229,NaN
NaN,0.00859,NaN
NaN,-0.1023,NaN
NaN,0.0612,NaN
NaN,-0.03802,NaN
NaN,-0.02214,NaN
NaN,0.03724,NaN
NaN,-0.06146,NaN
NaN,-0.00182,NaN
NaN,0.03646,NaN
NaN,-0.01276,NaN
NaN,-0.01094,NaN
NaN,-0.00469,NaN
NaN,0.2693,NaN
NaN,-0.02344,NaN
NaN,-0.02214,NaN
NaN,-0.02682,NaN
NaN,-0.01901,NaN
NaN,0.01693,NaN
NaN,-0.0237,NaN
NaN,-0.02005,NaN
NaN,-0.02344,NaN
NaN,-0.09115,NaN
NaN,-0.05,NaN
NaN,-0.00182,NaN
NaN,-0.0349,NaN
NaN,-0.00807,NaN
NaN,-0.00469,NaN
NaN,-0.01563,NaN
NaN,0.00052,NaN
NaN,-0.01667,NaN
NaN,-0.03359,NaN
NaN,-0.00365,NaN
NaN,-0.00469,NaN
NaN,0.0099,NaN
NaN,-0.02318,NaN
NaN,-0.0013,NaN
NaN,-0.06901,NaN
NaN,0.04427,NaN
NaN,-0.07422,NaN
NaN,0.04661,NaN
NaN,-0.0487,NaN
NaN,0.03359,NaN
NaN,-0.04297,NaN
NaN,0.00521,NaN
NaN,-0.04115,NaN
NaN,-0.02057,NaN
NaN,-0.09401,NaN
NaN,-0.01901,NaN
NaN,-0.01406,NaN
NaN,-0.01693,NaN
NaN,0.01823,NaN
NaN,0.00026,NaN
NaN,-0.01719,NaN
NaN,0.03385,NaN
NaN,-0.01875,NaN
NaN,0.00234,NaN
NaN,-0.00286,NaN
NaN,-0.01354,NaN
NaN,-0.02578,NaN
NaN,-0.0401,NaN
NaN,-0.01641,NaN
NaN,-0.02188,NaN
NaN,-0.00885,NaN
NaN,-0.00729,NaN
NaN,0.1805,NaN
NaN,0.09609,NaN
NaN,-0.05469,NaN
NaN,-0.03438,NaN
NaN,-0.01927,NaN
NaN,-0.00807,NaN
NaN,-0.01484,NaN
NaN,-0.0125,NaN
NaN,-0.09583,NaN
NaN,0.03021,NaN
NaN,-0.05547,NaN
NaN,0.00026,NaN
NaN,-0.04193,NaN
NaN,0.00391,NaN
NaN,-0.05156,NaN
NaN,0.00339,NaN
NaN,-0.05313,NaN
NaN,-0.01302,NaN
NaN,-0.0026,NaN
NaN,-0.01719,NaN
NaN,-0.02786,NaN
NaN,0.05443,NaN
NaN,-0.0349,NaN
NaN,-0.05313,NaN
NaN,0.04714,NaN
NaN,-0.08516,NaN
NaN,0.0276,NaN
NaN,-0.07682,NaN
NaN,0.03542,NaN
NaN,-0.05677,NaN
NaN,0.02865,NaN
NaN,-0.06016,NaN
NaN,-0.00182,NaN
NaN,-0.05104,NaN
NaN,-0.00313,NaN
NaN,-0.00052,NaN
NaN,-0.0013,NaN
NaN,-0.01224,NaN
NaN,-0.02813,NaN
NaN,-0.03724,NaN
NaN,-0.02552,NaN
NaN,-0.00885,NaN
NaN,-0.0125,NaN
NaN,-0.01719,NaN
NaN,-0.00859,NaN
0,0,0
0.022803627,1.317,0.001425227
0.047749447,2.23,0.00298434
0.077475061,3.089,0.004842191
0.095812913,3.913,0.005988307
0.128906159,4.716,0.008056635
0.159018022,5.481,0.009938626
0.189632063,6.202,0.011852004
0.218619986,6.873,0.013663749
0.248404409,7.526,0.015525276
0.28338935,8.154,0.017711834
0.31315647,8.738,0.019572279
0.331425418,8.991,0.020714089
0.326951489,8.163,0.020434468
0.320727176,7.258,0.020045448
0.302023585,5.674,0.018876474
0.267173112,4.268,0.01669832
0.233819253,3.058,0.014613703
0.19939814,1.909,0.012462384
0.171488994,0.8878,0.010718062
0.149045373,-0.04531,0.009315336
0.122463146,-0.9518,0.007653947
0.102363975,-1.784,0.006397748
0.080063117,-2.528,0.005003945
0.057838176,-3.279,0.003614886
0.032145226,-4.046,0.002009077
-0.0013605,-4.803,-8.50313E-05
-0.039462859,-5.529,-0.002466429
-0.0616545,-6.234,-0.003853406
-0.097429324,-6.907,-0.006089333
-0.132233412,-7.57,-0.008264588
-0.163460331,-8.21,-0.010216271
-0.194786529,-8.857,-0.012174158
-0.234418645,-9.48,-0.014651165
-0.26856381,-10.08,-0.016785238
-0.297197575,-10.66,-0.018574848
-0.334035281,-11.01,-0.020877205
-0.33725298,-9.953,-0.021078311
-0.33210073,-9.952,-0.020756296
-0.333642463,-9.946,-0.020852654
-0.310974581,-9.036,-0.019435911
-0.280093327,-7.526,-0.017505833
-0.250731189,-6.202,-0.015670699
-0.215915972,-4.973,-0.013494748
-0.189538202,-3.873,-0.011846138
-0.163500026,-2.895,-0.010218752
-0.131839794,-1.942,-0.008239987
-0.101439747,-1.009,-0.006339984
-0.072300554,-0.09323,-0.004518785
-0.04261886,0.776,-0.002663679
-0.021466007,1.548,-0.001341625
0.004185869,2.204,0.000261617
0.027112044,2.955,0.001694503
0.058012941,3.707,0.003625809
0.077394869,4.46,0.004837179
0.11268828,5.226,0.007043018
0.136959226,5.986,0.008559952
0.173216221,6.759,0.010826014
0.201372974,7.525,0.012585811
0.225041272,8.262,0.014065079
0.2667505,8.984,0.016671906
0.297575157,9.64,0.018598447
0.317711929,10.2,0.019856996
0.325469784,9.229,0.020341861
0.319476961,8.432,0.01996731
0.292419838,7.092,0.01827624
0.258804289,5.912,0.016175268
0.216579084,4.792,0.013536193
0.183236786,3.76,0.011452299
0.148355391,2.773,0.009272212
0.122273523,1.878,0.007642095
0.09827682,1.067,0.006142301
0.067227454,0.2583,0.004201716
0.036946961,-0.5427,0.002309185
0.012398943,-1.328,0.000774934
-0.01156988,-2.035,-0.000723118
-0.035812477,-2.752,-0.00223828
-0.060318148,-3.563,-0.003769884
-0.090636307,-4.444,-0.005664769
-0.117768737,-5.339,-0.007360546
-0.149463999,-6.243,-0.0093415
-0.182981539,-7.135,-0.011436346
-0.207057317,-8.016,-0.012941082
-0.237619152,-8.886,-0.014851197
-0.270790685,-9.72,-0.016924418
-0.301726664,-10.53,-0.018857916
-0.328751909,-11.08,-0.020546994
-0.332688666,-10.19,-0.020793042
-0.306354799,-9.127,-0.019147175
-0.27411437,-7.635,-0.017132148
-0.244743488,-6.308,-0.015296468
-0.213432983,-5.095,-0.013339561
-0.184710311,-3.988,-0.011544394
-0.156749389,-2.956,-0.009796837
-0.124725477,-2.011,-0.007795342
-0.09257058,-1.077,-0.005785661
-0.065469872,-0.1659,-0.004091867
-0.037879784,0.6919,-0.002367486
-0.010709188,1.48,-0.000669324
0.015969199,2.136,0.000998075
0.038105783,2.86,0.002381611
0.065449193,3.618,0.004090575
0.092635758,4.386,0.005789735
0.119210538,5.146,0.007450659
0.149186853,5.908,0.009324178
0.176676371,6.678,0.011042273
0.207688756,7.467,0.012980547
0.236823571,8.235,0.014801473
0.268267107,9.022,0.016766694
0.305199685,9.779,0.01907498
0.33571833,10.47,0.020982396
0.368836729,11.11,0.023052296
0.406867475,11.69,0.025429217
0.439784079,12.26,0.027486505
0.470472301,12.8,0.029404519
0.509304024,13.34,0.031831502
0.54319322,13.85,0.033949576
0.582391159,14.37,0.036399447
0.618502345,14.87,0.038656397
0.650868278,15.34,0.040679267
0.672165121,15.55,0.04201032
0.680635119,14.67,0.042539695
0.647675204,13.4,0.0404797
0.609446629,12.19,0.038090414
0.573408769,11.16,0.035838048
0.544634743,10.24,0.034039671
0.506136376,9.372,0.031633523
0.476664602,8.536,0.029791538
0.443002256,7.721,0.027687641
0.413073183,6.909,0.025817074
0.376516299,6.096,0.023532269
0.340602935,5.27,0.021287683
0.311412486,4.459,0.01946328
0.275967836,3.686,0.01724799
