Test unit,S2
Reference,Mazzon (2010)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-0,0,-0
-0,0,-0
-0,-0,-0
-0,-0,-0
-0,-0,-0
-0,0,-0
-0,-0,-0
-0,-0,-0
-0,0,-0
0,-0,0
0,0,0
0.01,0,0
0.02,-0,0.001
0.01,-0,0.001
0,-0,0
-0,0,-0
-0,0,-0
-0.01,0,-0
-0,-0,-0
-0,-0,-0
-0,0,-0
-0,-0,-0
-0,-0,-0
-0,-0,-0
-0,-0,-0
-0,-0,-0
0,-0,0
0,-0,0
0.01,-0,0.001
0.02,-0,0.001
0.01,-0,0.001
0,-0,0
-0,-0,-0
-0,-0,-0
-0,0,-0
-0,0,-0
-0,-0,-0
-0,0,-0
-0,-0,-0
-0,0,-0
-0,-0,-0
-0,0,-0
-0,-0,-0
-0,0,-0
0,-0,0
0.02,0,0.001
0.01,-0,0.001
0.01,0,0
0,0,0
-0,0,-0
-0,0.1,-0
-0,0.1,-0
-0,0.1,-0
-0,0.1,-0
-0,0.1,-0
-0,0.1,-0
-0,0.1,-0
-0,0.1,-0
-0,0.1,-0
-0,0.1,-0
0,0.1,0
0.01,0.1,0
0.02,0.1,0.001
0.01,0.1,0.001
0,0.1,0
-0,0.1,-0
-0,0.1,-0
-0,0.1,-0
-0,0,-0
-0,-0.1,-0
-0,-0.3,-0
-0,-0.3,-0
-0,-0,-0
-0,0.4,-0
-0,0.9,-0
-0,1.8,-0
-0,3.2,-0
-0,5.7,-0
-0,9.8,-0
0.01,15.2,0
0.01,21.5,0.001
0,29.1,0
0.01,37.8,0.001
0.04,46.3,0.003
0.07,52.1,0.005
0.09,54.1,0.006
0.1,53.5,0.007
0.1,51.8,0.007
0.1,49.9,0.007
0.1,49,0.007
0.1,49.2,0.007
0.11,51.7,0.008
0.12,54.8,0.008
0.13,57.3,0.009
0.14,58.7,0.01
0.15,59.5,0.011
0.17,60,0.012
0.17,60.2,0.012
0.17,60.6,0.012
0.17,60.9,0.012
0.17,61.5,0.012
0.18,62,0.013
0.19,62.7,0.013
0.2,63.4,0.014
0.2,63.6,0.014
0.2,63.7,0.014
0.21,64.5,0.015
0.22,65.7,0.015
0.22,66.9,0.016
0.23,67.9,0.016
0.24,68.4,0.017
0.24,68.8,0.017
0.25,69.6,0.018
0.27,70.4,0.019
0.27,71,0.019
0.27,71.7,0.019
0.27,72.6,0.019
0.27,73.4,0.019
0.28,73.4,0.019
0.28,73,0.02
0.28,73.1,0.02
0.29,73.8,0.02
0.3,74,0.021
0.3,74.4,0.021
0.31,74.7,0.022
0.31,74.6,0.022
0.31,74.2,0.022
0.31,74.3,0.022
0.32,74.8,0.022
0.33,75.8,0.023
0.34,76.9,0.024
0.34,77.8,0.024
0.34,78.3,0.024
0.34,78.8,0.024
0.34,78.8,0.024
0.34,78.6,0.024
0.34,78.8,0.024
0.35,79.2,0.024
0.35,79.6,0.025
0.35,80,0.025
0.35,80.1,0.025
0.36,80.3,0.025
0.36,80,0.025
0.36,79.6,0.025
0.36,79.2,0.026
0.36,79.1,0.026
0.38,80,0.027
0.38,81.3,0.027
0.38,82.4,0.027
0.38,82.5,0.027
0.38,82.1,0.027
0.38,81.8,0.027
0.38,81.5,0.027
0.38,81.3,0.027
0.38,81.5,0.027
0.39,81.9,0.027
0.39,82.1,0.027
0.39,82.1,0.028
0.39,81.8,0.028
0.39,81.2,0.028
0.39,80.4,0.028
0.39,80,0.028
0.4,79.8,0.028
0.41,79.9,0.029
0.41,80.2,0.029
0.4,80.6,0.028
0.4,80.9,0.028
0.4,80.8,0.028
0.4,80.5,0.028
0.4,80.1,0.028
0.4,79.9,0.028
0.4,79.8,0.028
0.4,79.5,0.028
0.4,78.7,0.028
0.4,78.1,0.028
0.4,77.6,0.028
0.4,76.9,0.028
0.4,76.5,0.028
0.4,76.1,0.028
0.41,76.3,0.029
0.42,76.4,0.029
0.41,76.3,0.029
0.4,76.1,0.028
0.4,75.7,0.028
0.4,74.5,0.028
0.4,72.6,0.028
0.4,70.6,0.028
0.41,68.6,0.029
0.41,65.4,0.029
0.41,61.4,0.029
0.42,57.4,0.029
0.42,53.3,0.03
0.42,49.2,0.03
0.43,44.5,0.03
0.43,39.5,0.03
0.43,34.5,0.03
0.44,29.7,0.031
0.43,25.3,0.03
0.42,22,0.03
