Test unit,SC4,
Reference,Godio et al. (2019),
top_displacement,horizontal_force,drift
[mm],[kN],[%]
0,-0.069632,0
0.000202733,1.7728,2.25259E-05
0.0133299,5.4416,0.0014811
0.028718067,8.7792,0.003190896
0.03594442,12.5536,0.003993824
0.05453828,15.9056,0.006059809
0.069527693,19.296,0.007725299
0.08536687,22.4,0.009485208
0.0962432,26.016,0.010693689
0.114413533,29.232,0.012712615
0.13261123,32.128,0.014734581
0.147784933,35.52,0.016420548
0.1650222,38.56,0.0183358
0.1846586,40.304,0.020517622
0.1809672,39.744,0.020107467
0.189720267,39.424,0.02108003
0.186509167,39.104,0.020723241
0.1849983,38.88,0.020555367
0.184866767,38.832,0.020540752
0.1864094,38.656,0.020712156
0.2385692,46.048,0.026507689
0.2398405,46.128,0.026648944
0.239359367,46.096,0.026595485
0.2344133,45.472,0.026045922
0.232387067,43.856,0.025820785
0.2293251,42.448,0.025480567
0.224937733,40.976,0.024993081
0.2169669,39.552,0.024107433
0.2155377,38.032,0.023948633
0.212476167,36.48,0.023608463
0.204760833,34.976,0.022751204
0.1964831,33.472,0.021831456
0.193112233,31.248,0.021456915
0.1908332,29.728,0.021203689
0.1817345,28.048,0.020192722
0.178203,25.84,0.019800333
0.168846333,24.464,0.018760704
0.1638035,22.96,0.018200389
0.162761967,21.488,0.018084663
0.1547074,20.16,0.017189711
0.1501583,18.832,0.016684256
0.14471188,17.472,0.016079098
0.130816033,16.016,0.014535115
0.129589133,13.8544,0.014398793
0.1276082,12.4608,0.014178689
0.1207696,11.0688,0.013418844
0.1148488,9.7152,0.012760978
0.110563833,8.4144,0.01228487
0.1031364,7.1104,0.0114596
0.1004926,5.76,0.011165844
0.090045267,4.36,0.01000503
0.0886404,3.0848,0.009848933
0.081674943,1.22912,0.009074994
0.079060793,-0.017952,0.008784533
0.07604048,-1.22736,0.008448942
0.06851318,-2.416,0.007612576
0.06253097,-3.624,0.006947886
0.051048767,-4.848,0.005672085
0.047519663,-6.0048,0.005279963
0.047586103,-7.288,0.005287345
0.038035803,-8.6384,0.0042262
0.0289211,-9.9376,0.003213456
0.026175067,-11.8784,0.002908341
0.022396133,-13.2096,0.002488459
0.015047467,-14.4784,0.001671941
0.006371633,-15.7136,0.000707959
0.004546033,-17.008,0.000505115
-0.007087867,-18.176,-0.000787541
-0.0138672,-19.44,-0.0015408
-0.020685533,-20.704,-0.002298393
-0.027352033,-21.92,-0.003039115
-0.028750367,-23.152,-0.003194485
-0.0358417,-24.928,-0.003982411
-0.046833,-26.096,-0.005203667
-0.052818933,-27.344,-0.00586877
-0.0583193,-28.592,-0.006479922
-0.0724963,-29.776,-0.008055144
-0.081280967,-30.912,-0.009031219
-0.0862943,-32.048,-0.009588256
-0.087655633,-33.76,-0.009739515
-0.1024003,-34.848,-0.011377811
-0.106537633,-36,-0.011837515
-0.1114373,-37.056,-0.012381922
-0.117369967,-36.72,-0.013041107
-0.118350633,-36.464,-0.01315007
-0.120709967,-36.256,-0.013412219
-0.1216603,-35.92,-0.013517811
-0.1316303,-31.792,-0.014625589
-0.122547967,-31.456,-0.013616441
-0.1128553,-28.16,-0.012539478
-0.1027783,-24.016,-0.011419811
-0.085292633,-20.064,-0.009476959
-0.069232633,-15.2384,-0.007692515
-0.053663633,-11.2544,-0.005962626
-0.040678433,-7.5616,-0.004519826
-0.021153467,-3.2272,-0.002350385
-0.010814433,0.1784,-0.001201604
0.006447767,3.576,0.000716419
0.022358367,7.4288,0.002484263
0.040758167,10.5872,0.004528685
0.050994552,13.9248,0.005666061
0.0667556,17.2,0.007417289
0.081076637,21.232,0.009008515
0.0989437,24.544,0.010993744
0.112756467,27.84,0.012528496
0.131097487,31.12,0.014566387
0.143271467,35.024,0.015919052
0.1586663,38.128,0.017629589
0.1728808,40.656,0.019208978
0.1727199,40.112,0.0191911
0.1815526,39.392,0.020172511
0.174687033,37.744,0.01940967
0.1644261,34.512,0.018269567
0.155325067,30.784,0.017258341
0.137763567,26.208,0.015307063
0.1283423,22.592,0.014260256
0.108635333,18.88,0.012070593
0.094079433,14.6688,0.01045327
0.0846572,11.096,0.009406356
0.068449467,7.768,0.007605496
0.053046217,4.2032,0.005894024
0.040038233,0.41552,0.004448693
0.024668833,-2.7136,0.002740981
0.010947967,-6.4848,0.001216441
-0.007050067,-9.7488,-0.000783341
-0.016579833,-13.0352,-0.001842204
-0.034233433,-16.32,-0.003803715
-0.047663633,-20.384,-0.005295959
-0.067477633,-23.872,-0.007497515
-0.083664967,-27.312,-0.009296107
-0.099641633,-31.472,-0.011071293
