Test unit,T1-2
Reference,Faella et al. (1992)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-0.09,0.3,-0.007
-0.04,3.1,-0.003
0.01,6.6,0.001
0.06,9.7,0.005
0.12,12.5,0.009
0.16,16.6,0.013
0.21,18.8,0.017
0.26,21.3,0.021
0.3,22.9,0.024
0.35,25,0.028
0.39,26.6,0.031
0.42,28.2,0.033
0.45,29.4,0.036
0.48,31,0.039
0.51,31.6,0.041
0.52,32.6,0.042
0.55,32.9,0.044
0.56,32.2,0.045
0.56,31,0.045
0.56,32.9,0.045
0.56,20,0.045
0.51,16.6,0.041
0.49,15.3,0.039
0.46,13.1,0.037
0.44,11.6,0.035
0.41,9.4,0.033
0.36,7.2,0.029
0.32,4.7,0.026
0.28,2.5,0.022
0.24,0,0.019
0.19,-2.2,0.015
0.14,-5.3,0.011
0.1,-7.5,0.008
0.04,-10,0.003
0,-12.2,0
0,-11,0
-0.06,-16,-0.005
-0.11,-18.5,-0.009
-0.15,-21.6,-0.012
-0.2,-24.1,-0.016
-0.25,-26.6,-0.02
-0.3,-29.7,-0.024
-0.34,-29.7,-0.027
-0.37,-33.5,-0.03
-0.42,-35.4,-0.033
-0.45,-36.3,-0.036
-0.47,-37.9,-0.038
-0.5,-39.8,-0.04
-0.51,-40.4,-0.041
-0.54,-41.3,-0.043
-0.54,-41.6,-0.043
-0.55,-40.1,-0.044
-0.55,-35.4,-0.044
-0.52,-30.4,-0.042
-0.52,-31.9,-0.042
-0.5,-28.5,-0.04
-0.48,-27.2,-0.039
-0.45,-25.7,-0.036
-0.43,-23.8,-0.034
-0.4,-21.6,-0.032
-0.35,-19.1,-0.028
-0.32,-16.9,-0.026
-0.27,-14.1,-0.021
-0.25,-12.2,-0.02
-0.19,-9.1,-0.015
-0.13,-5,-0.01
-0.07,-2.2,-0.006
-0.02,0.3,-0.002
0.02,3.4,0.002
0.07,6.6,0.006
0.14,9.7,0.011
0.17,12.2,0.014
0.22,14.4,0.018
0.28,17.2,0.022
0.32,19.7,0.026
0.35,21.6,0.028
0.4,24.1,0.032
0.44,25.7,0.035
0.46,28.2,0.037
0.49,29.4,0.039
0.51,30.7,0.041
0.54,31.3,0.043
0.55,31.9,0.044
0.56,32.9,0.045
0.56,32.6,0.045
0.57,31.6,0.045
0.57,25.7,0.045
0.54,17.2,0.043
0.51,16.3,0.041
0.49,14.7,0.039
0.46,13.1,0.037
0.44,11.3,0.035
0.41,9.1,0.033
0.36,6.9,0.029
0.32,4.4,0.026
0.28,2.2,0.022
0.22,-0.3,0.018
0.18,-2.8,0.015
0.14,-5.3,0.011
0.09,-7.8,0.007
0.04,-10.3,0.003
0,-11.6,0
0,-9.7,0
-0.02,-13.1,-0.002
-0.09,-16.9,-0.007
-0.14,-20.3,-0.011
-0.19,-22.9,-0.015
-0.24,-25.7,-0.019
-0.29,-28.8,-0.023
-0.33,-30.1,-0.027
-0.36,-32.2,-0.029
-0.41,-34.1,-0.033
-0.44,-36,-0.035
-0.47,-38.2,-0.038
-0.49,-39.1,-0.039
-0.51,-40.4,-0.041
-0.52,-41,-0.042
-0.55,-36.9,-0.044
-0.55,-31.9,-0.044
-0.54,-34.4,-0.043
-0.54,-38.8,-0.043
-0.55,-39.8,-0.044
-0.54,-33.5,-0.043
-0.5,-30.4,-0.04
-0.48,-27.5,-0.039
-0.46,-26,-0.037
-0.43,-24.4,-0.034
-0.4,-22.5,-0.032
-0.35,-20,-0.028
-0.33,-17.5,-0.027
-0.28,-15.3,-0.022
-0.25,-13.1,-0.02
-0.2,-10.3,-0.016
-0.13,-6.3,-0.01
-0.09,-3.8,-0.007
-0.03,-0.9,-0.003
0.01,1.9,0.001
0.06,5,0.005
0.12,8.1,0.009
0.16,10.3,0.013
0.21,13.1,0.017
0.27,15.7,0.021
0.31,18.2,0.025
0.35,20.3,0.028
0.39,22.5,0.031
0.43,24.4,0.034
0.46,26.6,0.037
0.49,28.5,0.039
0.51,29.7,0.041
0.54,30.7,0.043
0.55,31.3,0.044
0.56,31.9,0.045
0.56,31.9,0.045
0.57,31,0.045
0.57,24.1,0.045
0.54,17.2,0.043
0.51,16.6,0.041
0.5,15,0.04
0.47,13.1,0.038
0.45,11.6,0.036
0.41,9.4,0.033
0.37,7.2,0.03
0.34,5,0.027
0.34,5,0.027
