Test unit,WI1.100
Reference,Vasconcelos and Lourenço (2009)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-1.03,-20.6,-0.078
-1.03,-19.3,-0.078
-0.94,-15.1,-0.071
-0.7,-12.3,-0.053
-0.53,-8.2,-0.04
-0.37,-4.8,-0.028
-0.1,-1.8,-0.007
0.04,0,0.003
-0.02,0.8,-0.001
0.21,3.6,0.016
0.29,5.1,0.022
0.37,6.7,0.028
0.54,8.3,0.041
0.7,10.6,0.053
0.95,14.9,0.072
1.09,16,0.082
1.21,17.5,0.091
1.45,20.4,0.109
1.62,22.8,0.122
1.83,23.6,0.138
1.61,19,0.122
1.36,16.6,0.103
1.2,14,0.09
0.95,11.3,0.072
0.77,6.8,0.058
0.55,4,0.041
0.43,1.8,0.032
0.29,-1.3,0.022
0.11,-2.8,0.008
-0.05,-5.5,-0.004
-0.35,-10.1,-0.026
-0.54,-12,-0.041
-0.62,-14.5,-0.047
-0.78,-16.4,-0.059
-0.95,-18.7,-0.072
-0.95,-20.1,-0.072
NaN,NaN,NaN
-1.94,-28,-0.146
-1.88,-26.2,-0.142
-1.66,-23.7,-0.125
-1.2,-19.2,-0.09
-1,-14.5,-0.075
-0.78,-11.3,-0.059
-0.62,-9.1,-0.047
-0.34,-4.5,-0.026
-0.21,-1.8,-0.016
-0.04,0.3,-0.003
0.05,2.2,0.004
0.25,5.2,0.019
0.45,7.1,0.034
0.78,12.8,0.059
1.09,16.3,0.082
1.34,19.1,0.101
1.69,23.4,0.128
1.95,25.4,0.147
2.27,27.7,0.171
2.43,29.2,0.183
2.8,30.9,0.211
2.78,29.2,0.21
2.52,26.2,0.19
2.08,22.5,0.157
1.75,19.1,0.132
1.61,16.1,0.122
1.36,12.8,0.103
1.2,10.7,0.09
0.95,8.6,0.072
0.89,6.7,0.068
0.58,1.5,0.044
0.52,1.2,0.039
0.34,-0.9,0.026
0.15,-2.5,0.011
0.07,-4.5,0.005
-0.12,-6.6,-0.009
-0.29,-9.2,-0.022
-0.37,-12.8,-0.028
-0.68,-15.7,-0.051
-0.95,-17.8,-0.072
-1.11,-20.7,-0.084
-1.45,-24.5,-0.109
-1.79,-26.3,-0.135
-1.86,-27.1,-0.14
NaN,NaN,NaN
-3.01,-31.1,-0.228
-2.79,-28.9,-0.211
-2.31,-25.3,-0.175
-1.92,-22.9,-0.145
-1.45,-19,-0.109
-1.28,-16.6,-0.097
-1.15,-13.7,-0.087
-0.78,-8.5,-0.059
-0.62,-6.2,-0.047
-0.37,-2.7,-0.028
-0.21,0.5,-0.016
-0.04,2,-0.003
0.29,5.7,0.022
0.41,8,0.031
0.95,14.3,0.072
1.43,19.9,0.108
1.61,22.4,0.122
1.86,24.5,0.14
2.14,26.6,0.161
2.37,28.2,0.179
2.77,30.4,0.209
3.13,32.1,0.236
3.68,33.4,0.277
3.88,32.3,0.293
3.24,29,0.244
2.95,26.7,0.222
2.65,24.1,0.2
2.02,18.9,0.153
1.88,16.7,0.142
1.57,12.8,0.118
1.2,9.1,0.09
0.9,5,0.068
0.54,1.8,0.041
0.54,-0.1,0.041
NaN,NaN,NaN
-5.57,-30.8,-0.421
-5.41,-32.3,-0.408
-4.75,-30.5,-0.358
-4.35,-28.4,-0.328
-3.92,-26.5,-0.296
-3.27,-25,-0.247
-2.77,-22.7,-0.209
-2.35,-20.2,-0.178
-1.94,-17.8,-0.146
-1.61,-14.5,-0.122
-1.41,-12,-0.106
-1.16,-9.1,-0.088
-0.95,-6.7,-0.072
-0.72,-4.1,-0.054
-0.56,-1.7,-0.043
-0.02,3.9,-0.002
0.18,6.6,0.014
0.41,9.4,0.031
0.9,14.3,0.068
1.07,16.6,0.081
1.45,20.1,0.109
1.78,23.3,0.134
2.25,26.3,0.169
2.65,28.8,0.2
3.01,30.8,0.228
3.51,32.6,0.265
4.16,33.3,0.314
4.99,34.3,0.377
5.77,34.2,0.435
6.4,34.6,0.483
6.48,34.3,0.489
6.12,32.2,0.462
5.57,30,0.421
5.05,28.8,0.381
5,27,0.377
4.24,25.3,0.32
3.84,23.3,0.29
3.26,19,0.246
2.94,16.8,0.222
2.68,13.7,0.203
2.28,11.4,0.172
1.86,7.3,0.14
1.69,4.5,0.128
1.39,2.1,0.105
1.12,-0.2,0.085
1.03,-1.8,0.078
0.78,-4.2,0.059
