Test unit,WS3.250
Reference,Vasconcelos and Lourenço (2009)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-1.36,-29.1,-0.103
-1.33,-26.2,-0.101
-0.94,-15.1,-0.071
-0.6,-8.2,-0.045
-0.18,1.7,-0.014
0.37,11.4,0.028
0.81,19,0.061
1.36,26,0.103
1.69,30.7,0.128
1.34,22.9,0.101
0.99,13.5,0.075
0.53,7.6,0.04
0.36,1.8,0.027
0.21,-1.9,0.016
-0.54,-17.6,-0.04
-0.98,-23.9,-0.074
-1.13,-23.2,-0.085
-1.61,-16.4,-0.121
NaN,NaN,NaN
-3.01,-53.9,-0.227
-2.87,-47.6,-0.217
-2.05,-32.5,-0.155
-0.95,-13.7,-0.072
-0.46,-3.8,-0.034
0.17,8,0.013
1.13,23.9,0.085
1.87,34.3,0.141
2.37,41.3,0.179
3.5,53.9,0.264
4,56.7,0.302
3.47,49.6,0.262
2.58,34.4,0.195
2.01,23.6,0.151
0.82,3.5,0.062
0.54,-1.3,0.04
-0.3,-14.4,-0.023
-0.68,-22,-0.051
-1.87,-39.7,-0.141
-2.43,-47.7,-0.184
-3.01,-54.7,-0.227
NaN,NaN,NaN
-5.15,-69.5,-0.389
-4.41,-60.1,-0.333
-3.31,-45,-0.25
-2.7,-35.5,-0.204
-1.73,-19.4,-0.13
-0.84,-3.3,-0.064
-0.54,3.1,-0.04
0.08,11.9,0.006
1.03,27.8,0.078
1.87,37,0.141
2.88,50.5,0.217
3.83,59.4,0.289
5.4,69.3,0.408
6.25,72.4,0.472
4.33,51.9,0.327
2.78,31.1,0.21
2.34,24.3,0.177
1.11,3.4,0.084
0.54,-5.4,0.04
-0.09,-17.9,-0.007
-1.47,-38.8,-0.111
-2.69,-51.2,-0.203
-3.22,-59.2,-0.243
-4.38,-68.8,-0.33
-4.99,-72.1,-0.377
NaN,NaN,NaN
-7.38,-77.7,-0.557
-6.24,-73,-0.471
-5.43,-65.4,-0.41
-3.65,-44.1,-0.275
-2.52,-26.6,-0.19
-1.34,-8.1,-0.101
-0.13,11.7,-0.01
0.29,18.1,0.022
0.98,28.2,0.074
2.15,43.6,0.162
3.3,57.6,0.249
4.49,68.3,0.339
5.29,73.3,0.399
6.81,77.8,0.514
8.62,79,0.651
7.34,75.1,0.554
5.4,64.8,0.408
4.67,54.7,0.353
3.39,38.8,0.255
2.85,30.4,0.215
1.79,13.9,0.135
1.04,2.9,0.078
0.54,-1.5,0.041
0.42,-6.7,0.032
-0.23,-16.4,-0.017
-1.44,-37.2,-0.109
-2.42,-50.5,-0.183
-3.28,-59,-0.247
-4.24,-68.9,-0.32
-5.3,-75.7,-0.4
-7.3,-80.2,-0.551
-7.3,-79.8,-0.551
-7.3,-79.6,-0.551
NaN,NaN,NaN
-9.69,-83.2,-0.731
-8.37,-79.3,-0.632
-6.64,-75.9,-0.501
-5.2,-67,-0.393
-3.38,-45.7,-0.255
-2.65,-34.1,-0.2
-1.88,-22.3,-0.142
-0.95,-6.8,-0.072
0.29,13,0.022
0.99,24.1,0.075
2.42,44.1,0.183
3.46,55.9,0.261
4.38,65.9,0.331
4.95,70.7,0.373
6.8,77.4,0.514
8.78,79.7,0.663
10.76,81.2,0.812
9.94,78.9,0.75
8.12,75.9,0.613
6.64,72.7,0.501
5.4,62.6,0.408
4.23,49,0.319
3.04,31.5,0.23
2.27,20.8,0.172
0.95,-1.8,0.072
0.35,-10.6,0.027
-0.78,-30,-0.059
-2.32,-50.9,-0.175
-3.52,-62.8,-0.266
-4.2,-68.9,-0.317
-5.48,-77.7,-0.414
-7.13,-80.6,-0.538
-8.96,-82.6,-0.676
-9.69,-83.2,-0.731
-9.69,-83.2,-0.731
NaN,NaN,NaN
-12.08,-86,-0.912
-10.19,-81.4,-0.769
-8.18,-78.7,-0.617
-6.75,-74.8,-0.51
-5.52,-64.6,-0.417
-4.67,-54.5,-0.353
-3.63,-41.9,-0.274
-2.55,-25.3,-0.192
-1.28,-6.2,-0.096
-0.12,13.4,-0.009
1,29.3,0.075
4.12,68.6,0.311
4.97,74.5,0.375
6.31,78.9,0.476
8.59,81.5,0.648
10.27,82.3,0.775
12.49,83.5,0.943
12.25,81.6,0.925
10.03,79.2,0.757
7.82,76.8,0.59
6.27,68.5,0.473
4.73,50.5,0.357
2.68,21.1,0.202
