Test unit,WS3.100
Reference,Vasconcelos and Lourenço (2009)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-1.59,-17.3,-0.12
-1.59,-16.1,-0.12
-1.42,-14.1,-0.108
-1.17,-10.7,-0.089
-0.92,-8.4,-0.07
-0.84,-5.7,-0.063
-0.67,-3.3,-0.051
-0.42,-0.9,-0.032
-0.25,0.3,-0.019
-0.17,1.7,-0.013
-0.08,3.3,-0.006
0.08,5.4,0.006
0.25,6.8,0.019
0.34,8.4,0.025
0.5,10.2,0.038
0.75,11,0.057
0.92,13.8,0.07
1.01,15.8,0.076
1.26,18.6,0.095
1.51,20.6,0.114
1.68,22.1,0.126
1.84,23.2,0.139
2.01,24.8,0.152
2.18,26,0.164
2.35,26.9,0.177
2.18,24.9,0.164
1.93,22.6,0.145
1.68,19.3,0.126
1.51,17.3,0.114
1.42,15.2,0.108
1.17,12.2,0.089
0.92,10.2,0.07
0.75,7.7,0.057
0.5,6.3,0.038
0.34,3.9,0.025
0.17,2.3,0.013
0.08,0.9,0.006
-0,-0,-0
-0,-0.6,-0
-0.17,-0.9,-0.013
-0.25,-3.1,-0.019
-0.42,-4.8,-0.032
-0.67,-6.3,-0.051
-0.75,-8.7,-0.057
-0.92,-10.2,-0.07
-1.09,-11.9,-0.082
-1.34,-13.8,-0.101
-1.59,-16.4,-0.12
NaN,NaN,NaN
-3.69,-32,-0.278
-3.42,-30,-0.258
-2.97,-24.7,-0.224
-2.05,-14.6,-0.155
-1.42,-8.8,-0.107
-0.92,-2,-0.07
-0.61,1,-0.046
-0.17,4,-0.013
0.17,9.1,0.013
0.92,15.5,0.07
1.3,20.7,0.098
1.97,26.3,0.149
2.43,28.3,0.184
3.26,30,0.246
4.33,30.6,0.327
4.47,29.8,0.337
3.53,28.3,0.267
2.55,25.6,0.192
1.59,17.5,0.12
0.97,10.9,0.073
0.55,6.6,0.041
0.05,1.6,0.003
-0.17,-0.4,-0.013
-0.6,-5.2,-0.045
-1.01,-11,-0.076
-1.77,-17.5,-0.133
-2.5,-25.2,-0.189
-3.02,-29.6,-0.228
-3.6,-31.6,-0.272
-3.77,-31.6,-0.285
NaN,NaN,NaN
-6.2,-35.1,-0.468
-5.53,-32,-0.417
-4.44,-31.1,-0.335
-3.56,-28.7,-0.269
-3.05,-23.7,-0.23
-2.6,-19.4,-0.196
-1.8,-10.2,-0.136
-1.01,-2.8,-0.076
-0.59,2.1,-0.044
0.01,8.2,0.001
0.58,14.3,0.043
1.35,21.1,0.102
2.06,27.1,0.155
2.68,29.6,0.202
3.59,30.8,0.271
4.68,31.6,0.354
5.52,32.3,0.416
6.58,33,0.497
6.96,32.2,0.525
5.99,30.6,0.452
5.03,29.3,0.379
3.89,28.5,0.294
2.83,24.3,0.214
1.59,14,0.12
1.12,9,0.085
0.65,4,0.049
0.21,-0.6,0.016
-0.46,-7.4,-0.035
-0.95,-13.1,-0.072
-1.39,-16.6,-0.105
-1.92,-22,-0.145
-2.58,-28.1,-0.195
-3.13,-30.9,-0.236
-4.44,-33.4,-0.335
-5.54,-34,-0.418
-6.2,-34.7,-0.468
NaN,NaN,NaN
-8.8,-36.1,-0.664
-8.05,-34.3,-0.608
-6.92,-33,-0.522
-5.8,-31.6,-0.438
-4.78,-29.9,-0.361
-4,-25.1,-0.302
-3.55,-20.9,-0.268
-2.77,-14.1,-0.209
-1.95,-5.4,-0.147
-1.42,-0.3,-0.108
-1.07,2.3,-0.081
-0.5,8.4,-0.038
-0.11,13.2,-0.008
0.43,18,0.033
1.26,25.1,0.095
1.93,30.5,0.145
3.18,31.6,0.24
4.44,32.8,0.335
5.53,33.4,0.417
6.79,34.5,0.512
8.05,35.1,0.608
9.29,35.8,0.701
8.8,34.4,0.664
7.63,33.1,0.576
6.37,31.6,0.481
5.32,31,0.402
4.2,29.9,0.317
2.95,29.1,0.223
1.94,26.1,0.146
0.5,13.8,0.038
-0.3,4.2,-0.022
-0.92,-2.2,-0.07
-1.36,-5.7,-0.102
-2.22,-15.8,-0.168
-3.14,-23.7,-0.237
-4.36,-31.7,-0.329
-5.28,-33.4,-0.398
-6.34,-34.3,-0.478
-7.4,-35,-0.558
-8.39,-35.9,-0.634
-8.8,-36.1,-0.664
-8.8,-36.1,-0.664
NaN,NaN,NaN
-11.4,-37.9,-0.86
