Test unit,WI2.100
Reference,Vasconcelos and Lourenço (2009)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-0.67,-11.6,-0.051
-0.55,-8.5,-0.041
-0.24,-3.8,-0.018
0,-1,0
0.01,0.7,0.001
0.14,1.9,0.011
0.34,4.2,0.025
0.44,5.3,0.033
0.4,6.5,0.03
0.4,7.5,0.03
0.72,9.7,0.054
0.89,10.9,0.067
0.92,12.2,0.07
0.92,12,0.07
0.85,8.7,0.064
0.46,4.4,0.035
0.34,2.5,0.025
0.25,0,0.019
0.14,-0.6,0.01
0.17,-1.5,0.013
-0.17,-4.6,-0.013
-0.17,-7.7,-0.013
-0.25,-6.7,-0.019
-0.36,-8.2,-0.027
-0.46,-9.9,-0.035
-0.5,-10.5,-0.038
NaN,NaN,NaN
-1.59,-22.1,-0.12
-1.39,-18.7,-0.105
-1.25,-15.4,-0.094
-0.75,-10.5,-0.057
-0.5,-6.7,-0.038
-0.25,-3.2,-0.019
-0.17,-1.1,-0.013
0,0.5,0
0.08,2.1,0.006
0.25,3.5,0.019
0.52,7.8,0.039
0.77,11.1,0.058
1.13,14.2,0.085
1.26,16.7,0.095
1.66,19.8,0.125
1.84,22.1,0.139
2.11,23,0.159
2.01,21.2,0.152
1.51,14.9,0.114
1.17,9.9,0.089
0.92,6.5,0.07
0.74,4.4,0.056
0.5,1.7,0.038
0.34,-0.2,0.025
0.08,-2.5,0.006
-0.04,-5,-0.003
-0.42,-10.1,-0.032
-0.67,-11.9,-0.051
-0.92,-15,-0.07
-1.12,-17.7,-0.085
-1.37,-20.2,-0.103
-1.42,-21.2,-0.108
NaN,NaN,NaN
-2.51,-30,-0.19
-2.42,-28.8,-0.182
-1.98,-24,-0.15
-1.56,-17.1,-0.118
-1.21,-13.1,-0.092
-0.99,-10.6,-0.075
-0.75,-7.1,-0.057
-0.34,-2.7,-0.026
-0.1,0.2,-0.008
0.08,3.2,0.006
0.3,5.1,0.023
0.77,10.5,0.058
1.17,14.2,0.089
1.59,19,0.12
1.93,21.9,0.145
2.21,24,0.167
2.85,26.9,0.215
3.2,28.6,0.242
3.35,28,0.253
3.07,25.9,0.232
2.64,23.1,0.199
2.26,20.3,0.171
2.07,18.8,0.156
1.68,15.4,0.126
1.26,9.9,0.095
1.07,6.9,0.081
0.73,3.3,0.055
0.47,0.2,0.036
0.25,-1.8,0.019
-0.01,-5.2,-0
-0.48,-10.3,-0.037
-0.69,-12.6,-0.052
-0.95,-16.2,-0.072
-1.14,-18.2,-0.086
-1.59,-22.1,-0.12
-1.75,-24,-0.132
-2.09,-27.2,-0.158
-2.35,-28.9,-0.177
NaN,NaN,NaN
-3.52,-35.6,-0.266
-3.35,-33.4,-0.253
-2.91,-29.4,-0.22
-2.44,-25,-0.184
-2.15,-21.9,-0.163
-1.59,-15.1,-0.12
-1.28,-12,-0.097
-0.99,-9.5,-0.075
-0.75,-6.5,-0.057
-0.42,-0.9,-0.032
-0.09,1.5,-0.007
0.17,4.5,0.013
0.37,6.8,0.028
1.01,13.7,0.076
1.23,15.6,0.093
1.42,17.5,0.107
1.84,21.2,0.139
2.5,25,0.189
2.93,27.4,0.221
3.56,29.4,0.269
4.11,31.4,0.31
4.41,32.4,0.333
4.53,31.1,0.342
4.06,28.6,0.306
3.65,26.3,0.276
3.18,24.5,0.24
2.84,22.2,0.214
2.49,19.9,0.188
2.08,17.2,0.157
1.73,12.7,0.13
1.39,9.2,0.105
0.92,4.7,0.07
0.71,2.2,0.054
0.5,-0.6,0.038
0.25,-2.9,0.019
-0.17,-6.8,-0.013
-0.47,-10.5,-0.035
-0.92,-14.4,-0.07
-1.34,-19.2,-0.101
-1.59,-21.7,-0.12
-1.93,-25.1,-0.145
-2.25,-27.3,-0.17
-2.6,-29.9,-0.196
-2.92,-32.1,-0.221
-3.3,-34.3,-0.249
-3.4,-35.2,-0.257
-3.44,-34.7,-0.259
NaN,NaN,NaN
-5.78,-37.3,-0.436
-5.53,-34.8,-0.417
-5.02,-34.8,-0.379
-4.7,-34.5,-0.355
-4.11,-33.1,-0.31
-3.57,-30.7,-0.27
-3.25,-28.5,-0.245
-2.85,-25.1,-0.215
-2.39,-21.1,-0.18
-2.15,-17.5,-0.162
-1.81,-13.9,-0.137
-1.42,-11.6,-0.108
-1.17,-8,-0.089
