Test unit,WR3.250
Reference,Vasconcelos and Lourenço (2009)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-0.46,-12.2,-0.035
-0.29,-4.8,-0.022
-0.13,-0.1,-0.009
0.04,2.1,0.003
0.29,5.4,0.022
0.38,9.2,0.028
0.52,11.2,0.039
0.81,15.7,0.061
1.13,19,0.085
0.97,13.6,0.073
1.03,10.4,0.078
0.69,7.8,0.052
0.29,0,0.022
0.18,-2.7,0.014
0.04,-6.3,0.003
-0.21,-9.2,-0.016
-0.24,-12.2,-0.018
-0.38,-13.3,-0.028
NaN,NaN,NaN
-1.38,-27.5,-0.104
-1.3,-22.1,-0.098
-0.95,-14.2,-0.071
-0.71,-10.7,-0.053
-0.46,-6.3,-0.035
-0.46,-9.2,-0.035
-0.29,-2.2,-0.022
-0.21,-0.5,-0.016
-0.21,-3.8,-0.016
0.04,3,0.003
0.73,15.7,0.055
0.8,18.9,0.06
1.07,21,0.081
1.47,24.7,0.111
2.05,30.8,0.155
2.1,32.4,0.159
2.39,33,0.18
2.12,26.8,0.16
1.46,15.2,0.11
0.96,6.7,0.073
0.9,4.5,0.068
0.74,3,0.056
0.6,-0.3,0.045
0.41,-2.5,0.031
0.14,-7,0.011
-0.13,-12.1,-0.009
-0.38,-16.7,-0.028
-0.63,-20.4,-0.047
-1.05,-26.2,-0.079
-1.21,-28.9,-0.092
NaN,NaN,NaN
-2.39,-40.7,-0.18
-2.27,-37.3,-0.171
-1.98,-30.2,-0.149
-1.21,-16.6,-0.092
-1.1,-13.1,-0.083
-0.44,-4.2,-0.033
-0.29,-0.5,-0.022
-0.24,-1,-0.018
-0.08,2.6,-0.006
0.29,8.3,0.022
0.82,16.5,0.062
1.38,23.6,0.104
1.54,25.8,0.116
1.8,29.6,0.136
1.92,29.1,0.145
2.37,36.3,0.179
2.64,39.3,0.199
3.06,42.7,0.231
3.35,41.7,0.253
3.25,37.4,0.245
3.07,34.4,0.232
2.71,29.2,0.205
2.07,19.4,0.156
1.66,12.7,0.125
1.21,6.2,0.092
1,3.2,0.076
0.94,0.7,0.071
0.56,-3.6,0.042
0.38,-7.2,0.028
-0.21,-14.6,-0.016
-0.63,-17.9,-0.047
-0.59,-20.9,-0.044
-0.91,-25,-0.068
-1.38,-32,-0.104
-1.88,-37.3,-0.142
-2.22,-42.1,-0.167
-2.3,-42.7,-0.174
-2.4,-42.9,-0.181
-2.56,-44.8,-0.193
-2.72,-45.4,-0.205
-2.73,-46.3,-0.206
-2.89,-47,-0.218
-2.89,-47.9,-0.218
-3.06,-48.7,-0.231
-3.14,-49.9,-0.237
-3.31,-49.9,-0.25
-3.31,-51.1,-0.25
NaN,NaN,NaN
-3.48,-50.7,-0.262
-3.33,-47.6,-0.251
-2.97,-43.1,-0.224
-2.35,-31.9,-0.177
-1.83,-24.9,-0.138
-1.13,-12.8,-0.085
-0.63,-5.6,-0.047
-0.21,-1,-0.016
-0.13,2.8,-0.009
0.34,9.7,0.025
1.09,18.8,0.083
1.77,27.5,0.133
2.29,33.6,0.173
2.89,41.1,0.218
3.18,44.4,0.24
3.73,47.5,0.281
4.15,50.7,0.313
4.56,47.7,0.344
4.15,41.6,0.313
3.39,31.6,0.256
2.72,23.9,0.205
2.34,18.4,0.177
1.97,13.8,0.149
1.4,5.4,0.106
1.05,1.1,0.079
0.8,-1.5,0.06
0.08,-11.8,0.006
-0.54,-21.2,-0.041
-0.81,-24.3,-0.061
-1.29,-31.2,-0.097
-1.53,-33.8,-0.116
-2.19,-41.3,-0.165
-2.97,-48.3,-0.224
-3.31,-51.4,-0.25
NaN,NaN,NaN
-5.65,-63.8,-0.427
-5.48,-60.6,-0.414
-5.23,-55.8,-0.395
-4.82,-52.7,-0.363
-4.15,-45.4,-0.313
-3.87,-41,-0.292
-3.31,-33.3,-0.25
-2.79,-27.8,-0.21
-2.2,-19.8,-0.166
-1.73,-12.9,-0.131
-0.8,-1.3,-0.06
-0.45,1.4,-0.034
0.06,8.6,0.004
0.85,18.5,0.064
1.38,23.8,0.104
2.05,32.5,0.155
2.49,38.5,0.188
3.22,46,0.243
3.91,49.8,0.295
4.42,53.2,0.333
5.06,56.2,0.382
5.74,57,0.433
6.53,60.4,0.493
6.76,58.1,0.51
6.15,50.8,0.464
5.82,46.8,0.439
5.32,42.9,0.401
