Test unit,C1
Reference,Silva et al. (2014)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
0,0,0
0.06,12.3,0.005
0.16,23,0.012
0.2,34.2,0.015
0.33,41,0.024
0.34,41.2,0.025
0.35,34.3,0.026
0.3,22.2,0.022
0.25,8.7,0.018
0.12,-4.1,0.009
0.03,-21.9,0.002
-0.05,-33.2,-0.004
-0.15,-40.2,-0.011
-0.14,-38,-0.01
-0.19,-44.7,-0.014
-0.32,-51.2,-0.023
-0.33,-42.4,-0.025
-0.29,-31.4,-0.021
-0.23,-21.4,-0.017
-0.17,-14.6,-0.013
-0.13,-7.2,-0.009
-0.06,1.1,-0.004
0,13.6,0
0.08,25,0.006
0.14,34.1,0.01
0.2,43.3,0.015
0.27,49.3,0.02
0.31,51,0.023
0.31,50.7,0.023
0.32,42.5,0.024
0.29,34.3,0.021
0.23,24.2,0.017
0.18,17.1,0.013
0.12,7.1,0.009
0.06,-2.8,0.004
-0.01,-15.2,-0.001
-0.07,-25.3,-0.005
-0.14,-35.5,-0.01
-0.24,-46.4,-0.018
-0.31,-53,-0.023
-0.33,-44.2,-0.024
-0.26,-33.5,-0.019
-0.19,-21.6,-0.014
-0.11,-11.6,-0.008
-0.05,-0.7,-0.004
-0.02,10.6,-0.001
0.08,22.2,0.006
0.17,33.6,0.012
0.22,41.4,0.016
0.33,51.1,0.024
0.35,50.7,0.026
0.32,40.3,0.023
0.26,28.3,0.019
0.17,16.4,0.013
0.09,4.3,0.007
0.04,-5.8,0.003
-0.06,-17.9,-0.005
-0.11,-28.4,-0.008
-0.16,-38.8,-0.012
-0.3,-50.5,-0.022
-0.33,-53.6,-0.025
-0.35,-53.6,-0.026
-0.32,-42.9,-0.024
-0.24,-32,-0.018
-0.18,-21.2,-0.013
-0.11,-10.6,-0.008
-0.04,0.7,-0.003
0.01,10.9,0
0.09,22.8,0.006
0.25,41.7,0.018
0.35,53.8,0.026
0.52,65.3,0.038
0.66,73.4,0.049
0.68,73.4,0.05
NaN,NaN,NaN
0.68,72.2,0.05
0.69,69.4,0.051
0.67,62.2,0.05
0.55,44,0.04
0.44,26.6,0.033
0.24,3.4,0.018
0.1,-17,0.008
-0.04,-30.9,-0.003
-0.19,-48.5,-0.014
-0.3,-63.4,-0.022
-0.54,-76.9,-0.04
-0.65,-69.3,-0.048
-0.55,-52.4,-0.041
-0.4,-34.2,-0.029
-0.3,-15.2,-0.022
-0.14,2.5,-0.01
-0.01,18.6,-0.001
0.11,31.1,0.008
0.28,47.2,0.021
0.43,61.8,0.032
0.61,72.6,0.045
0.67,75.6,0.049
0.66,72.1,0.049
0.59,56.5,0.044
0.46,40,0.034
0.33,23.3,0.024
0.17,5.7,0.013
0.05,-9.8,0.004
-0.09,-27.3,-0.006
-0.25,-43.7,-0.018
-0.34,-55.4,-0.025
-0.43,-62.2,-0.032
-0.5,-67.2,-0.037
-0.52,-71.2,-0.038
-0.57,-74.6,-0.042
-0.59,-77,-0.044
-0.57,-78.2,-0.043
-0.63,-78.8,-0.047
-0.57,-79.1,-0.042
-0.65,-77.8,-0.048
-0.6,-78.6,-0.044
-0.66,-79.7,-0.049
-0.65,-78.1,-0.048
-0.66,-74.1,-0.049
-0.59,-72,-0.043
-0.65,-71.8,-0.048
-0.62,-71.9,-0.046
-0.68,-71.9,-0.05
-0.6,-70,-0.045
-0.66,-69.6,-0.049
-0.6,-69.6,-0.044
-0.6,-69.6,-0.045
-0.65,-68.3,-0.048
-0.6,-66.4,-0.045
-0.64,-66,-0.047
-0.55,-65.8,-0.041
-0.62,-65.7,-0.046
-0.58,-64.9,-0.043
-0.63,-64.7,-0.047
-0.58,-64.9,-0.043
-0.6,-58.2,-0.044
-0.51,-50.4,-0.038
-0.44,-39.3,-0.033
-0.4,-33.5,-0.03
-0.33,-26.3,-0.024
-0.33,-20.9,-0.024
-0.27,-17.6,-0.02
-0.25,-10.8,-0.019
-0.2,-7.5,-0.015
-0.16,-5,-0.012
-0.13,-1.8,-0.01
-0.05,0.9,-0.004
-0.07,9.4,-0.005
0.06,18.7,0.004
0.11,23.4,0.008
0.09,26.7,0.007
0.11,28.5,0.008
0.13,32.9,0.01
0.1,35.1,0.008
0.29,41.8,0.021
0.23,43.3,0.017
0.32,48.3,0.023
0.3,51.5,0.022
0.36,54.8,0.027
