Test unit,E1
Reference,Silva et al. (2014)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
0,-0,0
0.01,3.1,0.001
0.02,3.5,0.002
0.03,3.8,0.002
0.03,4.2,0.003
0.04,4.6,0.004
0.05,5,0.004
0.06,5.3,0.005
0.08,5.8,0.007
0.09,6.1,0.008
0.1,5.7,0.009
0.1,5.1,0.009
0.1,4.5,0.009
0.1,4,0.009
0.11,5.4,0.01
0.12,5.9,0.01
0.13,6.4,0.011
0.14,6.9,0.012
0.15,7.2,0.013
0.15,6.9,0.013
0.15,6.5,0.013
0.17,6.9,0.014
0.18,7.4,0.015
0.19,7.7,0.017
0.2,7.3,0.018
0.2,7,0.018
0.21,7.3,0.019
0.22,7.8,0.019
0.25,8,0.022
0.25,7.7,0.022
0.25,7.4,0.022
0.25,7.7,0.022
0.26,8.1,0.023
0.31,8.3,0.027
0.34,8,0.03
0.34,8.4,0.03
0.38,8.6,0.033
0.39,8.3,0.034
0.42,8.6,0.037
0.42,8.3,0.037
0.43,8.6,0.038
0.44,8.3,0.038
0.44,8,0.038
0.44,8.4,0.038
0.47,8.7,0.041
0.46,8.4,0.04
0.46,8.1,0.04
0.46,7.7,0.04
0.45,7.4,0.04
0.46,7.7,0.04
0.46,8,0.04
0.48,7.7,0.042
0.49,7.4,0.042
0.49,7.1,0.042
0.48,6.8,0.042
0.48,5,0.042
0.48,4.7,0.041
0.47,4.4,0.041
0.46,4.1,0.04
0.45,3.8,0.039
0.44,3.5,0.038
0.43,3.2,0.038
0.43,2.9,0.037
0.42,2.5,0.036
0.43,2.2,0.037
0.43,1.9,0.037
0.41,1.6,0.035
0.4,1.3,0.035
0.38,1,0.033
0.38,0.7,0.033
0.38,0.3,0.033
0.37,0,0.032
0.36,-0.3,0.032
0.37,-0.6,0.032
0.36,-0.9,0.031
0.34,-1.2,0.03
0.33,-1.5,0.029
0.33,-1.9,0.029
0.32,-2.2,0.028
0.31,-2.6,0.027
0.31,-2.9,0.027
0.3,-3.2,0.026
0.29,-3.5,0.025
0.28,-3.8,0.024
0.27,-4.2,0.024
0.26,-4.5,0.023
0.25,-4.8,0.022
0.25,-5.1,0.022
0.23,-5.4,0.02
0.22,-5.6,0.019
0.21,-5.9,0.018
0.2,-6.2,0.017
0.2,-6.5,0.017
0.19,-6.8,0.016
0.18,-7.1,0.016
0.19,-7.4,0.016
0.16,-7.1,0.014
0.15,-7.5,0.013
0.14,-7.9,0.012
0.11,-8.2,0.01
0.1,-7.9,0.009
0.1,-8.3,0.008
0.09,-8.7,0.008
0.06,-8.4,0.006
0.05,-8.1,0.005
0.05,-8.4,0.004
0.04,-8.8,0.003
0.03,-9.1,0.003
0.01,-8.8,0.001
0.01,-8.5,0.001
0.01,-8.2,0.001
0.01,-8.5,0.001
-0,-8.9,-0
-0.01,-9.2,-0.001
-0.01,-9.5,-0.001
-0.04,-9.2,-0.003
-0.04,-8.9,-0.004
-0.05,-9.3,-0.004
-0.06,-9.7,-0.005
-0.07,-10,-0.006
-0.07,-9.7,-0.006
-0.09,-10,-0.008
-0.09,-10.3,-0.007
-0.14,-10.5,-0.012
-0.16,-10.8,-0.014
-0.17,-10.5,-0.015
-0.17,-10.2,-0.015
-0.17,-9.8,-0.015
-0.15,-10.3,-0.013
-0.16,-10.8,-0.014
-0.18,-11.1,-0.015
-0.21,-10.7,-0.018
-0.21,-10.4,-0.018
-0.21,-10,-0.019
-0.21,-9.7,-0.019
-0.21,-10.1,-0.018
-0.21,-10.4,-0.018
-0.21,-10.8,-0.018
-0.22,-11.1,-0.019
-0.24,-11.5,-0.02
-0.24,-11.1,-0.021
-0.24,-10.9,-0.021
-0.24,-10.5,-0.021
-0.24,-10.1,-0.021
-0.24,-9.8,-0.021
-0.24,-10.1,-0.021
-0.24,-10.4,-0.021
-0.23,-10.8,-0.02
-0.23,-11.1,-0.02
-0.27,-10.8,-0.024
-0.27,-10.5,-0.024
-0.27,-10,-0.024
-0.28,-9.8,-0.024
-0.27,-9.5,-0.024
-0.27,-9.1,-0.024
-0.27,-9.5,-0.024
-0.27,-9.9,-0.024
-0.27,-10.3,-0.024
-0.27,-10.6,-0.024
-0.27,-11,-0.024
-0.28,-11.3,-0.024
-0.29,-11,-0.025
-0.29,-10.6,-0.026
-0.29,-10.2,-0.025
