Test unit,CS00
Reference,Magenes et al. (2010)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-0.16,-0.2,-0.007
-0.16,-0.2,-0.007
-0.16,-0.2,-0.007
-0.16,-0.2,-0.007
-0.16,-0.2,-0.007
-0.16,-0.2,-0.007
-0.17,-0.2,-0.007
-0.17,-0.2,-0.007
-0.17,-0.2,-0.007
-0.17,-0.2,-0.007
-0.16,-0.2,-0.007
-0.16,-0.2,-0.007
-0.16,-0.2,-0.007
-0.16,-0.2,-0.007
-0.16,-0.2,-0.007
-0.16,-0.2,-0.007
-0.16,-0.2,-0.007
-0.17,-0.2,-0.007
-0.17,-0.2,-0.007
-0.16,-0.2,-0.007
-0.16,-0.2,-0.007
-0.16,-0.2,-0.007
-0.16,-0.2,-0.007
-0.16,-0.2,-0.007
-0.16,-0.2,-0.007
-0.16,-0.2,-0.007
-0.16,-0.2,-0.007
-0.17,-0.2,-0.007
-0.17,-0.2,-0.007
-0.17,-0.2,-0.007
-0.16,-0.2,-0.007
-0.16,-0.2,-0.007
-0.16,-0.2,-0.007
-0.16,-0.2,-0.007
-0.16,-0.2,-0.007
-0.17,-0.2,-0.007
-0.16,-0.2,-0.007
-0.16,-0.2,-0.007
-0.16,-0.2,-0.007
-0.16,-0.2,-0.007
-0.16,-0.2,-0.007
-0.17,-0.2,-0.007
-0.16,-0.2,-0.007
-0.17,-0.2,-0.007
-0.17,-0.2,-0.007
-0.16,-0.2,-0.007
-0.16,-0.2,-0.007
-0.16,-0.2,-0.007
-0.16,-0,-0.007
-0.16,0.1,-0.006
-0.16,0.3,-0.006
-0.15,0.5,-0.006
-0.15,0.7,-0.006
-0.15,0.9,-0.006
-0.14,1.1,-0.006
-0.14,1.3,-0.006
-0.14,1.4,-0.005
-0.13,1.6,-0.005
-0.13,1.7,-0.005
-0.13,1.8,-0.005
-0.13,1.9,-0.005
-0.12,2,-0.005
-0.12,2.1,-0.005
-0.12,2.2,-0.005
-0.12,2.4,-0.005
-0.11,2.5,-0.005
-0.11,2.6,-0.004
-0.11,2.7,-0.004
-0.1,2.9,-0.004
-0.1,3,-0.004
-0.09,3.3,-0.004
-0.09,3.4,-0.004
-0.09,3.6,-0.004
-0.09,3.8,-0.003
-0.08,4.1,-0.003
-0.08,4.3,-0.003
-0.07,4.6,-0.003
-0.07,4.9,-0.003
-0.06,5.1,-0.003
-0.06,5.4,-0.002
-0.05,5.6,-0.002
-0.05,5.9,-0.002
-0.04,6.1,-0.002
-0.04,6.4,-0.001
-0.03,6.7,-0.001
-0.02,7,-0.001
-0.02,7.2,-0.001
-0.01,7.6,-0
-0.01,7.8,-0
-0,8.1,-0
0,8.4,0
0.01,8.7,0
0.01,8.9,0.001
0.02,9.2,0.001
0.03,9.5,0.001
0.03,9.8,0.001
0.04,10,0.002
0.05,10.4,0.002
0.05,10.6,0.002
0.06,11,0.002
0.07,11.2,0.003
0.07,11.5,0.003
0.08,11.7,0.003
0.08,12,0.003
0.09,12.2,0.004
0.09,12.5,0.004
0.1,12.7,0.004
0.1,13,0.004
0.11,13.2,0.004
0.11,13.4,0.005
0.12,13.7,0.005
0.12,13.9,0.005
0.13,14.2,0.005
0.13,14.4,0.005
0.14,14.6,0.006
0.14,14.9,0.006
0.15,15.1,0.006
0.15,15.3,0.006
0.16,15.6,0.006
0.17,15.8,0.007
0.17,16,0.007
0.18,16.3,0.007
0.18,16.5,0.007
0.19,16.8,0.008
0.2,17,0.008
0.2,17.3,0.008
0.21,17.5,0.008
0.22,17.7,0.009
0.22,17.9,0.009
0.23,18.1,0.009
0.23,18.4,0.009
0.24,18.6,0.009
0.24,18.8,0.01
0.25,19,0.01
0.25,19.3,0.01
0.26,19.5,0.01
0.27,19.7,0.011
0.27,19.9,0.011
0.28,20.1,0.011
0.29,20.3,0.011
0.29,20.5,0.012
0.3,20.7,0.012
0.3,20.6,0.012
0.31,20.4,0.012
0.31,20.1,0.012
0.31,19.7,0.012
0.31,19.4,0.012
0.31,19,0.012
0.31,18.8,0.012
0.31,18.4,0.012
0.31,18.2,0.012
0.31,17.8,0.012
0.31,17.6,0.012
0.31,17.2,0.012
0.31,17,0.012
0.31,16.6,0.012
0.31,16.3,0.012
0.31,16,0.012
0.31,15.7,0.012
0.31,15.4,0.012
0.31,15.2,0.012
0.3,14.9,0.012
