Test unit,P-T-15-OR
Reference,Borri et al. (2001)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
0,0,0
0.03,7.7,0.004
0.06,9.9,0.007
0.09,10.7,0.01
0.11,11.6,0.012
0.13,13.4,0.014
0.15,14.5,0.017
0.22,16.7,0.024
0.27,19.8,0.03
0.35,22.7,0.038
0.39,24.4,0.043
0.43,25.8,0.048
0.52,27.3,0.057
0.53,28.7,0.059
0.56,29.6,0.062
0.62,30.4,0.069
0.68,30.9,0.075
0.69,32.1,0.077
0.74,33,0.082
0.82,33.7,0.091
0.86,34.7,0.096
0.9,35.7,0.099
0.95,36.1,0.106
1,37.3,0.111
1.02,38,0.113
1.16,38.7,0.129
1.24,39.7,0.138
1.33,40.2,0.148
1.38,42,0.154
1.44,42.5,0.16
1.55,42.8,0.172
1.59,42.9,0.177
1.63,44.4,0.181
1.66,45.3,0.184
1.71,45.6,0.19
1.85,45.7,0.206
1.88,46.5,0.209
1.91,48.1,0.212
1.99,49,0.221
2.03,48.9,0.225
2.08,49.5,0.232
2.19,49.9,0.243
2.3,49.9,0.255
2.37,50.6,0.263
2.42,51.2,0.269
2.46,51.7,0.273
2.53,51.9,0.281
2.64,52.9,0.294
2.69,53.7,0.299
2.72,54,0.302
2.75,53.7,0.306
2.77,52.2,0.308
2.79,51.8,0.31
2.82,51.6,0.313
2.85,51.9,0.317
2.89,53.6,0.321
2.95,55.1,0.328
3,55.7,0.334
3.14,55.9,0.349
3.23,56,0.358
3.32,56,0.369
3.39,56,0.377
3.46,57.8,0.385
3.51,58.7,0.39
3.61,58.7,0.401
3.68,59.5,0.408
3.79,60.3,0.421
3.88,61.2,0.431
3.97,61.5,0.441
4.08,61.8,0.454
4.17,61.8,0.464
4.27,61.7,0.474
4.36,62.2,0.485
4.5,63.4,0.5
4.64,64.6,0.516
4.72,65.2,0.525
4.79,65.5,0.532
4.86,65.5,0.54
4.95,65.4,0.55
5.04,65.5,0.56
5.11,65.9,0.568
5.24,66.2,0.582
5.3,66.3,0.589
5.36,66.4,0.596
5.51,67.6,0.613
5.62,68.3,0.624
5.73,68.3,0.637
6.01,68.3,0.668
6.12,68.4,0.68
6.29,68.2,0.699
6.38,68,0.709
6.47,67.8,0.719
6.61,68.5,0.734
6.71,68.8,0.746
6.82,68.9,0.757
6.9,69.4,0.767
6.97,70,0.775
7.05,70.4,0.783
7.12,70.5,0.791
7.25,70.9,0.806
7.33,70.9,0.814
7.42,71.4,0.825
7.51,72.1,0.835
7.61,72.6,0.846
7.69,72.6,0.855
7.79,71.9,0.866
7.84,71.2,0.871
7.88,70.7,0.876
7.91,70.4,0.879
8.01,70.3,0.89
8.08,71.2,0.898
8.18,72.1,0.908
8.28,72.5,0.92
8.44,72.3,0.938
8.62,72,0.958
8.77,71.7,0.975
8.91,71.3,0.991
9.12,70.8,1.013
9.28,70.5,1.031
9.46,70.5,1.052
9.66,70.6,1.073
9.87,70.6,1.097
10.12,70.4,1.125
10.35,70.1,1.15
10.57,69.6,1.174
10.79,69.2,1.199
10.91,68.7,1.212
11.05,68,1.228
11.19,67.4,1.243
11.28,66.8,1.254
11.43,66.3,1.27
11.56,65.6,1.284
11.74,65.4,1.305
11.96,65.5,1.329
12.23,65.4,1.359
12.46,65.3,1.384
12.65,65.2,1.405
12.82,65,1.424
13,64.7,1.444
13.17,64.4,1.463
13.36,63.9,1.484
13.49,63.5,1.499
13.66,63.1,1.518
13.78,62.7,1.531
