Test unit,M17
Reference,Pinho et al. (2012)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
0.21,0.5,0.016
0.21,1.4,0.016
0.16,0.5,0.012
0.26,0.1,0.02
0.21,1.4,0.016
0.26,0.9,0.02
0.16,0.9,0.012
0.26,1.9,0.02
0.21,0.9,0.016
0.26,2.3,0.02
0.21,1.4,0.016
0.21,1.9,0.016
0.26,1.9,0.02
0.21,2.3,0.016
0.21,4,0.016
0.26,5.4,0.02
0.21,6.6,0.016
0.26,7.5,0.02
0.31,8.8,0.024
0.16,10.6,0.012
0.31,5.4,0.024
0.26,3.6,0.02
0.26,1.4,0.02
0.31,1.9,0.024
0.26,0.9,0.02
0.31,1.4,0.024
0.26,1.9,0.02
0.26,0.9,0.02
0.26,1.4,0.02
0.26,0.9,0.02
0.31,1.9,0.024
0.26,0.9,0.02
0.26,0.5,0.02
0.31,0.9,0.024
0.31,1.4,0.024
0.21,0.5,0.016
0.31,0.5,0.024
0.31,0.9,0.024
0.26,0.1,0.02
0.26,-1.2,0.02
0.31,-2.5,0.024
0.26,-3.8,0.02
0.31,-4.7,0.024
0.26,-6.5,0.02
0.26,-8.7,0.02
0.31,-9.1,0.024
0.26,-10.9,0.02
0.26,-11.7,0.02
0.16,-12.2,0.012
0.21,-14.4,0.016
0.05,-13.9,0.004
0.05,-15.7,0.004
0,-16.6,0
-0.1,-17.9,-0.008
-0.05,-18.7,-0.004
-0.2,-19.6,-0.016
-0.2,-19.6,-0.016
-0.31,-21.4,-0.024
-0.26,-21.4,-0.02
-0.41,-21.8,-0.032
-0.41,-23.6,-0.032
-0.51,-24,-0.04
-0.56,-25.3,-0.044
-0.61,-25.8,-0.048
-0.72,-26.2,-0.056
-0.77,-26.6,-0.06
-0.92,-27.1,-0.072
-0.92,-27.9,-0.072
-1.03,-28.4,-0.081
-1.03,-29.3,-0.081
-1.13,-29.3,-0.088
-1.18,-30.1,-0.093
-1.23,-30.6,-0.096
-1.38,-30.1,-0.108
-1.38,-24.9,-0.108
-1.44,-23.1,-0.113
-1.33,-20.5,-0.105
-1.38,-18.7,-0.108
-1.28,-17.9,-0.101
-1.38,-15.7,-0.108
-1.28,-14.4,-0.101
-1.28,-10.4,-0.101
-1.23,-8.7,-0.096
-1.23,-6.9,-0.096
-1.18,-5.6,-0.093
-1.13,-4.3,-0.088
-1.13,-1.2,-0.088
-1.08,-0.3,-0.084
-1.08,0.5,-0.084
NaN,NaN,NaN
-1.08,0.5,-0.084
-1.03,1.4,-0.081
-1.03,0.9,-0.081
-0.97,1.4,-0.076
-1.08,0.9,-0.084
-0.97,1.4,-0.076
-0.97,1.4,-0.076
-1.03,0.9,-0.081
-1.03,0.9,-0.081
-0.92,1.4,-0.072
-0.97,0.9,-0.076
-0.92,0.9,-0.072
-1.03,1.4,-0.081
-0.97,1.4,-0.076
-1.03,1.4,-0.081
-0.97,2.3,-0.076
-0.97,3.2,-0.076
-0.92,4.5,-0.072
-0.92,5.8,-0.072
-0.87,6.6,-0.068
-0.82,8.4,-0.064
-0.82,9.7,-0.064
-0.67,11.9,-0.052
-0.77,11.9,-0.06
-0.67,13.2,-0.052
-0.72,14.1,-0.056
-0.56,16.3,-0.044
-0.56,16.3,-0.044
-0.46,17.6,-0.036
-0.41,18.9,-0.032
-0.41,18.9,-0.032
-0.26,17.2,-0.02
-0.26,19.8,-0.02
-0.31,17.6,-0.024
-0.31,12.8,-0.024
-0.26,11.1,-0.02
-0.36,8.8,-0.028
-0.31,6.6,-0.024
-0.41,5.4,-0.032
-0.36,3.2,-0.028
-0.36,2.3,-0.028
-0.41,0.9,-0.032
-0.41,1.4,-0.032
-0.46,1.4,-0.036
-0.36,0.9,-0.028
-0.46,1.4,-0.036
-0.41,0.9,-0.032
-0.41,1.4,-0.032
-0.41,0.1,-0.032
-0.46,1.4,-0.036
-0.36,0.9,-0.028
-0.41,0.9,-0.032
-0.46,0.5,-0.036
-0.41,0.9,-0.032
-0.36,0.9,-0.028
-0.46,0.1,-0.036
-0.41,0.9,-0.032
-0.41,0.1,-0.032
-0.46,0.1,-0.036
-0.41,-0.3,-0.032
-0.41,-2.1,-0.032
-0.46,-3.8,-0.036
-0.46,-6,-0.036
-0.56,-7.4,-0.044
-0.51,-9.1,-0.04
-0.56,-10.9,-0.044
