Test unit,test 1
Reference,Krzan et al. (2015)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
0.2,-0.3,0.01
-0.2,0.2,-0.01
0.2,0.7,0.01
0.2,3.7,0.01
0.59,4.2,0.031
0.59,7.7,0.031
0.98,8.2,0.051
0.98,11.7,0.051
1.37,12.2,0.072
1.37,15.2,0.072
1.76,15.7,0.093
1.76,18.2,0.093
1.76,9.7,0.093
1.37,9.2,0.072
1.37,3.7,0.072
0.98,3.2,0.051
0.98,-1.3,0.051
0.59,-1.8,0.031
0.59,-5.8,0.031
0.2,-6.3,0.01
0.2,-9.8,0.01
-0.2,-10.3,-0.01
-0.2,-13.7,-0.01
-0.59,-14.2,-0.031
-0.59,-17.2,-0.031
-0.98,-17.7,-0.051
-0.98,-20.7,-0.051
-1.37,-21.2,-0.072
-1.37,-24.7,-0.072
-1.76,-25.2,-0.093
-1.76,-28.2,-0.093
-2.15,-28.7,-0.113
-2.15,-26.2,-0.113
-1.76,-25.7,-0.093
-1.76,-19.2,-0.093
-1.37,-18.7,-0.072
-1.37,-14.2,-0.072
-0.98,-13.7,-0.051
-0.98,-9.8,-0.051
-0.59,-9.3,-0.031
-0.59,-5.3,-0.031
-0.2,-4.8,-0.01
-0.2,-1.3,-0.01
0.2,-0.8,0.01
NaN,NaN,NaN
0.2,0.2,0.01
0.2,2.7,0.01
0.59,3.2,0.031
0.59,6.2,0.031
0.98,6.7,0.051
0.98,10.7,0.051
1.37,11.2,0.072
1.37,14.7,0.072
1.76,15.2,0.093
1.76,18.6,0.093
2.15,19.1,0.113
2.15,20.6,0.113
2.55,21.1,0.134
2.55,21.6,0.134
2.94,22.1,0.155
2.94,22.6,0.155
2.94,18.2,0.155
2.55,17.6,0.134
2.55,12.2,0.134
2.15,11.7,0.113
2.15,7.2,0.113
1.76,6.7,0.093
1.76,3.2,0.093
1.37,2.7,0.072
1.37,-0.8,0.072
0.98,-1.3,0.051
0.98,-4.3,0.051
0.59,-4.8,0.031
0.59,-7.8,0.031
0.2,-8.3,0.01
0.2,-11.2,0.01
-0.2,-11.7,-0.01
-0.2,-14.7,-0.01
-0.59,-15.2,-0.031
-0.59,-18.2,-0.031
-0.98,-18.7,-0.051
-0.98,-21.7,-0.051
-1.37,-22.2,-0.072
-1.37,-25.7,-0.072
-1.76,-26.2,-0.093
-1.76,-29.2,-0.093
-2.15,-29.7,-0.113
-2.15,-31.7,-0.113
-2.54,-32.2,-0.134
-2.54,-32.7,-0.134
-2.93,-33.2,-0.154
-2.93,-34.2,-0.154
-2.93,-28.7,-0.154
-2.54,-28.2,-0.134
-2.54,-24.2,-0.134
-2.15,-23.7,-0.113
-2.15,-20.2,-0.113
-1.76,-19.7,-0.093
-1.76,-16.2,-0.093
-1.37,-15.7,-0.072
-1.37,-12.2,-0.072
-0.98,-11.7,-0.051
-0.98,-8.8,-0.051
-0.59,-8.3,-0.031
-0.59,-5.3,-0.031
-0.2,-4.8,-0.01
-0.2,-1.8,-0.01
0.2,-1.3,0.01
0.2,-0.3,0.01
NaN,NaN,NaN
0.2,0.2,0.01
0.2,1.7,0.01
0.59,2.2,0.031
0.59,5.2,0.031
0.98,5.7,0.051
0.98,8.7,0.051
1.37,9.2,0.072
1.37,12.2,0.072
1.76,12.7,0.093
1.76,15.7,0.093
2.15,16.1,0.113
2.15,19.1,0.113
2.55,19.6,0.134
2.55,22.6,0.134
2.94,23.1,0.155
2.94,24.6,0.155
3.33,25.1,0.175
3.33,26.1,0.175
3.72,26.6,0.196
3.72,28.1,0.196
4.11,28.6,0.216
4.11,30.1,0.216
4.5,30.6,0.237
4.5,32.1,0.237
4.89,32.6,0.257
4.89,33.1,0.257
4.89,28.6,0.257
4.5,28.1,0.237
4.5,23.1,0.237
4.11,22.6,0.216
4.11,18.6,0.216
3.72,18.2,0.196
3.72,14.7,0.196
3.33,14.2,0.175
3.33,11.7,0.175
2.94,11.2,0.155
2.94,8.2,0.155
2.55,7.7,0.134
2.55,5.2,0.134
2.15,4.7,0.113
2.15,1.7,0.113
1.76,1.2,0.093
1.76,-1.3,0.093
1.37,-1.8,0.072
1.37,-4.3,0.072
0.98,-4.8,0.051
0.98,-7.8,0.051
0.59,-8.3,0.031
0.59,-10.8,0.031
0.2,-11.2,0.01
0.2,-13.7,0.01
-0.2,-14.2,-0.01
