Test unit,T1-4
Reference,Faella et al. (1992)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
0.04,11,0.003
0.06,12.8,0.005
0.18,24.1,0.015
0.19,23.2,0.015
0.26,29.4,0.021
0.29,31.9,0.023
0.34,35.1,0.027
0.36,36.9,0.029
0.41,38.8,0.033
0.44,40.7,0.035
0.47,42.6,0.038
0.49,44.1,0.039
0.5,44.8,0.04
0.52,45.4,0.042
0.54,45.7,0.043
0.54,45.7,0.043
0.55,44.5,0.044
0.55,42.3,0.044
0.52,39.4,0.042
0.51,38.2,0.041
0.5,36,0.04
0.47,33.2,0.038
0.45,30.4,0.036
0.42,26.9,0.033
0.37,23.5,0.03
0.34,19.1,0.027
0.3,15,0.024
0.29,12.8,0.023
0.22,6.6,0.018
0.15,0.9,0.012
0.11,-2.8,0.009
0.05,-7.2,0.004
0.01,-11,0.001
-0.04,-14.7,-0.003
-0.1,-18.5,-0.008
-0.14,-21.9,-0.011
-0.19,-25,-0.015
-0.25,-27.9,-0.02
-0.29,-30.4,-0.023
-0.33,-33.2,-0.027
-0.36,-34.7,-0.029
-0.41,-36.9,-0.033
-0.44,-38.8,-0.035
-0.47,-40.1,-0.038
-0.49,-41,-0.039
-0.51,-42.3,-0.041
-0.54,-42.9,-0.043
-0.55,-43.2,-0.044
-0.55,-41,-0.044
-0.54,-35.4,-0.043
-0.54,-34.4,-0.043
-0.51,-33.2,-0.041
-0.49,-30.7,-0.039
-0.47,-28.2,-0.038
-0.43,-25,-0.034
-0.4,-22.2,-0.032
-0.35,-18.8,-0.028
-0.33,-15.3,-0.027
-0.28,-11.9,-0.022
-0.24,-7.8,-0.019
-0.19,-3.8,-0.015
-0.14,0.3,-0.011
-0.09,4.1,-0.007
-0.04,7.8,-0.003
0,11,0
0,7.5,0
-0.01,6.6,-0.001
-0.01,8.1,-0.001
0,9.7,0
0,8.5,0
-0.01,6.6,-0.001
-0.01,9.1,-0.001
0,8.8,0
0,7.2,0
-0.01,6.6,-0.001
-0.01,6.3,-0.001
0.01,11.3,0.001
0.03,12.8,0.003
0.14,22.5,0.011
0.17,25.4,0.014
0.22,28.2,0.018
0.27,31.9,0.021
0.31,35.4,0.025
0.35,38.2,0.028
0.39,40.7,0.031
0.42,43.2,0.033
0.45,45.1,0.036
0.47,46.6,0.038
0.5,48.2,0.04
0.51,48.2,0.041
0.52,49.2,0.042
0.54,49.2,0.043
0.54,47.6,0.043
0.52,44.1,0.042
0.51,42.9,0.041
0.5,41.6,0.04
0.48,39.4,0.039
0.45,36.9,0.036
0.43,34.1,0.034
0.4,31,0.032
0.36,27.5,0.029
0.32,23.8,0.026
0.28,20,0.022
0.24,16,0.019
0.2,13.1,0.016
0.18,11.6,0.015
0.07,2.8,0.006
0.03,-0.9,0.003
-0.02,-4.7,-0.002
-0.06,-8.5,-0.005
-0.12,-12.5,-0.009
-0.16,-16.3,-0.013
-0.21,-20,-0.017
-0.26,-23.5,-0.021
-0.3,-26.6,-0.024
-0.34,-29.7,-0.027
-0.37,-32.6,-0.03
-0.42,-35.1,-0.033
-0.45,-37.6,-0.036
-0.47,-39.1,-0.038
-0.5,-40.4,-0.04
-0.52,-41.6,-0.042
-0.54,-42.9,-0.043
-0.55,-43.2,-0.044
-0.55,-41,-0.044
-0.54,-34.7,-0.043
-0.51,-33.8,-0.041
-0.5,-31.9,-0.04
-0.47,-29.1,-0.038
-0.45,-27.2,-0.036
-0.42,-23.8,-0.033
-0.37,-20.7,-0.03
-0.34,-18.2,-0.027
-0.3,-14.4,-0.024
-0.26,-10.3,-0.021
-0.2,-6.9,-0.016
-0.16,-2.8,-0.013
-0.12,0.9,-0.009
-0.06,4.4,-0.005
-0.01,8.8,-0.001
0,8.5,0
-0.01,5,-0.001
-0.01,6.6,-0.001
0,8.5,0
0,5.6,0
-0.01,5.6,-0.001
-0.01,6.6,-0.001
0,7.8,0
0,5.3,0
-0.01,5.3,-0.001
0,5.9,0
-0.01,6.9,-0.001
0,7.5,0
0,6.6,0
0.04,12.2,0.003
0.05,13.8,0.004
0.16,22.5,0.013
0.2,25.7,0.016
0.25,29.1,0.02
0.3,32.6,0.024
0.33,35.4,0.027
0.37,38.2,0.03
0.41,40.7,0.033
0.44,43.2,0.035
0.47,45.1,0.038
0.49,46.3,0.039
0.5,47.9,0.04
