Fh_pos,u_pos,Fh_neg,u_neg
0,0,0,0
0.2789,0.014514456,-22.98,-0.481031562
2.014,0.023645545,-20.34,-0.582941843
3.414,0.039009522,-25.2,-0.586692783
5.335,0.059436738,-25.15,-0.600182883
7.264,0.083680062,-25.42,-0.615155745
9.254,0.107300181,-25.77,-0.637342207
11.38,0.127119198,-25.76,-0.652652533
13.57,0.157988914,-25.86,-0.665757459
15.84,0.187581478,-26.29,-0.687564016
18.07,0.225805149,-26.32,-0.707306453
20.2,0.262888784,-26.37,-0.711679236
21.98,0.288099373,-26.69,-0.729092785
24,0.327166673,-26.94,-0.756646854
25.92,0.363528004,-26.94,-0.769727758
27.62,0.408156531,-27,-0.792895886
29.25,0.447393658,-27.38,-0.798759458
30.68,0.492751022,-27.56,-0.82148067
31.62,0.516802241,-27.62,-0.838121529
30.9,0.517684361,-27.71,-0.854025468
30.55,0.525519361,-27.93,-0.870889762
28.94,0.532744918,-28.24,-0.88706769
38.96,0.550458157,-28.25,-0.910761104
39.42,0.602558157,-28.37,-0.9241708
40.1,0.657958157,-28.27,-0.935461117
39.95,0.692958157,-28.34,-0.931783778
39.27,0.697558157,-27.91,-0.936064689
36.68,0.890529015,-28.4,-0.930467043
37.02,0.892103687,-27.9,-0.939577635
36.8,0.890477302,-27.58,-0.94167138
36.78,0.896531469,-27.29,-0.939817336
39.4,0.897454285,-27.04,-0.942094032
39.86,0.914973996,-28.49,-0.958084583
40.17,0.936597789,-28.73,-0.978967236
40.64,0.950093684,-28.94,-0.998109395
40.8,0.973543356,-29.16,-1.011779007
41.17,0.990275588,-29.29,-1.031233049
41.52,1.002672927,-29.43,-1.04800098
41.6,1.022505026,-29.58,-1.063586911
41.86,1.045472402,-29.71,-1.07850078
42.15,1.063257782,-29.75,-1.080277469
42.19,1.077249304,-29.58,-1.077796291
42.46,1.093496589,-29,-1.08994251
42.46,1.110510512,-30.31,-1.094515513
42.72,1.127388349,-30.48,-1.108973725
42.75,1.141679916,-30.44,-1.130912048
42.91,1.154166748,-30.63,-1.140633645
42.94,1.172891293,-31,-1.16102517
43.11,1.186546861,-30.97,-1.170981301
43.08,1.198008645,-31.05,-1.191691332
43.21,1.207344997,-31.26,-1.204340712
43.16,1.214848481,-31.59,-1.224789416
43.27,1.226744048,-31.44,-1.235471757
43.12,1.232785572,-31.63,-1.254022623
43.1,1.241289715,-31.94,-1.274854171
43.11,1.241482177,-32.01,-1.29291095
42.92,1.250842078,-32.02,-1.313980853
42.73,1.245000227,-32.15,-1.323486661
42.76,1.249796504,-32.45,-1.342182789
42.64,1.256872239,-32.56,-1.359710777
