Fh_pos [kN],u_pos [mm],Fh_neg [kN],u_neg [mm]
0,0,0,0
0.4932,0.015660918,-9.321,-0.331774524
0.9388,0.02412016,-12.1,-0.34907504
1.382,0.037120386,-12.68,-0.38417322
1.754,0.053550563,-13.24,-0.423644398
2.098,0.065000493,-13.79,-0.456371453
2.421,0.072059184,-14.31,-0.493308395
2.767,0.085697669,-14.8,-0.531678921
3.04,0.095878564,-15.3,-0.565995596
3.347,0.112129051,-15.76,-0.602969825
3.615,0.123875711,-15.91,-0.638027667
3.893,0.135812883,-14.92,-0.643007579
4.173,0.149598049,-17.65,-0.654250373
4.417,0.159723598,-18.14,-0.690172601
4.683,0.174016637,-18.6,-0.724448338
4.939,0.187286367,-19.03,-0.760898102
5.189,0.193716244,-19.45,-0.800992356
5.42,0.211428292,-19.84,-0.838576084
5.691,0.225918735,-20.24,-0.877827975
5.921,0.240940943,-20.62,-0.916894417
6.146,0.252241092,-20.98,-0.956480452
6.385,0.266751747,-21.33,-0.995735058
6.604,0.27831452,-21.69,-1.032652333
6.828,0.288556938,-22.03,-1.071240587
7.06,0.308105989,-22.38,-1.111931539
7.284,0.319242444,-22.72,-1.146597839
7.508,0.335565653,-23.05,-1.186316429
7.722,0.34396419,-23.37,-1.224211482
7.942,0.362624897,-23.67,-1.264574705
8.167,0.367363279,-23.98,-1.303595341
9.322,0.373651453,-23.06,-1.309798922
8.55,0.379945797,-23.37,-1.312296733
9.342,0.383913341,-25.28,-1.339676629
9.994,0.419481225,-26.04,-1.418386874
10.61,0.451495602,-26.74,-1.494482936
11.19,0.490081123,-27.41,-1.568229034
11.74,0.526900252,-28.05,-1.644498473
12.28,0.560994495,-28.66,-1.724048939
12.8,0.597602071,-29.26,-1.801306231
13.32,0.636032842,-29.86,-1.880482603
13.84,0.670226569,-30.44,-1.956500708
14.35,0.705821169,-29.27,-1.96826406
14.84,0.741215511,-29.64,-1.975533211
14.02,0.743383604,-31.35,-1.995753989
14.01,0.743923993,-32.03,-2.082809893
15.32,0.749373278,-32.67,-2.153091801
15.99,0.781373965,-33.3,-2.235738562
16.58,0.818897023,-33.92,-2.318726618
17.14,0.857791452,-34.47,-2.402076148
17.69,0.895768062,-35,-2.484619971
18.22,0.934567819,-35.5,-2.562791574
18.74,0.973906909,-35.96,-2.646001142
19.26,1.006568819,-35.81,-2.666260339
19.75,1.047868836,-37.31,-2.766848974
20.26,1.08525199,-38.01,-2.879454243
20.74,1.121708694,-38.67,-3.004349966
21.24,1.15588953,-39.27,-3.128757205
21.73,1.191542554,-39.84,-3.250156086
22.21,1.2347799,-39.69,-3.324582687
22.66,1.270289536,-38.57,-3.329949271
