Test unit;C_1;
Reference;Ponte et al. (2023);
top_displacement;horizontal_force;drift
[mm];[kN];[%]
-0.0431435000000000;-46.8135;-3.45148
-0.0431310000000000;-46.8135;-3.45048
-0.0431185000000000;-46.8136;-3.44948
-0.0431060000000000;-46.8136;-3.44848
-0.0430935000000000;-46.8136;-3.44748
-0.0430810000000000;-46.8137;-3.44648
-0.0430685000000000;-46.8137;-3.44548
-0.0430560000000000;-46.8137;-3.44448
-0.0430435000000000;-46.8138;-3.44348
-0.0430310000000000;-46.8138;-3.44248
-0.0430185000000000;-46.8138;-3.44148
-0.0430060000000000;-46.8139;-3.44048
-0.0429935000000000;-46.8139;-3.43948
-0.0429810000000000;-46.8139;-3.43848
-0.0429685000000000;-46.814;-3.43748
-0.0429560000000000;-46.814;-3.43648
-0.0429435000000000;-46.814;-3.43548
-0.0429310000000000;-46.8141;-3.43448
-0.0429185000000000;-46.8141;-3.43348
-0.0429060000000000;-46.8141;-3.43248
-0.0428935000000000;-46.8142;-3.43148
-0.0428810000000000;-46.8142;-3.43048
-0.0428685000000000;-46.8142;-3.42948
-0.0428560000000000;-46.8143;-3.42848
-0.0428435000000000;-46.8143;-3.42748
-0.0428310000000000;-46.8143;-3.42648
-0.0428185000000000;-46.8143;-3.42548
-0.0428060000000000;-46.8144;-3.42448
-0.0427935000000000;-46.8144;-3.42348
-0.0427810000000000;-46.8144;-3.42248
-0.0427685000000000;-46.8145;-3.42148
-0.0427560000000000;-46.8145;-3.42048
-0.0427435000000000;-46.8145;-3.41948
-0.0427310000000000;-46.8052;-3.41848
-0.0427185000000000;-46.7898;-3.41748
-0.0427060000000000;-46.7744;-3.41648
-0.0426935000000000;-46.7589;-3.41548
-0.0426810000000000;-46.7435;-3.41448
-0.0426685000000000;-46.7281;-3.41348
-0.0426560000000000;-46.7127;-3.41248
-0.0426435000000000;-46.6973;-3.41148
-0.0426310000000000;-46.6819;-3.41048
-0.0426185000000000;-46.6664;-3.40948
-0.0426060000000000;-46.651;-3.40848
-0.0425935000000000;-46.6356;-3.40748
-0.0425810000000000;-46.6202;-3.40648
-0.0425685000000000;-46.6048;-3.40548
-0.0425560000000000;-46.5894;-3.40448
-0.0425435000000000;-46.5739;-3.40348
-0.0425310000000000;-46.5585;-3.40248
-0.0425185000000000;-46.5431;-3.40148
-0.0425060000000000;-46.5277;-3.40048
-0.0424935000000000;-46.5123;-3.39948
-0.0424810000000000;-46.4969;-3.39848
-0.0424685000000000;-46.4814;-3.39748
-0.0424560000000000;-46.466;-3.39648
-0.0424435000000000;-46.4506;-3.39548
-0.0424310000000000;-46.4352;-3.39448
-0.0424185000000000;-46.4198;-3.39348
-0.0424060000000000;-46.4044;-3.39248
-0.0423935000000000;-46.3889;-3.39148
-0.0423810000000000;-46.3735;-3.39048
-0.0423685000000000;-46.3581;-3.38948
-0.0423560000000000;-46.3427;-3.38848
-0.0423435000000000;-46.3273;-3.38748
-0.0423310000000000;-46.3119;-3.38648
-0.0423185000000000;-46.3028;-3.38548
-0.0423060000000000;-46.3028;-3.38448
-0.0422935000000000;-46.3029;-3.38348
-0.0422810000000000;-46.3029;-3.38248
-0.0422685000000000;-46.3029;-3.38148
-0.0422560000000000;-46.303;-3.38048
-0.0422435000000000;-46.303;-3.37948
-0.0422310000000000;-46.303;-3.37848
-0.0422185000000000;-46.3031;-3.37748
-0.0422060000000000;-46.3031;-3.37648
-0.0421935000000000;-46.3031;-3.37548
-0.0421810000000000;-46.3032;-3.37448
-0.0421685000000000;-46.3032;-3.37348
-0.0421560000000000;-46.3032;-3.37248
-0.0421435000000000;-46.3033;-3.37148
-0.0421310000000000;-46.3033;-3.37048
-0.0421185000000000;-46.3033;-3.36948
-0.0421060000000000;-46.3034;-3.36848
-0.0420935000000000;-46.3034;-3.36748
-0.0420810000000000;-46.3034;-3.36648
