Test unit;C2;
Reference;Ponte et al. (2023);
top_displacement;horizontal_force;drift
[mm];[kN];[%]
-0.0701863750000000;-47.948;-5.61491
-0.0700613750000000;-47.7943;-5.60491
-0.0699363750000000;-47.6406;-5.59491
-0.0698113750000000;-47.487;-5.58491
-0.0696863750000000;-47.4393;-5.57491
-0.0695613750000000;-47.4399;-5.56491
-0.0694363750000000;-47.4406;-5.55491
-0.0693113750000000;-47.4412;-5.54491
-0.0691863750000000;-47.4419;-5.53491
-0.0690613750000000;-47.4425;-5.52491
-0.0689363750000000;-47.4431;-5.51491
-0.0688113750000000;-47.4438;-5.50491
-0.0686863750000000;-47.4444;-5.49491
-0.0685613750000000;-47.4451;-5.48491
-0.0684363750000000;-47.5613;-5.47491
-0.0683113750000000;-47.7163;-5.46491
-0.0681863750000000;-47.8712;-5.45491
-0.0680613750000000;-48.0262;-5.44491
-0.0679363750000000;-48.1811;-5.43491
-0.0678113750000000;-48.3361;-5.42491
-0.0676863750000000;-48.4719;-5.41491
-0.0675613750000000;-48.4725;-5.40491
-0.0674363750000000;-48.4732;-5.39491
-0.0673113750000000;-48.4738;-5.38491
-0.0671863750000000;-48.5996;-5.37491
-0.0670613750000000;-48.7546;-5.36491
-0.0669363750000000;-48.9095;-5.35491
-0.0668113750000000;-48.9875;-5.34491
-0.0666863750000000;-48.9882;-5.33491
-0.0665613750000000;-48.9888;-5.32491
-0.0664363750000000;-48.9895;-5.31491
-0.0663113750000000;-48.9901;-5.30491
-0.0661863750000000;-48.9907;-5.29491
-0.0660613750000000;-48.9914;-5.28491
-0.0659363750000000;-48.992;-5.27491
-0.0658113750000000;-48.9927;-5.26491
-0.0656863750000000;-48.9933;-5.25491
-0.0655613750000000;-48.9939;-5.24491
-0.0654363750000000;-48.9946;-5.23491
-0.0653113750000000;-48.9952;-5.22491
-0.0651863750000000;-48.9959;-5.21491
-0.0650613750000000;-48.9965;-5.20491
-0.0649363750000000;-48.9971;-5.19491
-0.0648113750000000;-48.9978;-5.18491
-0.0646863750000000;-48.854;-5.17491
-0.0645613750000000;-48.7004;-5.16491
-0.0644363750000000;-48.5467;-5.15491
-0.0643113750000000;-48.5853;-5.14491
-0.0641863750000000;-48.7402;-5.13491
-0.0640613750000000;-48.8952;-5.12491
-0.0639363750000000;-49.0022;-5.11491
-0.0638113750000000;-49.0029;-5.10491
-0.0636863750000000;-49.0035;-5.09491
-0.0635613750000000;-49.0042;-5.08491
-0.0634363750000000;-49.0048;-5.07491
-0.0633113750000000;-49.0054;-5.06491
-0.0631863750000000;-49.0061;-5.05491
-0.0630613750000000;-49.1124;-5.04491
-0.0629363750000000;-49.2674;-5.03491
-0.0628113750000000;-49.4223;-5.02491
-0.0626863750000000;-49.5198;-5.01491
-0.0625613750000000;-49.5205;-5.00491
-0.0624363750000000;-49.5211;-4.99491
-0.0623113750000000;-49.5309;-4.98491
-0.0621863750000000;-49.6859;-4.97491
-0.0620613750000000;-49.8409;-4.96491
-0.0619363750000000;-49.9958;-4.95491
-0.0618113750000000;-50.0355;-4.94491
-0.0616863750000000;-50.0361;-4.93491
-0.0615613750000000;-50.0367;-4.92491
-0.0614363750000000;-50.0374;-4.91491
-0.0613113750000000;-50.038;-4.90491
-0.0611863750000000;-50.0387;-4.89491
-0.0610613750000000;-50.0581;-4.88491
-0.0609363750000000;-50.2131;-4.87491
-0.0608113750000000;-50.368;-4.86491
-0.0606863750000000;-50.523;-4.85491
-0.0605613750000000;-50.553;-4.84491
-0.0604363750000000;-50.5537;-4.83491
-0.0603113750000000;-50.5543;-4.82491
-0.0601863750000000;-50.555;-4.81491
-0.0600613750000000;-50.5556;-4.80491
-0.0599363750000000;-50.5562;-4.79491
-0.0598113750000000;-50.5569;-4.78491
-0.0596863750000000;-50.5575;-4.77491
-0.0595613750000000;-50.5582;-4.76491
