Test unit,C7
Reference,Silva et al. (2014)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-21.74,-133.8,-1.61
-21.72,-173.1,-1.609
-21.5,-174.5,-1.593
-21.31,-176.2,-1.578
-21.05,-176.9,-1.559
-20.77,-177.3,-1.539
-20.51,-177.3,-1.52
-20.27,-178,-1.502
-20.01,-178.1,-1.482
-19.95,-200.6,-1.478
-19.79,-202.6,-1.466
-19.54,-203.3,-1.448
-19.28,-203.5,-1.428
-19.03,-204.2,-1.41
-18.76,-203.8,-1.39
-18.51,-204.3,-1.371
-18.25,-203.9,-1.352
-17.97,-203.7,-1.331
-17.71,-203.7,-1.311
-17.45,-203.5,-1.292
-17.41,-202.2,-1.289
-17.39,-204.8,-1.288
-17.33,-208.1,-1.284
-17.33,-210.8,-1.283
-17.29,-214.7,-1.28
-17.12,-216.6,-1.268
-16.87,-216.6,-1.25
-16.61,-216.7,-1.231
-16.36,-216.6,-1.212
-16.1,-216.1,-1.193
-15.85,-215.7,-1.174
-15.59,-215.3,-1.155
-15.33,-214.6,-1.135
-15.08,-213.9,-1.117
-14.81,-213.2,-1.097
-14.71,-209.3,-1.09
-14.7,-212.4,-1.089
-14.64,-214,-1.085
-14.57,-216.4,-1.079
-14.31,-216.7,-1.06
-14.05,-216.5,-1.041
-13.8,-216,-1.022
-13.55,-215.5,-1.004
-13.29,-215.1,-0.985
-13.05,-214.2,-0.967
-12.79,-213.8,-0.948
-12.56,-212.6,-0.93
-12.32,-212,-0.912
-12.16,-207.6,-0.901
-12.12,-205.7,-0.898
-12.11,-208.6,-0.897
-12.03,-210.9,-0.891
-11.88,-212.9,-0.88
-11.63,-212.8,-0.861
-11.38,-212.7,-0.843
-11.15,-212.2,-0.826
-10.92,-211.2,-0.809
-10.67,-210.5,-0.79
-10.43,-209.5,-0.773
-10.18,-208.4,-0.754
-9.96,-207.6,-0.738
-9.77,-206.1,-0.724
-9.61,-202.1,-0.712
-9.58,-203.7,-0.71
-9.49,-205.1,-0.703
-9.38,-204.8,-0.695
-9.26,-204.6,-0.686
-9.15,-204.1,-0.678
-9.02,-203.6,-0.668
-8.89,-202.8,-0.659
-8.77,-202.2,-0.649
-8.65,-201.4,-0.641
-8.61,-195.1,-0.638
-8.59,-197.4,-0.636
-8.57,-200.4,-0.635
-8.55,-199.6,-0.634
-8.55,-202,-0.633
-8.43,-202.1,-0.625
-8.32,-201.7,-0.616
-8.21,-201.5,-0.608
-8.08,-201.1,-0.598
-7.96,-200.2,-0.59
-7.84,-199.9,-0.581
-7.73,-198.8,-0.573
-7.61,-198.4,-0.564
-7.57,-194.9,-0.561
-7.56,-195.3,-0.56
-7.54,-196.8,-0.558
-7.49,-199,-0.555
-7.39,-199,-0.547
-7.28,-198.4,-0.539
-7.17,-198.1,-0.531
-7.05,-197.6,-0.523
-6.94,-196.8,-0.514
-6.84,-196.1,-0.507
-6.73,-195.5,-0.499
-6.63,-194.5,-0.491
-6.59,-190.6,-0.488
-6.57,-193.2,-0.487
-6.56,-191.8,-0.486
-6.49,-195.3,-0.481
-6.38,-195.3,-0.473
-6.26,-194.8,-0.464
-6.15,-194.2,-0.455
-6.02,-193.6,-0.446
-5.91,-192.6,-0.438
-5.8,-192.2,-0.43
-5.72,-191,-0.423
-5.59,-190.2,-0.414
-5.54,-186.5,-0.41
-5.51,-188.9,-0.408
-5.49,-190.4,-0.406
-5.46,-190.1,-0.405
-5.45,-192.6,-0.404
-5.38,-192.2,-0.399
-5.32,-191.8,-0.394
-5.26,-191.9,-0.39
-5.2,-191.4,-0.385
-5.14,-191,-0.381
-5.07,-190.8,-0.376
-5.01,-190.3,-0.371
-4.94,-190.1,-0.366
-4.87,-189.5,-0.361
-4.81,-188.9,-0.356
-4.74,-188.5,-0.351
-4.67,-187.7,-0.346
-4.61,-187.1,-0.342
-4.55,-186.5,-0.337
-4.51,-183.5,-0.334
-4.5,-185.8,-0.333
-4.47,-188,-0.331
-4.4,-189.1,-0.326
-4.33,-189.2,-0.321
-4.26,-189.2,-0.315
-4.19,-189.3,-0.31
-4.13,-188.7,-0.306
-4.06,-188.4,-0.301
-3.99,-187.8,-0.295
-3.92,-187,-0.29
-3.86,-186.4,-0.286
-3.78,-185.6,-0.28
-3.7,-184.8,-0.274
-3.63,-184,-0.269
-3.58,-183,-0.265
