Test unit,CS01
Reference,Magenes et al. (2010)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-9.67,-91.5,-0.387
-9.65,-91.9,-0.386
-9.63,-92.2,-0.385
-9.59,-92.3,-0.384
-9.55,-92.3,-0.382
-9.51,-92.2,-0.381
-9.47,-92.2,-0.379
-9.43,-92.2,-0.377
-9.39,-92.2,-0.376
-9.35,-92.1,-0.374
-9.31,-92.1,-0.372
-9.27,-92.1,-0.371
-9.23,-92.1,-0.369
-9.19,-92.1,-0.368
-9.15,-92,-0.366
-9.11,-92,-0.364
-9.07,-92,-0.363
-9.03,-92,-0.361
-8.99,-92,-0.359
-8.94,-92,-0.358
-8.9,-92,-0.356
-8.86,-91.9,-0.355
-8.82,-91.9,-0.353
-8.78,-91.8,-0.351
-8.74,-91.8,-0.35
-8.7,-91.8,-0.348
-8.66,-91.7,-0.346
-8.62,-91.7,-0.345
-8.58,-91.6,-0.343
-8.54,-91.6,-0.341
-8.5,-91.6,-0.34
-8.46,-91.6,-0.338
-8.42,-91.5,-0.337
-8.38,-91.5,-0.335
-8.34,-91.5,-0.334
-8.3,-91.4,-0.332
-8.25,-91.4,-0.33
-8.21,-91.3,-0.328
-8.16,-91.3,-0.327
-8.12,-91.3,-0.325
-8.09,-91.2,-0.323
-8.05,-91.2,-0.322
-8.01,-91.1,-0.321
-7.98,-91.1,-0.319
-7.94,-91,-0.317
-7.89,-91,-0.316
-7.85,-90.9,-0.314
-7.81,-90.9,-0.312
-7.77,-90.8,-0.311
-7.73,-90.7,-0.309
-7.69,-90.7,-0.308
-7.65,-90.6,-0.306
-7.61,-90.6,-0.304
-7.57,-90.7,-0.303
-7.53,-90.7,-0.301
-7.48,-90.7,-0.299
-7.44,-90.7,-0.298
-7.4,-90.6,-0.296
-7.36,-90.6,-0.295
-7.32,-90.5,-0.293
-7.28,-90.4,-0.291
-7.24,-90.4,-0.29
-7.2,-90.3,-0.288
-7.17,-94,-0.287
-7.15,-94.2,-0.286
-7.13,-94.4,-0.285
-7.1,-94.3,-0.284
-7.07,-94.3,-0.283
-7.04,-94.2,-0.281
-7.01,-94.2,-0.28
-6.97,-94.1,-0.279
-6.94,-94.1,-0.278
-6.91,-94,-0.276
-6.88,-94,-0.275
-6.85,-93.9,-0.274
-6.81,-93.9,-0.273
-6.78,-93.8,-0.271
-6.75,-93.8,-0.27
-6.72,-93.6,-0.269
-6.7,-93.6,-0.268
-6.67,-93.5,-0.267
-6.64,-93.5,-0.265
-6.6,-93.4,-0.264
-6.57,-93.3,-0.263
-6.53,-93.3,-0.261
-6.5,-93.2,-0.26
-6.48,-93.1,-0.259
-6.45,-93.1,-0.258
-6.42,-93,-0.257
-6.4,-92.9,-0.256
-6.37,-92.8,-0.255
-6.34,-92.8,-0.254
-6.31,-92.7,-0.252
-6.27,-92.6,-0.251
-6.24,-92.5,-0.25
-6.21,-92.4,-0.248
-6.18,-92.3,-0.247
-6.15,-92.2,-0.246
-6.12,-92.1,-0.245
-6.09,-92,-0.243
-6.06,-91.9,-0.242
-6.03,-91.8,-0.241
-5.99,-91.7,-0.24
-5.96,-91.6,-0.239
-5.92,-92,-0.237
-5.9,-92.2,-0.236
-5.87,-92.2,-0.235
-5.85,-92.1,-0.234
-5.82,-92,-0.233
-5.8,-91.9,-0.232
-5.77,-91.9,-0.231
-5.74,-91.8,-0.23
-5.72,-91.8,-0.229
-5.69,-91.7,-0.228
-5.67,-91.7,-0.227
-5.65,-91.5,-0.226
-5.62,-91.5,-0.225
-5.6,-91.4,-0.224
-5.57,-91.3,-0.223
-5.55,-91.2,-0.222
-5.52,-91.2,-0.221
-5.5,-91.1,-0.22
-5.47,-91,-0.219
-5.44,-90.9,-0.218
-5.42,-90.8,-0.217
-5.39,-90.7,-0.216
-5.37,-90.6,-0.215
-5.34,-90.5,-0.214
-5.32,-90.4,-0.213
-5.29,-90.3,-0.212
-5.27,-90.3,-0.211
-5.24,-90.2,-0.21
-5.22,-90.1,-0.209
-5.19,-90,-0.208
-5.17,-89.9,-0.207
-5.14,-89.7,-0.206
-5.12,-89.6,-0.205
-5.09,-89.5,-0.204
-5.06,-89.4,-0.203
-5.04,-89.3,-0.201
-5.01,-89.2,-0.2
-4.99,-89,-0.199
-4.94,-88.8,-0.198
-4.91,-88.6,-0.197
