Test unit;CS01;
Reference;Senaldi et al. (2018);
top_displacement;horizontal_force;drift
[mm];[kN];[%]
Displacement,Force,Drift
-88.450371,-9.712161,-4.913910
-88.446788,-10.208941,-4.913710
-88.434601,-10.672257,-4.913033
-88.383487,-10.859202,-4.910194
-88.283304,-11.024961,-4.904628
-88.140165,-11.179774,-4.896676
-87.959592,-11.313960,-4.886644
-87.747172,-11.424505,-4.874843
-87.508670,-11.515626,-4.861593
-87.249904,-11.588775,-4.847217
-86.976672,-11.643622,-4.832037
-86.694640,-11.690576,-4.816369
-86.410037,-11.737179,-4.800558
-86.125618,-11.784962,-4.784757
-85.841304,-11.832819,-4.768961
-85.556700,-11.887114,-4.753150
-85.272107,-11.938051,-4.737339
-84.987660,-11.984270,-4.721537
-84.703177,-12.030344,-4.705732
-84.418594,-12.076162,-4.689922
-84.134181,-12.120703,-4.674121
-83.850273,-12.145117,-4.658349
-83.566700,-12.156073,-4.642594
-83.283277,-12.165667,-4.626849
-82.999837,-12.174800,-4.611102
-82.716636,-12.170286,-4.595369
-82.433522,-12.175305,-4.579640
-82.150214,-12.188439,-4.563901
-81.866683,-12.202599,-4.548149
-81.583130,-12.217778,-4.532396
-81.299315,-12.234331,-4.516629
-81.015136,-12.265648,-4.500841
-80.730629,-12.311664,-4.485035
-80.445947,-12.361400,-4.469219
-80.161113,-12.401896,-4.453395
-79.876085,-12.451803,-4.437560
-79.590856,-12.496214,-4.421714
-79.305334,-12.536827,-4.405852
-79.019668,-12.582195,-4.389982
-78.733879,-12.627297,-4.374104
-78.447753,-12.672029,-4.358208
-78.161063,-12.720988,-4.342281
-77.874009,-12.756265,-4.326334
-77.586590,-12.785515,-4.310366
-77.298803,-12.836112,-4.294378
-77.010657,-12.885772,-4.278370
-76.722162,-12.935993,-4.262342
-76.433931,-12.985588,-4.246329
-76.145965,-13.025421,-4.230331
-75.857892,-13.063349,-4.214327
-75.570183,-13.100035,-4.198343
-75.283100,-13.123510,-4.182394
-74.996426,-13.158368,-4.166468
-74.709895,-13.195357,-4.150550
-74.423707,-13.209441,-4.134650
-74.137978,-13.220584,-4.118777
-73.852889,-13.228535,-4.102938
-73.567745,-13.230397,-4.087097
-73.282439,-13.242531,-4.071247
-72.997400,-13.254762,-4.055411
-72.712407,-13.266515,-4.039578
-72.427566,-13.284355,-4.023754
-72.142754,-13.296327,-4.007931
-71.858280,-13.307921,-3.992127
-71.573907,-13.331749,-3.976328
-71.289426,-13.357842,-3.960524
-71.004664,-13.387279,-3.944704
-70.760891,-12.395051,-3.931161
-70.756093,-12.925916,-3.930894
-70.749075,-13.571977,-3.930504
-70.716728,-13.808098,-3.928707
-70.644493,-13.996953,-3.924694
-70.536154,-14.157886,-3.918675
-70.396919,-14.304355,-3.910940
-70.231024,-14.425137,-3.901724
-70.043164,-14.520065,-3.891287
-69.838081,-14.591322,-3.879893
-69.620224,-14.637893,-3.867790
-69.394937,-14.665590,-3.855274
-69.167540,-14.687134,-3.842641
-68.939833,-14.708948,-3.829991
-68.711961,-14.750316,-3.817331
-68.484455,-14.791713,-3.804692
-68.256733,-14.817784,-3.792041
-68.028714,-14.849388,-3.779373
-67.800648,-14.895008,-3.766703
-67.572697,-14.936851,-3.754039
-67.344882,-14.975146,-3.741382
-67.117067,-15.014684,-3.728726
-66.889452,-15.054016,-3.716081
-66.661851,-15.094113,-3.703436
-66.434277,-15.116838,-3.690793
-66.206517,-15.139830,-3.678140
-65.978495,-15.170918,-3.665472
-65.750755,-15.190819,-3.652820
-65.522984,-15.186021,-3.640166
-65.294791,-15.188093,-3.627488
-65.066223,-15.196447,-3.614790
-64.837585,-15.205038,-3.602088
-64.608563,-15.212676,-3.589365
-64.379710,-15.214845,-3.576651
-64.150537,-15.220528,-3.563919
-63.921091,-15.229730,-3.551172
-63.691833,-15.247048,-3.538435
-63.462389,-15.270701,-3.525688
-63.232988,-15.306045,-3.512944
-63.003775,-15.338738,-3.500210
-62.774731,-15.377912,-3.487485
-62.545604,-15.416647,-3.474756
-62.316829,-15.456504,-3.462046
-62.087735,-15.507663,-3.449319
-61.858725,-15.574284,-3.436596
-61.630054,-15.632658,-3.423892
-61.401111,-15.675207,-3.411173
-61.172251,-15.717433,-3.398458
-60.943190,-15.759476,-3.385733
-60.713975,-15.801576,-3.372999
-60.484877,-15.826148,-3.360271
-60.255864,-15.849995,-3.347548
-60.026699,-15.873746,-3.334817
-59.797802,-15.881113,-3.322100
-59.569068,-15.864539,-3.309393
-59.340254,-15.859148,-3.296681
-59.111985,-15.859498,-3.283999
-58.883564,-15.859215,-3.271309
-58.655190,-15.860020,-3.258622
-58.426936,-15.859558,-3.245941
-58.198781,-15.866378,-3.233266
-57.970579,-15.879639,-3.220588
-57.742267,-15.901597,-3.207904
-57.513838,-15.933392,-3.195213
-57.285311,-15.977784,-3.182517
-57.056627,-16.017882,-3.169813
-56.827526,-16.068887,-3.157085
-56.598372,-16.133798,-3.144354
-56.369272,-16.199416,-3.131626
-56.140193,-16.264747,-3.118900
-55.910826,-16.344306,-3.106157
-55.681592,-16.413336,-3.093422
-55.452479,-16.464047,-3.080693
-55.223451,-16.512309,-3.067970
-54.994403,-16.560630,-3.055245
-54.765563,-16.606109,-3.042531
-54.537009,-16.628634,-3.029834
-54.308685,-16.624503,-3.017149
-54.080299,-16.617578,-3.004461
-53.852003,-16.599403,-2.991778
-53.623914,-16.555951,-2.979106
-53.395678,-16.524523,-2.966427
-53.167326,-16.508683,-2.953740
-53.083476,-15.587213,-2.949082
-53.075991,-15.256345,-2.948666
-53.066245,-16.331774,-2.948125
-53.047188,-16.582895,-2.947066
-52.997501,-16.793867,-2.944306
-52.920334,-16.970103,-2.940019
-52.819210,-17.114436,-2.934401
-52.697121,-17.239577,-2.927618
-52.556942,-17.332185,-2.919830
-52.402515,-17.399956,-2.911251
-52.238042,-17.438786,-2.902113
-52.067617,-17.449634,-2.892645
-51.895675,-17.445864,-2.883093
-51.723833,-17.447908,-2.873546
-51.552178,-17.458311,-2.864010
-51.380673,-17.458664,-2.854482
-51.209168,-17.456715,-2.844954
-51.037939,-17.454987,-2.835441
-50.867278,-17.463776,-2.825960
-50.696976,-17.471774,-2.816499
-50.526845,-17.480141,-2.807047
-50.356759,-17.474981,-2.797598
-50.186543,-17.470191,-2.788141
-50.016624,-17.463959,-2.778701
-49.846602,-17.442761,-2.769256
-49.676534,-17.437382,-2.759807
-49.506318,-17.435960,-2.750351
-49.335848,-17.431850,-2.740880
-49.165229,-17.423887,-2.731402
-48.994459,-17.413476,-2.721914
-48.823585,-17.401506,-2.712421
-48.652580,-17.408126,-2.702921
-48.481600,-17.424244,-2.693422
-48.310304,-17.439103,-2.683906
-48.138943,-17.461429,-2.674386
-47.967752,-17.476425,-2.664875
-47.796794,-17.490897,-2.655377
-47.625922,-17.505882,-2.645885
-47.454907,-17.526168,-2.636384
-47.283872,-17.548787,-2.626882
-47.112731,-17.571687,-2.617374
-46.941606,-17.581686,-2.607867
-46.770538,-17.576303,-2.598363
-46.599442,-17.569221,-2.588858
-46.428324,-17.564060,-2.579351
-46.256993,-17.556821,-2.569833
-46.085364,-17.549320,-2.560298
-45.913639,-17.530785,-2.550758
-45.742097,-17.501179,-2.541228
-45.570618,-17.470221,-2.531701
-45.399330,-17.441149,-2.522185
-45.227899,-17.423471,-2.512661
-45.056455,-17.422141,-2.503136
-44.885168,-17.425730,-2.493620
-44.714049,-17.429691,-2.484114
-44.542951,-17.436247,-2.474608
-44.371936,-17.440448,-2.465108
-44.200993,-17.454677,-2.455611
-44.029971,-17.483400,-2.446109
-43.858681,-17.519212,-2.436593
-43.687081,-17.542532,-2.427060
-43.515714,-17.560232,-2.417540
-43.344241,-17.571276,-2.408013
-43.172639,-17.580757,-2.398480
-43.000865,-17.603345,-2.388937
-42.829151,-17.626074,-2.379397
-42.657567,-17.650645,-2.369865
-42.485935,-17.687307,-2.360330
-42.314183,-17.721644,-2.350788
-42.142628,-17.742205,-2.341257
-41.971199,-17.783800,-2.331733
-41.799831,-17.825560,-2.322213
-41.628475,-17.857619,-2.312693
-41.457314,-17.880474,-2.303184
-41.286036,-17.878844,-2.293669
-41.114613,-17.875758,-2.284145
-40.943022,-17.871214,-2.274612
-40.771579,-17.846713,-2.265088
-40.600281,-17.804990,-2.255571
-40.429113,-17.770464,-2.246062
-40.257874,-17.726501,-2.236549
-40.086274,-17.684479,-2.227015
-39.914804,-17.655757,-2.217489
-39.742972,-17.642112,-2.207943
-39.571306,-17.638899,-2.198406
-39.399666,-17.637657,-2.188870
-39.228085,-17.634009,-2.179338
-39.056223,-17.635673,-2.169790
-38.884109,-17.650096,-2.160228
-38.711597,-17.673190,-2.150644
-38.539194,-17.688178,-2.141066
-38.366875,-17.701303,-2.131493
-38.194387,-17.709113,-2.121910
-38.022127,-17.708644,-2.112340
-37.849802,-17.719766,-2.102767
-37.677376,-17.729294,-2.093188
-37.505059,-17.741752,-2.083614
-37.333087,-17.763808,-2.074060
-37.161572,-17.783711,-2.064532
-36.990370,-17.786488,-2.055021
-36.819142,-17.798222,-2.045508
-36.648160,-17.813023,-2.036009
-36.477178,-17.826891,-2.026510
-36.306222,-17.840224,-2.017012
-36.135401,-17.834238,-2.007522
-35.964824,-17.831169,-1.998046
-35.794163,-17.826210,-1.988565
-35.623153,-17.807816,-1.979064
-35.451696,-17.789953,-1.969539
-35.375581,-16.064545,-1.965310
-35.364993,-16.035137,-1.964722
-35.347179,-16.311714,-1.963732
-35.309276,-16.559069,-1.961626
-35.253662,-16.753962,-1.958537
-35.182451,-16.923863,-1.954581
-35.097756,-17.067713,-1.949875
-35.001774,-17.164103,-1.944543
-34.896841,-17.233736,-1.938713
-34.786043,-17.285840,-1.932558
-34.672460,-17.296487,-1.926248
-34.558253,-17.305420,-1.919903
-34.444269,-17.310565,-1.913570
-34.330431,-17.306386,-1.907246
-34.216492,-17.326644,-1.900916
-34.102385,-17.344086,-1.894577
-33.988342,-17.355317,-1.888241
-33.874032,-17.379950,-1.881891
-33.759666,-17.399056,-1.875537
-33.645364,-17.410727,-1.869187
-33.531183,-17.443778,-1.862843
-33.417003,-17.473736,-1.856500
-33.302745,-17.504664,-1.850152
-33.188502,-17.543605,-1.843806
-33.074137,-17.554654,-1.837452
-32.959941,-17.560951,-1.831108
-32.845683,-17.575390,-1.824760
-32.731568,-17.576526,-1.818420
-32.617576,-17.564482,-1.812088
-32.503580,-17.556634,-1.805754
-32.389424,-17.533023,-1.799412
-32.275524,-17.506247,-1.793085
-32.161627,-17.475637,-1.786757
-32.047619,-17.438748,-1.780423
-31.933964,-17.430244,-1.774109
-31.820340,-17.423089,-1.767797
-31.706720,-17.408977,-1.761484
-31.593126,-17.413785,-1.755174
-31.479436,-17.440267,-1.748858
-31.365582,-17.454639,-1.742532
-31.252064,-17.478545,-1.736226
-31.138353,-17.502203,-1.729908
-31.024525,-17.524789,-1.723585
-30.910754,-17.563770,-1.717264
-30.796706,-17.583940,-1.710928
-30.682463,-17.592244,-1.704581
-30.568023,-17.596459,-1.698224
-30.453393,-17.588648,-1.691855
-30.338513,-17.567705,-1.685473
-30.223658,-17.556047,-1.679092
-30.108383,-17.535363,-1.672688
-29.993163,-17.502189,-1.666287
-29.877746,-17.473243,-1.659875
-29.762078,-17.422214,-1.653449
-29.646438,-17.380600,-1.647024
-29.530767,-17.355139,-1.640598
-29.415542,-17.338136,-1.634197
-29.300512,-17.322613,-1.627806
-29.185678,-17.317364,-1.621427
-29.070869,-17.314851,-1.615048
-28.956031,-17.307110,-1.608668
-28.841051,-17.316142,-1.602281
-28.726605,-17.319643,-1.595922
-28.612325,-17.330425,-1.589574
-28.497988,-17.332402,-1.583222
-28.383765,-17.325968,-1.576876
-28.269175,-17.317204,-1.570510
-28.154529,-17.297129,-1.564141
-28.039967,-17.261172,-1.557776
-27.925376,-17.219942,-1.551410
-27.811068,-17.196736,-1.545059
-27.696901,-17.166597,-1.538717
-27.582255,-17.139633,-1.532348
-27.467696,-17.118994,-1.525983
-27.353104,-17.093360,-1.519617
-27.238286,-17.067853,-1.513238
-27.123467,-17.043704,-1.506859
-27.008480,-17.031993,-1.500471
-26.893271,-17.042842,-1.494071
-26.777950,-17.056055,-1.487664
-26.662426,-17.052523,-1.481246
-26.546818,-17.058550,-1.474823
-26.526327,-16.096717,-1.473685
-26.525352,-16.110766,-1.473631
-26.512968,-16.313631,-1.472943
-26.485297,-16.488387,-1.471405
-26.443813,-16.641903,-1.469101
-26.390223,-16.763141,-1.466123
-26.326133,-16.847987,-1.462563
-26.253065,-16.917007,-1.458504
-26.173049,-16.964392,-1.454058
-26.089007,-16.984965,-1.449389
-26.003223,-17.003980,-1.444623
-25.917043,-17.022886,-1.439836
-25.830829,-17.036802,-1.435046
-25.744486,-17.067543,-1.430249
-25.658226,-17.095097,-1.425457
-25.572112,-17.127104,-1.420673
-25.486195,-17.168016,-1.415900
-25.400191,-17.188922,-1.411122
-25.314321,-17.200647,-1.406351
-25.228311,-17.216142,-1.401573
-25.142386,-17.224676,-1.396799
-25.056377,-17.231547,-1.392021
-24.970349,-17.242041,-1.387242
-24.884451,-17.233024,-1.382469
-24.798574,-17.213822,-1.377699
-24.712725,-17.194048,-1.372929
-24.626960,-17.176068,-1.368164
-24.541388,-17.163783,-1.363410
-24.455709,-17.164471,-1.358651
