Test unit,CT02
Reference,Magenes et al. (2010)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-14.51,-91.8,-0.58
-14.49,-93.1,-0.579
-14.44,-93.9,-0.578
-14.38,-93.8,-0.575
-14.32,-93.8,-0.573
-14.26,-93.7,-0.57
-14.2,-93.7,-0.568
-14.14,-93.7,-0.566
-14.08,-93.6,-0.563
-14.02,-93.6,-0.561
-13.96,-93.5,-0.558
-13.9,-93.4,-0.556
-13.84,-93.4,-0.554
-13.78,-93.3,-0.551
-13.73,-93.3,-0.549
-13.67,-93.2,-0.547
-13.61,-93.1,-0.544
-13.55,-93,-0.542
-13.49,-92.9,-0.54
-13.43,-92.8,-0.537
-13.37,-92.8,-0.535
-13.31,-92.7,-0.532
-13.25,-92.6,-0.53
-13.19,-92.6,-0.528
-13.13,-92.5,-0.525
-13.07,-92.4,-0.523
-13.01,-92.4,-0.521
-12.95,-92.3,-0.518
-12.89,-92.2,-0.516
-12.83,-92.1,-0.513
-12.77,-92,-0.511
-12.71,-91.9,-0.508
-12.65,-91.9,-0.506
-12.59,-91.8,-0.504
-12.53,-91.7,-0.501
-12.47,-91.6,-0.499
-12.41,-91.5,-0.496
-12.35,-91.5,-0.494
-12.29,-91.4,-0.491
-12.23,-91.3,-0.489
-12.17,-91.2,-0.487
-12.15,-107.5,-0.486
-12.13,-108.7,-0.485
-12.09,-109.3,-0.484
-12.04,-109.3,-0.482
-11.99,-109.3,-0.479
-11.94,-109.3,-0.477
-11.88,-109.3,-0.475
-11.83,-109.3,-0.473
-11.78,-109.3,-0.471
-11.73,-109.3,-0.469
-11.68,-109.3,-0.467
-11.63,-109.3,-0.465
-11.57,-109.4,-0.463
-11.52,-109.3,-0.461
-11.48,-109.4,-0.459
-11.43,-109.3,-0.457
-11.38,-109.4,-0.455
-11.33,-109.5,-0.453
-11.27,-109.6,-0.451
-11.22,-109.6,-0.449
-11.17,-109.8,-0.447
-11.12,-109.8,-0.445
-11.07,-109.9,-0.443
-11.02,-109.9,-0.441
-10.97,-109.9,-0.439
-10.92,-109.9,-0.437
-10.86,-109.9,-0.435
-10.81,-109.9,-0.432
-10.76,-109.9,-0.43
-10.71,-109.9,-0.428
-10.66,-110,-0.426
-10.61,-110,-0.425
-10.57,-110,-0.423
-10.52,-110,-0.421
-10.46,-110,-0.419
-10.41,-109.9,-0.416
-10.36,-109.9,-0.414
-10.31,-109.8,-0.412
-10.25,-109.8,-0.41
-10.2,-109.8,-0.408
-10.15,-109.7,-0.406
-10.1,-109.6,-0.404
-10.05,-109.6,-0.402
-10,-109.5,-0.4
-9.95,-109.5,-0.398
-9.89,-109.4,-0.396
-9.84,-109.4,-0.394
-9.79,-109.3,-0.392
-9.74,-109.2,-0.389
-9.7,-127.6,-0.388
-9.67,-128.5,-0.387
-9.63,-128.8,-0.385
-9.59,-128.8,-0.384
-9.55,-128.8,-0.382
-9.51,-128.8,-0.38
-9.47,-128.7,-0.379
-9.43,-128.7,-0.377
-9.39,-128.7,-0.376
-9.35,-128.8,-0.374
-9.31,-128.7,-0.372
-9.26,-128.8,-0.371
-9.22,-128.7,-0.369
-9.18,-128.7,-0.367
-9.14,-128.7,-0.366
-9.1,-128.7,-0.364
-9.07,-128.6,-0.363
-9.03,-128.6,-0.361
-8.99,-128.6,-0.359
-8.95,-128.5,-0.358
-8.9,-128.5,-0.356
-8.86,-128.4,-0.354
-8.81,-128.4,-0.353
-8.77,-128.4,-0.351
-8.73,-128.3,-0.349
-8.69,-128.3,-0.348
-8.65,-128.2,-0.346
-8.61,-128.1,-0.345
-8.57,-128,-0.343
-8.53,-127.9,-0.341
-8.49,-127.8,-0.34
-8.45,-127.8,-0.338
-8.41,-127.7,-0.336
-8.36,-127.6,-0.335
-8.32,-127.5,-0.333
-8.28,-127.4,-0.331
-8.24,-127.3,-0.33
-8.2,-127.2,-0.328
-8.16,-127,-0.326
-8.12,-126.9,-0.325
-8.08,-126.8,-0.323
-8.04,-126.7,-0.321
-8,-126.5,-0.32
-7.96,-126.4,-0.318
-7.92,-126.2,-0.317
-7.87,-126.1,-0.315
-7.83,-125.9,-0.313
-7.79,-125.8,-0.312
-7.75,-125.6,-0.31
-7.7,-125.4,-0.308
-7.66,-125.2,-0.306
-7.62,-124.9,-0.305
-7.58,-124.7,-0.303
