Test unit;CT02;
Reference;Senaldi et al. (2018);
top_displacement;horizontal_force;drift
[mm];[kN];[%]
-42.7361205600000;-57.8276034300000;-2.94731865900000
-42.7283692500000;-57.0815591500000;-2.94678408600000
-42.7150828800000;-57.4073653400000;-2.94586778500000
-42.6930041100000;-56.6178369600000;-2.94434511100000
-42.6800241500000;-56.8855561800000;-2.94344994100000
-42.6544493900000;-57.1096290700000;-2.94168616500000
-42.6179419500000;-57.2954099900000;-2.93916841000000
-42.5721883200000;-57.4435479600000;-2.93601298700000
-42.5185071800000;-57.5684836100000;-2.93231084000000
-42.4586534700000;-57.6952040400000;-2.92818299800000
-42.3941368400000;-57.8042387900000;-2.92373357500000
-42.3266976800000;-57.8968858700000;-2.91908259900000
-42.2579979900000;-58.0008907400000;-2.91434468900000
-42.1887037600000;-58.0774746800000;-2.90956577700000
-42.1194316000000;-58.1310185200000;-2.90478838600000
-42.0504210800000;-58.1994897500000;-2.90002904000000
-41.9815735900000;-58.2579012200000;-2.89528093700000
-41.9126944500000;-58.2981402400000;-2.89053065200000
-41.8437568200000;-58.3312400700000;-2.88577633300000
-41.7750907200000;-58.3257234300000;-2.88104073900000
-41.7066137200000;-58.2940838900000;-2.87631818800000
-41.6383675900000;-58.2707193000000;-2.87161155800000
-41.5700600400000;-58.2225298300000;-2.86690069200000
-41.5020632400000;-58.1858604100000;-2.86221125800000
-41.4341531900000;-58.1598997600000;-2.85752780600000
-41.3663700300000;-58.1010015200000;-2.85285310500000
-41.2986517900000;-58.0570306600000;-2.84818288200000
-41.2312230900000;-58.0383714400000;-2.84353262700000
-41.1643369900000;-58.0245798500000;-2.83891979200000
-41.0975375500000;-58.0330170600000;-2.83431293400000
-41.0308543400000;-58.0557326300000;-2.82971409200000
-40.9641395800000;-58.0691997200000;-2.82511307400000
-40.8976599200000;-58.1141441100000;-2.82052827100000
-40.8312941700000;-58.1597375100000;-2.81595132200000
-40.7650719200000;-58.2064666800000;-2.81138427000000
-40.6989790900000;-58.2908388100000;-2.80682614400000
-40.6329130800000;-58.3713168400000;-2.80226986800000
-40.5670039000000;-58.4337846700000;-2.79772440700000
-40.5009485100000;-58.4915471200000;-2.79316886200000
-40.4349769900000;-58.5486605600000;-2.78861910300000
-40.3692881400000;-58.6015553900000;-2.78408883700000
-40.3039369500000;-58.6477978100000;-2.77958185900000
-40.2389399700000;-58.6554237500000;-2.77509930900000
-40.1738838400000;-58.6580198200000;-2.77061267900000
-40.1089972100000;-58.6552615000000;-2.76613773900000
-40.0441473500000;-58.6172940400000;-2.76166533500000
-39.9796303500000;-58.5762437500000;-2.75721588600000
-39.9147903400000;-58.5494718300000;-2.75274416100000
-39.8499993300000;-58.5093950700000;-2.74827581600000
-39.7849304700000;-58.4764574900000;-2.74378830800000
-39.7194160800000;-58.4524438800000;-2.73927007500000
-39.6534206900000;-58.4384900300000;-2.73471866800000
-39.5867007900000;-58.4662354800000;-2.73011729600000
-39.5196604700000;-58.5160474900000;-2.72549382500000
-39.4518564700000;-58.5775417900000;-2.72081768700000
-39.3834170700000;-58.6682418300000;-2.71609772900000
-39.3140015800000;-58.7720844500000;-2.71131045400000
-39.2441547600000;-58.8759270700000;-2.70649343200000
-39.1734751900000;-59.0135185500000;-2.70161897900000
-39.1023745100000;-59.1441331000000;-2.69671548300000
-39.0307631300000;-59.2775059600000;-2.69177676800000
-38.9587297600000;-59.4150974400000;-2.68680894900000
-38.8867811700000;-59.5353277200000;-2.68184697800000
-38.8144429300000;-59.6383590800000;-2.67685813300000
-38.7421950800000;-59.7415526800000;-2.67187552300000
-38.6699477200000;-59.8415012100000;-2.66689294600000
-38.5981469400000;-59.9325257600000;-2.66194116900000
-38.5265143000000;-60.0173846600000;-2.65700098600000
-38.4552061700000;-60.0816372800000;-2.65208318400000
-38.3840367300000;-60.1606550300000;-2.64717494700000
-38.3134878400000;-60.2317223300000;-2.64230950600000
-38.2432991000000;-60.2904583100000;-2.63746890400000
-38.1729188700000;-60.3581182700000;-2.63261509500000
-38.1029722200000;-60.4248047100000;-2.62779118800000
-38.0331500300000;-60.4710471300000;-2.62297586400000
-37.9632977700000;-60.5096636100000;-2.61815846700000
-37.8934459700000;-60.5450350000000;-2.61334110100000
-37.8237392100000;-60.5753765200000;-2.60853373800000
-37.7541299900000;-60.6057180400000;-2.60373310300000
-37.6846433700000;-60.6237282400000;-2.59894092200000
-37.6145900800000;-60.6378443500000;-2.59410966000000
-37.5443208900000;-60.6534207400000;-2.58926351000000
-37.4741138800000;-60.6406026700000;-2.58442164700000
-37.4038002000000;-60.6277845900000;-2.57957242700000
-37.3334773500000;-60.6352482800000;-2.57472257600000
-37.2635225500000;-60.6329767200000;-2.56989810700000
-37.1932601400000;-60.6112346700000;-2.56505242300000
-37.1227679100000;-60.5984166000000;-2.56019089100000
-37.0520771400000;-60.5951715200000;-2.55531566500000
-36.9813490300000;-60.5894926300000;-2.55043786400000
-36.9110110500000;-60.5841382400000;-2.54558696900000
-36.8409798600000;-60.5771613200000;-2.54075723200000
-36.7712554300000;-60.6021484500000;-2.53594865000000
-36.7015771100000;-60.6269733300000;-2.53114324900000
-36.6319448300000;-60.6396291500000;-2.52634102200000
-36.5621754000000;-60.6724044800000;-2.52152933800000
-36.4925524000000;-60.7386041600000;-2.51672775100000
-36.4232129200000;-60.7859823600000;-2.51194571800000
-36.3541268500000;-60.8281684300000;-2.50718116200000
-36.2851030100000;-60.8697054800000;-2.50242089700000
-36.2159407600000;-60.9081597000000;-2.49765108700000
-36.1464944000000;-60.9469384300000;-2.49286168300000
-36.0767877200000;-60.9699785200000;-2.48805432500000
-36.0070181400000;-60.9779289700000;-2.48324263100000
-35.9372074700000;-60.9764686800000;-2.47842810100000
-35.8673664800000;-60.9623525700000;-2.47361148100000
-35.7976864500000;-60.9284414700000;-2.46880596200000
-35.7278595100000;-60.9041033500000;-2.46399031100000
-35.6578980300000;-60.8599702300000;-2.45916538200000
-35.5879612100000;-60.8017210100000;-2.45434215200000
-35.5182553000000;-60.7423360100000;-2.44953484800000
-35.4486861300000;-60.6813284600000;-2.44473697500000
-35.3793504600000;-60.6045822700000;-2.43995520400000
-35.3100548500000;-60.5476310800000;-2.43517619600000
-35.2407872000000;-60.5064185400000;-2.43039911700000
-35.1715413400000;-60.4621231700000;-2.42562354100000
-35.1022329100000;-60.4157184900000;-2.42084364900000
-35.0329763300000;-60.3675290200000;-2.41606733300000
-34.9639374600000;-60.3542241900000;-2.41130603200000
-34.8949366300000;-60.3607143500000;-2.40654735400000
-34.8257887400000;-60.3675290200000;-2.40177853400000
-34.7568086900000;-60.3936519300000;-2.39702128900000
-34.6878372500000;-60.4405433700000;-2.39226463800000
-34.6188974300000;-60.4660172600000;-2.38751016800000
-34.5500222100000;-60.4832161900000;-2.38276015200000
-34.4811782300000;-60.4979813200000;-2.37801229200000
-34.4123337800000;-60.5142067200000;-2.37326439900000
-34.3432985100000;-60.5327036900000;-2.36850334600000
-34.2741913400000;-60.5189120900000;-2.36373733400000
-34.2049157900000;-60.4845142200000;-2.35895971000000
-34.1355760900000;-60.4504408600000;-2.35417766100000
-34.0661210000000;-60.3955989700000;-2.34938765500000
-33.9965503700000;-60.3310218400000;-2.34458968100000
-33.9271160500000;-60.2787760100000;-2.33980110700000
-33.8577446700000;-60.2333448600000;-2.33501687400000
-33.7882454600000;-60.1931058500000;-2.33022382500000
-33.7187341400000;-60.1518933100000;-2.32542994100000
-33.6494550300000;-60.1132768300000;-2.32065207100000
-33.5800694800000;-60.0902367500000;-2.31586686100000
-33.5109705400000;-60.0977004400000;-2.31110141700000
-33.4421030000000;-60.1059754000000;-2.30635193100000
-33.3733303600000;-60.1140881000000;-2.30160899000000
-33.3044719900000;-60.1217140500000;-2.29686013700000
-33.2355940500000;-60.1325850700000;-2.29210993500000
-33.1667282900000;-60.1481614700000;-2.28736057200000
-33.0979051100000;-60.1528668400000;-2.28261414600000
-33.0293255000000;-60.1609795400000;-2.27788451700000
-32.9609150000000;-60.1708770500000;-2.27316655200000
-32.8924712900000;-60.1677942200000;-2.26844629600000
-32.8237070500000;-60.1306380300000;-2.26370393400000
-32.7548186100000;-60.1069489300000;-2.25895300800000
-32.6858978500000;-60.0845578600000;-2.25419985200000
-32.6172090400000;-60.0654118700000;-2.24946269200000
-32.5485088100000;-60.0483751900000;-2.24472474500000
-32.4795960600000;-60.0238748200000;-2.23997214200000
-32.4111568000000;-60.0055401000000;-2.23525219300000
-32.3424650200000;-59.9896392000000;-2.23051482900000
-32.2736375200000;-59.9755230900000;-2.22576810500000
-32.2049974700000;-59.9893146900000;-2.22103430800000
-32.1367970900000;-60.0358816200000;-2.21633083400000
-32.0685197200000;-60.0637893300000;-2.21162205000000
-32.0001058200000;-60.1041906000000;-2.20690385000000
-31.9314270800000;-60.1642246200000;-2.20216738500000
-31.8625988200000;-60.2150101500000;-2.19742060800000
-31.7939387100000;-60.2586565100000;-2.19268542800000
-31.7247395700000;-60.3044121700000;-2.18791307400000
-31.6557095400000;-60.3519526200000;-2.18315238200000
-31.5865307100000;-60.3981950400000;-2.17838142800000
-31.5173189900000;-60.4092283200000;-2.17360820600000
-31.4476327600000;-60.3874862700000;-2.16880225900000
-31.3781610200000;-60.3777510200000;-2.16401110500000
-31.3089609500000;-60.3444889300000;-2.15923868600000
-31.2399988200000;-60.2791005300000;-2.15448267700000
-31.1710313200000;-60.2318845800000;-2.14972629800000
-31.1020919100000;-60.2028411000000;-2.14497185600000
-31.0334517800000;-60.1770426900000;-2.14023805300000
-30.9646105500000;-60.1525423200000;-2.13549038300000
-30.8958352000000;-60.1283664600000;-2.13074725500000
-30.8271521100000;-60.1264194200000;-2.12601049000000
-30.7587960400000;-60.1540026100000;-2.12129627800000
-30.6902869500000;-60.1874269600000;-2.11657151400000
-30.6215717700000;-60.2367522100000;-2.11183253600000
-30.5528647900000;-60.3039254100000;-2.10709412400000
-30.4843278400000;-60.3620123800000;-2.10236743700000
-30.4157301700000;-60.4071190200000;-2.09763656300000
-30.3469979000000;-60.4588780800000;-2.09289640700000
-30.2785848600000;-60.5101503800000;-2.08817826600000
-30.2104588300000;-60.5576908300000;-2.08347991900000
-30.1422314600000;-60.6094498900000;-2.07877458300000
-30.0740085000000;-60.6399536600000;-2.07406955200000
-30.0058081600000;-60.6582883700000;-2.06936608000000
-29.9378462400000;-60.6782456200000;-2.06467905100000
-29.8697672000000;-60.6969048400000;-2.05998394500000
-29.8017582400000;-60.7124812400000;-2.05529367200000
-29.7340522900000;-60.7121567300000;-2.05062429600000
-29.6665692200000;-60.7019347200000;-2.04597029100000
-29.5990361100000;-60.6913882000000;-2.04131283500000
-29.5314884900000;-60.6803549200000;-2.03665437900000
-29.4641637900000;-60.6589373800000;-2.03201129600000
-29.3968371800000;-60.6590996300000;-2.02736808200000
-29.3297117300000;-60.6586128700000;-2.02273874000000
-29.2624841500000;-60.6586128700000;-2.01810235500000
-29.1955592100000;-60.6592618900000;-2.01348684200000
-29.1287185800000;-60.6579638600000;-2.00887714300000
-29.0615556500000;-60.6868450900000;-2.00424521700000
-28.9941040700000;-60.7215674700000;-1.99959338400000
-28.9265023700000;-60.7527202600000;-1.99493119800000
-28.8586984600000;-60.7820882500000;-1.99025506600000
-28.7906236700000;-60.8057773500000;-1.98556025300000
-28.7223996400000;-60.7971778900000;-1.98085514700000
-28.6543435600000;-60.7942573100000;-1.97616162500000
-28.5863385400000;-60.7910122300000;-1.97147162300000
-28.5181498500000;-60.7833862900000;-1.96676895500000
-28.4498431000000;-60.7744623100000;-1.96205814500000
-28.4071949700000;-58.7474218900000;-1.95911689400000
-28.4045563000000;-58.3486013100000;-1.95893491700000
-28.3954340900000;-58.6202146500000;-1.95830579900000
-28.3763595300000;-58.8593771800000;-1.95699031200000
-28.3483966600000;-59.0621947900000;-1.95506183900000
-28.3125913700000;-59.2147136400000;-1.95259250900000
-28.2703418300000;-59.3415963400000;-1.94967874700000
-28.2228464900000;-59.4379752700000;-1.94640320700000
-28.1713542100000;-59.4907078500000;-1.94285201400000
-28.1171976500000;-59.5350032200000;-1.93911707900000
-28.0617591000000;-59.5603148600000;-1.93529373100000
-28.0057129300000;-59.5723216600000;-1.93142847800000
-27.9496664500000;-59.5995803500000;-1.92756320300000
-27.8934529900000;-59.6420909200000;-1.92368641300000
