Test unit,E3
Reference,Silva et al. (2014)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-7.7,-52.6,-0.669
-7.68,-53.5,-0.667
-7.59,-54.2,-0.66
-7.46,-54.4,-0.649
-7.33,-54.5,-0.638
-7.2,-54.6,-0.626
-7.08,-54.6,-0.615
-6.95,-54.6,-0.604
-6.85,-52.8,-0.596
-6.84,-53.7,-0.594
-6.71,-53.7,-0.583
-6.58,-53.7,-0.572
-6.45,-53.7,-0.56
-6.31,-53.7,-0.549
-6.19,-53.7,-0.538
-6.05,-53.6,-0.526
-5.92,-53.6,-0.514
-5.83,-52.9,-0.507
-5.82,-55.2,-0.506
-5.8,-55.9,-0.504
-5.79,-56.8,-0.503
-5.66,-56.9,-0.492
-5.54,-56.8,-0.481
-5.41,-56.7,-0.47
-5.29,-56.6,-0.46
-5.17,-56.5,-0.449
-5.03,-56.4,-0.438
-4.9,-56.2,-0.426
-4.83,-56.2,-0.42
-4.82,-57.2,-0.419
-4.8,-58.1,-0.418
-4.68,-58.2,-0.407
-4.55,-57.9,-0.395
-4.41,-57.8,-0.383
-4.28,-57.5,-0.373
-4.16,-57.4,-0.361
-4.04,-57.1,-0.351
-3.91,-56.9,-0.34
-3.86,-56.6,-0.336
-3.82,-57.4,-0.332
-3.75,-57.6,-0.326
-3.68,-57.7,-0.32
-3.61,-57.5,-0.314
-3.54,-57.4,-0.307
-3.47,-57.4,-0.302
-3.4,-57.1,-0.296
-3.33,-57.1,-0.29
-3.26,-57.1,-0.283
-3.18,-57,-0.277
-3.11,-56.7,-0.27
-3.05,-56.5,-0.265
-2.98,-56.4,-0.259
-2.92,-55.3,-0.254
-2.88,-55.9,-0.25
-2.82,-56.2,-0.245
-2.75,-56.2,-0.239
-2.69,-55.8,-0.234
-2.63,-55.7,-0.229
-2.57,-55.6,-0.223
-2.5,-55.5,-0.218
-2.44,-55.5,-0.212
-2.38,-55,-0.207
-2.31,-55,-0.201
-2.24,-54.7,-0.194
-2.16,-54.6,-0.188
-2.1,-54.2,-0.183
-2.03,-54.1,-0.176
-2.01,-52.1,-0.175
-1.99,-52.9,-0.173
-1.91,-53,-0.167
-1.85,-52.8,-0.161
-1.79,-52.5,-0.156
-1.74,-52.3,-0.151
-1.69,-51.9,-0.147
-1.63,-51.5,-0.142
-1.59,-49.7,-0.138
-1.56,-50.5,-0.136
-1.5,-50.4,-0.13
-1.44,-50.2,-0.125
-1.39,-49.9,-0.121
-1.33,-49.6,-0.115
-1.27,-49.4,-0.11
-1.23,-49,-0.107
-1.2,-47.5,-0.105
-1.19,-44.8,-0.104
-1.19,-46.9,-0.103
-1.16,-47,-0.101
-1.14,-46.7,-0.099
-1.11,-46.8,-0.097
-1.09,-46.7,-0.094
-1.05,-46.6,-0.092
-1.03,-46.4,-0.089
-1,-46.1,-0.087
-0.97,-46.1,-0.084
-0.94,-45.8,-0.082
-0.91,-45.6,-0.079
-0.88,-45.5,-0.077
-0.86,-45.2,-0.074
-0.83,-45,-0.072
-0.8,-44.8,-0.069
-0.77,-44.6,-0.067
-0.74,-44.3,-0.065
-0.73,-41.6,-0.064
-0.72,-41.9,-0.063
-0.7,-41.7,-0.061
-0.67,-41.3,-0.059
-0.65,-41.6,-0.056
-0.62,-41.2,-0.054
-0.6,-40.8,-0.052
-0.58,-40.7,-0.051
-0.57,-40.4,-0.049
-0.55,-40.2,-0.048
-0.52,-40.2,-0.045
-0.51,-39.9,-0.044
-0.49,-39.5,-0.042
-0.46,-39.3,-0.04
-0.43,-39,-0.038
-0.42,-29.9,-0.037
-0.41,-32,-0.036
-0.39,-32.7,-0.034
-0.38,-32.2,-0.033
-0.35,-32.4,-0.031
-0.35,-31.7,-0.03
-0.33,-31.1,-0.029
-0.32,-31.5,-0.028
-0.3,-30.9,-0.026
-0.29,-30.6,-0.025
-0.28,-30.2,-0.024
-0.26,-30,-0.022
-0.24,-29.7,-0.021
-0.23,-29.2,-0.02
-0.2,-29,-0.018
-0.18,-28.7,-0.016
-0.16,-27.7,-0.014
-0.14,-13.3,-0.013
-0.13,-13.4,-0.011
-0.11,-12.9,-0.01
-0.1,-12.9,-0.009
-0.09,-12.3,-0.008
-0.06,-12.1,-0.006
-0.05,-11.7,-0.004
-0.03,-11.3,-0.003
-0.02,-10.9,-0.002
-0.01,-9.4,-0.001
